* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Oct 18, 2021 12:37:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Timeless R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	83.215385	-104.8676
21.200001	83.357307	-106.7024
21.799999	83.485489	-108.7025
22.400000	83.593872	-110.7183
23.000000	83.685722	-112.5503
23.600000	83.766159	-114.1934
24.299999	83.838577	-115.9942
25.000000	83.895363	-117.7710
25.799999	83.962509	-119.9123
26.500000	84.008720	-121.8004
27.200001	84.040253	-123.4161
28.000000	84.089172	-125.0005
29.000000	84.139450	-127.1902
30.000000	84.155426	-129.3512
30.700001	84.186775	-130.7280
31.500000	84.222916	-132.2872
32.500000	84.236252	-134.1118
33.500000	84.247574	-135.8718
34.500000	84.263672	-137.6246
35.500000	84.273224	-139.2530
36.500000	84.268417	-140.7588
37.500000	84.267349	-142.2174
38.700001	84.277359	-143.9531
40.000000	84.270638	-145.7995
41.200001	84.239845	-147.3116
42.500000	84.243057	-148.9214
43.700001	84.212959	-150.3821
45.000000	84.196167	-151.7801
46.200001	84.201881	-153.2012
47.500000	84.170120	-154.6534
48.700001	84.147125	-155.7501
50.000000	84.141319	-157.1631
51.500000	84.121193	-158.4514
53.000000	84.069817	-159.6197
54.500000	84.026787	-160.8404
56.000000	83.983276	-162.2296
58.000000	83.923172	-163.7705
60.000000	83.862343	-165.3981
61.500000	83.841530	-166.2824
63.000000	83.805862	-167.2380
65.000000	83.730736	-168.3247
67.000000	83.679253	-169.8467
69.000000	83.611404	-171.2048
71.000000	83.564926	-172.0128
73.000000	83.498375	-173.0541
75.000000	83.434189	-174.0028
77.500000	83.350098	-175.2285
80.000000	83.258049	-176.2571
82.500000	83.176712	-177.3015
85.000000	83.089066	-178.2861
87.500000	83.021957	-179.0866
90.000000	82.885887	-179.8112
92.500000	82.837593	179.0603
95.000000	82.748528	178.3091
97.500000	82.672066	177.6096
100.000000	82.579498	176.8607
103.000000	82.493698	176.1753
106.000000	82.387177	175.3770
109.000000	82.306412	174.7409
112.000000	82.218597	174.0185
115.000000	82.114517	173.4324
118.000000	82.027130	172.9383
122.000000	81.919289	172.2228
125.000000	81.832268	171.6671
128.000000	81.743782	171.2442
132.000000	81.630600	170.6898
136.000000	81.513893	170.2181
140.000000	81.404549	169.7844
145.000000	81.265556	169.2455
150.000000	81.142166	168.8526
155.000000	81.009483	168.4944
160.000000	80.884697	168.1598
165.000000	80.760628	167.9009
170.000000	80.647110	167.6893
175.000000	80.508926	167.4388
180.000000	80.397102	167.3215
185.000000	80.283356	167.2006
190.000000	80.167717	167.1161
195.000000	80.063660	167.0608
200.000000	79.955360	167.0344
206.000000	79.828094	166.9722
212.000000	79.714828	167.0973
218.000000	79.604355	167.1465
224.000000	79.485168	167.2708
230.000000	79.376450	167.3827
236.000000	79.270325	167.5328
243.000000	79.157745	167.7005
250.000000	79.043793	167.9506
258.000000	78.917572	168.2543
265.000000	78.818344	168.5480
272.000000	78.709251	168.7749
280.000000	78.605576	169.1453
290.000000	78.471458	169.6525
300.000000	78.354553	170.1540
307.000000	78.263863	170.5424
315.000000	78.172417	170.9761
325.000000	78.063210	171.5329
335.000000	77.961952	172.0972
345.000000	77.859222	172.7064
355.000000	77.772369	173.3209
365.000000	77.687981	173.9400
375.000000	77.606216	174.5890
387.000000	77.511566	175.4003
400.000000	77.420845	176.2027
412.000000	77.341484	176.9764
425.000000	77.258926	177.8614
437.000000	77.191483	178.6353
450.000000	77.125610	179.5349
462.000000	77.065903	-179.6182
475.000000	77.006981	-178.7338
487.000000	76.957138	-177.9451
500.000000	76.905586	-177.0323
515.000000	76.861511	-175.9994
530.000000	76.813423	-174.9583
545.000000	76.771248	-173.9250
560.000000	76.736580	-172.8658
580.000000	76.697311	-171.4945
600.000000	76.668404	-170.0764
615.000000	76.649979	-169.0444
630.000000	76.639961	-167.9765
650.000000	76.630005	-166.5557
670.000000	76.630783	-165.1450
690.000000	76.635208	-163.7360
710.000000	76.655159	-162.3267
730.000000	76.678116	-160.9037
750.000000	76.711075	-159.4870
775.000000	76.768425	-157.6862
800.000000	76.837120	-155.9211
825.000000	76.921257	-154.1896
850.000000	77.024513	-152.4414
875.000000	77.145958	-150.7526
900.000000	77.280197	-149.1092
925.000000	77.432014	-147.5436
950.000000	77.598061	-146.0354
975.000000	77.775581	-144.6376
1000.000000	77.968140	-143.3156
1030.000000	78.207596	-141.8880
1060.000000	78.458023	-140.5993
1090.000000	78.715073	-139.4802
1120.000000	78.967224	-138.5266
1150.000000	79.216576	-137.7015
1180.000000	79.464386	-136.9755
1220.000000	79.785362	-136.1588
1250.000000	80.015724	-135.6419
1280.000000	80.241478	-135.1600
1320.000000	80.537415	-134.6188
1360.000000	80.824615	-134.1086
1400.000000	81.111282	-133.6487
1450.000000	81.472397	-133.1483
1500.000000	81.839691	-132.7294
1550.000000	82.220955	-132.3907
1600.000000	82.619980	-132.1755
1650.000000	83.047394	-132.1641
1700.000000	83.512695	-132.4354
1750.000000	84.017242	-133.2202
1800.000000	84.538948	-134.8637
1850.000000	84.996567	-137.6385
1900.000000	85.290909	-141.4084
1950.000000	85.235596	-145.8055
2000.000000	84.756958	-147.4806
2060.000000	84.661110	-145.0260
2120.000000	85.106583	-144.4895
2180.000000	85.517159	-146.0793
2240.000000	85.794029	-148.4417
2300.000000	85.965652	-151.0075
2360.000000	86.052261	-153.5462
2430.000000	86.071991	-156.2872
2500.000000	86.053535	-158.6017
2580.000000	86.055069	-161.1055
2650.000000	86.060562	-163.2511
2720.000000	86.124565	-165.4403
2800.000000	86.360970	-168.8291
2900.000000	86.895142	-178.9673
3000.000000	84.906990	157.4302
3070.000000	81.019241	165.0939
3150.000000	80.700226	178.5725
3250.000000	79.035889	-175.1842
3350.000000	79.898026	-155.9384
3450.000000	81.110504	-155.3852
3550.000000	81.434036	-154.9808
3650.000000	81.684967	-153.9349
3750.000000	81.915703	-153.1896
3870.000000	82.176399	-152.3668
4000.000000	82.529419	-152.0381
4120.000000	82.893661	-153.4147
4250.000000	82.588013	-155.9062
4370.000000	82.844612	-153.6289
4500.000000	83.117828	-158.7578
4620.000000	82.122307	-159.4323
4750.000000	81.865044	-155.6033
4870.000000	82.246651	-152.6801
5000.000000	82.670921	-152.7617
5150.000000	83.181335	-156.7782
5300.000000	82.828522	-164.2210
5450.000000	81.323479	-166.1402
5600.000000	80.872238	-156.9498
5800.000000	81.877502	-161.1928
6000.000000	79.964722	-172.1720
6150.000000	77.931488	-161.7699
6300.000000	77.390915	-153.5301
6500.000000	77.550529	-140.2270
6700.000000	78.254425	-134.3060
6900.000000	78.708221	-129.0338
7100.000000	79.396606	-124.9122
7300.000000	80.182983	-122.2957
7500.000000	80.703865	-121.6225
7750.000000	81.412880	-115.3279
8000.000000	84.094254	-110.3729
8250.000000	86.223045	-123.2868
8500.000000	87.514587	-136.1502
8750.000000	88.042877	-151.5964
9000.000000	88.256439	-168.8870
9250.000000	87.313622	172.6744
9500.000000	85.503754	157.6623
9750.000000	83.036133	148.1567
10000.000000	80.254372	148.0013
10300.000000	78.593719	156.8752
10600.000000	78.182724	161.1859
10900.000000	78.187546	164.3113
11200.000000	78.709641	162.6578
11500.000000	78.916367	158.1892
11800.000000	79.379013	150.3544
12200.000000	78.657280	134.3049
12500.000000	77.351845	127.2118
12800.000000	76.520493	122.8484
13200.000000	75.561081	114.5542
13600.000000	74.495651	107.0113
14000.000000	73.786621	100.1713
14500.000000	73.880257	87.0907
15000.000000	73.887321	64.6907
15500.000000	73.693970	38.8138
16000.000000	73.945549	8.8600
16500.000000	74.652855	-29.8158
17000.000000	74.755005	-80.0776
