* Measurement data measured by REW V5.19
* Source: Microphone (4- USB Sound Device        ), no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Jun 18, 2019 6:43:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tin Hifi P1 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	76.161842	-132.9409
20.600000	76.376518	-134.1226
21.200001	76.577057	-135.0460
21.799999	76.779556	-136.2451
22.400000	76.929077	-137.6881
23.000000	77.028885	-139.0256
23.600000	77.134933	-140.1315
24.299999	77.301529	-141.4642
25.000000	77.467941	-143.0079
25.799999	77.633270	-144.6534
26.500000	77.791893	-145.9166
27.200001	77.959305	-147.2113
28.000000	78.128151	-148.7017
29.000000	78.313354	-150.4213
30.000000	78.478889	-152.1455
30.700001	78.571198	-153.3430
31.500000	78.667648	-154.6005
32.500000	78.807251	-156.1595
33.500000	78.944412	-157.8682
34.500000	79.069550	-159.5435
35.500000	79.188919	-161.1777
36.500000	79.301414	-162.6608
37.500000	79.425919	-164.1166
38.700001	79.550117	-165.8828
40.000000	79.676094	-167.7198
41.200001	79.776260	-169.3797
42.500000	79.890198	-171.1984
43.700001	79.992065	-172.8079
45.000000	80.099899	-174.6842
46.200001	80.178665	-176.1433
47.500000	80.283836	-177.7861
48.700001	80.352715	-179.2478
50.000000	80.420258	179.2350
51.500000	80.507553	177.4778
53.000000	80.597855	175.6182
54.500000	80.676903	173.8251
56.000000	80.742233	172.1786
58.000000	80.832169	170.2573
60.000000	81.051186	169.2821
61.500000	81.017410	166.3152
63.000000	81.009521	165.0883
65.000000	81.050110	162.8736
67.000000	81.127205	160.7369
69.000000	81.207329	158.8392
71.000000	81.257744	156.9931
73.000000	81.322487	155.1172
75.000000	81.384239	153.1583
77.500000	81.438156	150.7716
80.000000	81.492996	148.6544
82.500000	81.529869	146.4160
85.000000	81.578636	144.2139
87.500000	81.621231	142.0232
90.000000	81.672516	139.8244
92.500000	81.700577	137.7179
95.000000	81.726105	135.6312
97.500000	81.756401	133.5366
100.000000	81.774254	131.4885
103.000000	81.803276	129.0754
106.000000	81.812195	126.7796
109.000000	81.821274	124.3339
112.000000	81.830627	122.0557
115.000000	81.841698	119.8396
118.000000	81.833366	117.6441
122.000000	81.840775	114.6934
125.000000	81.834488	112.5547
128.000000	81.832779	110.5221
132.000000	81.813667	107.6654
136.000000	81.790634	104.9296
140.000000	81.770958	102.2695
145.000000	81.743637	99.0687
150.000000	81.707512	95.8239
155.000000	81.658798	92.7124
160.000000	81.637871	89.6852
165.000000	81.589645	86.7173
170.000000	81.560349	83.8004
175.000000	81.514328	80.9037
180.000000	81.491676	77.6971
185.000000	81.404655	75.2711
190.000000	81.368797	72.5662
195.000000	81.319679	69.8520
200.000000	81.279930	67.2881
206.000000	81.199402	64.1622
212.000000	81.152023	61.1123
218.000000	81.104874	58.0855
224.000000	81.045822	55.0947
230.000000	80.978119	52.2154
236.000000	80.926025	49.3158
243.000000	80.865051	46.1083
250.000000	80.797386	42.8374
258.000000	80.728218	39.2136
265.000000	80.680382	36.0697
272.000000	80.623283	32.9927
280.000000	80.543083	29.5632
290.000000	80.467010	25.3381
300.000000	80.392700	20.6862
307.000000	80.329628	18.1898
315.000000	80.271530	14.9547
325.000000	80.189224	10.9994
335.000000	80.130859	7.0731
345.000000	80.069839	3.1396
355.000000	79.997025	-0.6553
365.000000	79.935707	-4.4050
375.000000	79.877739	-8.1185
387.000000	79.805153	-12.3936
400.000000	79.741188	-17.2150
412.000000	79.685783	-21.4198
425.000000	79.632195	-26.0555
437.000000	79.581490	-30.2628
450.000000	79.512726	-34.7325
462.000000	79.472748	-38.7012
475.000000	79.429741	-43.1295
487.000000	79.373337	-47.0298
500.000000	79.330864	-51.2964
515.000000	79.287689	-56.1523
530.000000	79.268387	-60.9022
545.000000	79.226547	-65.6484
560.000000	79.186340	-70.3134
580.000000	79.139343	-76.4610
600.000000	79.103073	-82.5109
615.000000	79.091171	-86.9375
630.000000	79.062035	-91.3368
650.000000	79.030525	-97.2803
670.000000	79.012756	-103.0322
690.000000	78.998329	-108.6180
710.000000	78.984062	-114.3315
730.000000	78.966209	-119.8195
750.000000	78.958466	-125.3168
775.000000	78.968155	-131.9355
800.000000	78.967567	-138.5443
825.000000	78.983536	-145.0201
850.000000	79.017319	-151.3508
875.000000	79.066277	-157.4996
