* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 22, 2024 6:09:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Titan L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 38.584 151.4620
0.732422 41.328 118.8672
1.098633 45.755 89.7344
1.464844 50.438 67.9401
1.831055 54.614 51.2354
2.197266 58.161 37.5029
2.563477 61.143 25.6679
2.929688 63.657 15.2235
3.295898 65.794 5.9071
3.662109 67.630 -2.4532
4.028320 69.230 -10.0022
4.394531 70.641 -16.8747
4.760742 71.898 -23.1892
5.126953 73.026 -29.0388
5.493164 74.044 -34.4912
5.859375 74.969 -39.5979
6.225586 75.813 -44.4059
6.591797 76.588 -48.9614
6.958008 77.299 -53.3042
7.324219 77.952 -57.4580
7.690430 78.551 -61.4275
8.056641 79.102 -65.2079
8.422852 79.611 -68.8007
8.789062 80.089 -72.2264
9.155273 80.539 -75.5239
9.521484 80.965 -78.7345
9.887695 81.363 -81.8827
10.253906 81.731 -84.9663
10.620117 82.069 -87.9618
10.986328 82.381 -90.8430
11.352539 82.670 -93.5984
11.718750 82.945 -96.2397
12.084961 83.209 -98.7953
12.451172 83.461 -101.2955
12.817383 83.701 -103.7581
13.183594 83.926 -106.1845
13.549805 84.136 -108.5644
13.916016 84.331 -110.8869
14.282227 84.513 -113.1473
14.648438 84.684 -115.3487
15.014648 84.846 -117.4977
15.380859 84.998 -119.5988
15.747070 85.141 -121.6528
16.113281 85.276 -123.6581
16.479492 85.403 -125.6162
16.845703 85.525 -127.5335
17.211914 85.641 -129.4194
17.578125 85.751 -131.2812
17.944336 85.855 -133.1201
18.310547 85.950 -134.9308
18.676758 86.039 -136.7060
19.042969 86.121 -138.4411
19.409180 86.198 -140.1371
19.775391 86.271 -141.7977
20.141602 86.339 -143.4271
20.507812 86.401 -145.0281
20.874023 86.451 -146.6038
21.240234 86.493 -148.1597
21.606445 86.525 -149.7011
21.972656 86.549 -151.2288
22.338867 86.564 -152.7356
22.705078 86.569 -154.2094
23.071289 86.568 -155.6423
23.437500 86.563 -157.0377
23.803711 86.555 -158.4082
24.169922 86.543 -159.7637
24.536133 86.526 -161.0990
24.902344 86.503 -162.3943
25.268555 86.478 -163.6313
25.634766 86.457 -164.8144
26.000977 86.443 -165.9777
26.367188 86.435 -167.1669
26.733398 86.427 -168.4080
27.099609 86.411 -169.6853
27.465820 86.385 -170.9496
27.832031 86.351 -172.1525
28.198242 86.319 -173.2812
28.564453 86.294 -174.3698
28.930664 86.277 -175.4731
29.296875 86.262 -176.6251
29.663086 86.239 -177.8132
30.029297 86.206 -178.9884
30.395508 86.166 179.8977
30.761719 86.126 178.8585
31.127930 86.092 177.8656
31.494141 86.064 176.8737
31.860352 86.038 175.8569
32.226562 86.007 174.8256
32.592773 85.970 173.8143
32.958984 85.930 172.8508
33.325195 85.892 171.9344
33.691406 85.859 171.0367
34.057617 85.830 170.1245
34.423828 85.800 169.1838
34.790039 85.765 168.2277
35.156250 85.724 167.2846
35.522461 85.679 166.3775
35.888672 85.634 165.5108
36.254883 85.591 164.6713
36.621094 85.552 163.8391
36.987305 85.514 163.0005
37.353516 85.475 162.1532
37.719727 85.435 161.3037
38.085938 85.393 160.4615
38.452148 85.349 159.6336
38.818359 85.305 158.8218
39.184570 85.261 158.0224
39.550781 85.219 157.2292
39.916992 85.176 156.4375
40.283203 85.133 155.6484
40.649414 85.089 154.8683
41.015625 85.043 154.1047
41.381836 84.998 153.3595
41.748047 84.955 152.6261
42.114258 84.912 151.8944
42.480469 84.870 151.1590
42.846680 84.826 150.4252
43.212891 84.779 149.7059
43.579102 84.731 149.0112
43.945312 84.685 148.3404
44.311523 84.641 147.6816
44.677734 84.599 147.0223
45.043945 84.556 146.3583
45.410156 84.513 145.6954
45.776367 84.469 145.0403
46.142578 84.425 144.3909
46.508789 84.382 143.7373
46.875000 84.337 143.0721
47.241211 84.289 142.4034
47.607422 84.235 141.7545
47.973633 84.180 141.1487
48.339844 84.128 140.5903
48.706055 84.083 140.0554
49.072266 84.046 139.5042
49.438477 84.013 138.9048
49.804688 83.978 138.2526
50.170898 83.936 137.5723
50.537109 83.886 136.9036
50.903320 83.829 136.2812
51.269531 83.773 135.7200
51.635742 83.722 135.2092
52.001953 83.679 134.7164
52.368164 83.644 134.2004
52.734375 83.610 133.6326
53.100586 83.571 133.0165
53.466797 83.521 132.3950
53.833008 83.460 131.8320
54.199219 83.396 131.3737
54.565430 83.342 131.0096
54.931641 83.305 130.6669
55.297852 83.283 130.2518
55.664062 83.263 129.7132
56.030273 83.231 129.0806
56.396484 83.180 128.4424
56.762695 83.118 127.8804
57.128906 83.058 127.4062
57.495117 83.010 126.9510
57.861328 82.969 126.4228
58.227539 82.922 125.7905
58.593750 82.852 125.1254
58.959961 82.760 124.5640
59.326172 82.663 124.2162
59.692383 82.585 124.0768
60.058594 82.548 124.0063
60.424805 82.547 123.8113
60.791016 82.562 123.3683
61.157227 82.563 122.6961
61.523438 82.532 121.9324
61.889648 82.472 121.2448
62.255859 82.401 120.7348
62.622070 82.339 120.3883
62.988281 82.299 120.0995
63.354492 82.277 119.7529
63.720703 82.257 119.3019
64.086914 82.226 118.7876
64.453125 82.182 118.2935
64.819336 82.131 117.8784
65.185547 82.086 117.5332
65.551758 82.051 117.1957
65.917969 82.021 116.8050
66.284180 81.986 116.3530
66.650391 81.940 115.8877
67.016602 81.885 115.4703
67.382812 81.831 115.1218
67.749023 81.786 114.8037
68.115234 81.750 114.4497
68.481445 81.715 114.0220
68.847656 81.671 113.5422
69.213867 81.617 113.0722
69.580078 81.557 112.6632
69.946289 81.501 112.3162
70.312500 81.455 111.9861
70.678711 81.414 111.6257
71.044922 81.374 111.2276
71.411133 81.329 110.8257
71.777344 81.282 110.4596
72.143555 81.239 110.1336
72.509766 81.205 109.8100
72.875977 81.176 109.4425
73.242188 81.145 109.0195
73.608398 81.105 108.5777
73.974609 81.055 108.1736
74.340820 81.004 107.8397
74.707031 80.957 107.5599
75.073242 80.920 107.2854
75.439453 80.886 106.9759
75.805664 80.849 106.6305
76.171875 80.806 106.2829
76.538086 80.758 105.9697
76.904297 80.713 105.6985
77.270508 80.673 105.4424
77.636719 80.639 105.1626
78.002930 80.605 104.8386
78.369141 80.566 104.4829
78.735352 80.521 104.1304
79.101562 80.471 103.8135
79.467773 80.423 103.5415
79.833984 80.381 103.2963
80.200195 80.345 103.0443
80.566406 80.314 102.7566
80.932617 80.282 102.4243
81.298828 80.245 102.0630
81.665039 80.200 101.7054
82.031250 80.150 101.3864
82.397461 80.099 101.1249
82.763672 80.054 100.9126
83.129883 80.018 100.7147
83.496094 79.989 100.4862
83.862305 79.963 100.1970
84.228516 79.933 99.8503
84.594727 79.892 99.4837
84.960938 79.840 99.1505
85.327148 79.785 98.8894
85.693359 79.735 98.7005
86.059570 79.696 98.5413
86.425781 79.669 98.3495
86.791992 79.647 98.0795
87.158203 79.619 97.7303
87.524414 79.580 97.3468
87.890625 79.530 96.9936
88.256836 79.474 96.7177
88.623047 79.423 96.5211
88.989258 79.384 96.3603
89.355469 79.356 96.1739
89.721680 79.333 95.9210
90.087891 79.308 95.6037
90.454102 79.274 95.2606
90.820312 79.232 94.9395
91.186523 79.188 94.6677
91.552734 79.147 94.4387
91.918945 79.111 94.2227
92.285156 79.079 93.9904
92.651367 79.048 93.7323
93.017578 79.013 93.4614
93.383789 78.975 93.1998
93.750000 78.935 92.9620
94.116211 78.896 92.7471
94.482422 78.859 92.5431
94.848633 78.824 92.3392
95.214844 78.790 92.1329
95.581055 78.756 91.9279
95.947266 78.723 91.7263
96.313477 78.693 91.5217
96.679688 78.663 91.3028
97.045898 78.634 91.0618
97.412109 78.602 90.8027
97.778320 78.566 90.5416
98.144531 78.526 90.2970
98.510742 78.486 90.0791
98.876953 78.448 89.8840
99.243164 78.414 89.6973
99.609375 78.382 89.5038
99.975586 78.352 89.2953
100.341797 78.321 89.0728
100.708008 78.289 88.8433
101.074219 78.256 88.6145
101.440430 78.222 88.3920
101.806641 78.187 88.1789
102.172852 78.152 87.9760
102.539062 78.119 87.7816
102.905273 78.087 87.5909
103.271484 78.056 87.3970
103.637695 78.027 87.1949
104.003906 77.997 86.9835
104.370117 77.966 86.7673
104.736328 77.933 86.5531
105.102539 77.899 86.3465
105.468750 77.865 86.1492
105.834961 77.832 85.9595
106.201172 77.799 85.7744
106.567383 77.767 85.5919
106.933594 77.735 85.4119
107.299805 77.704 85.2355
107.666016 77.674 85.0633
108.032227 77.645 84.8936
108.398438 77.618 84.7212
108.764648 77.592 84.5373
109.130859 77.567 84.3339
109.497070 77.541 84.1091
109.863281 77.511 83.8720
110.229492 77.475 83.6421
110.595703 77.437 83.4404
110.961914 77.398 83.2779
111.328125 77.363 83.1465
111.694336 77.334 83.0219
112.060547 77.310 82.8774
112.426758 77.287 82.6994
112.792969 77.262 82.4948
113.159180 77.233 82.2850
113.525391 77.200 82.0915
113.891602 77.167 81.9216
114.257812 77.137 81.7662
114.624023 77.110 81.6074
114.990234 77.084 81.4318
115.356445 77.057 81.2393
115.722656 77.027 81.0429
116.088867 76.994 80.8594
116.455078 76.960 80.6997
116.821289 76.928 80.5622
117.187500 76.900 80.4337
117.553711 76.876 80.2967
117.919922 76.853 80.1382
118.286133 76.829 79.9579
118.652344 76.803 79.7674
119.018555 76.773 79.5844
119.384766 76.742 79.4216
119.750977 76.712 79.2789
120.117188 76.685 79.1429
120.483398 76.660 78.9963
120.849609 76.636 78.8300
121.215820 76.609 78.6506
121.582031 76.579 78.4776
121.948242 76.546 78.3304
122.314453 76.515 78.2147
122.680664 76.489 78.1162
123.046875 76.469 78.0079
123.413086 76.452 77.8650
123.779297 76.435 77.6791
124.145508 76.413 77.4626
124.511719 76.385 77.2419
124.877930 76.351 77.0432
125.244141 76.316 76.8811
125.610352 76.282 76.7531
125.976562 76.252 76.6435
126.342773 76.227 76.5331
126.708984 76.204 76.4081
127.075195 76.181 76.2647
127.441406 76.157 76.1083
127.807617 76.132 75.9488
128.173828 76.104 75.7962
128.540039 76.076 75.6573
128.906250 76.048 75.5336
129.272461 76.022 75.4218
129.638672 75.998 75.3138
130.004883 75.976 75.2000
130.371094 75.956 75.0728
130.737305 75.935 74.9307
131.103516 75.913 74.7798
131.469727 75.888 74.6302
131.835938 75.862 74.4910
132.202148 75.837 74.3652
132.568359 75.812 74.2480
132.934570 75.790 74.1304
133.300781 75.768 74.0040
133.666992 75.747 73.8657
134.033203 75.724 73.7186
134.399414 75.700 73.5707
134.765625 75.674 73.4317
135.131836 75.648 73.3083
135.498047 75.623 73.2006
135.864258 75.601 73.0991
136.230469 75.583 72.9880
136.596680 75.566 72.8521
136.962891 75.548 72.6866
137.329102 75.526 72.5041
137.695312 75.499 72.3294
138.061523 75.468 72.1871
138.427734 75.437 72.0861
138.793945 75.412 72.0121
139.160156 75.394 71.9348
139.526367 75.379 71.8258
139.892578 75.365 71.6750
140.258789 75.346 71.4958
140.625000 75.321 71.3155
140.991211 75.292 71.1589
141.357422 75.262 71.0354
141.723633 75.234 70.9370
142.089844 75.210 70.8464
142.456055 75.188 70.7484
142.822266 75.168 70.6375
143.188477 75.146 70.5167
143.554688 75.124 70.3918
143.920898 75.100 70.2668
144.287109 75.075 70.1438
144.653320 75.048 70.0275
145.019531 75.019 69.9274
145.385742 74.990 69.8552
145.751953 74.963 69.8156
146.118164 74.942 69.7972
146.484375 74.929 69.7719
146.850586 74.922 69.7062
147.216797 74.917 69.5807
147.583008 74.906 69.4023
147.949219 74.887 69.2025
148.315430 74.860 69.0207
148.681641 74.829 68.8824
149.047852 74.799 68.7877
149.414062 74.774 68.7139
149.780273 74.754 68.6330
150.146484 74.736 68.5283
150.512695 74.716 68.4023
150.878906 74.694 68.2713
151.245117 74.668 68.1536
