* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 31, 2024 8:56:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Titan R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 23.930 -103.1057
0.732422 36.010 -90.3903
1.098633 44.105 -102.8485
1.464844 49.998 -117.7123
1.831055 54.544 -131.8666
2.197266 58.164 -144.7336
2.563477 61.112 -156.2475
2.929688 63.562 -166.4853
3.295898 65.639 -175.5844
3.662109 67.434 176.2890
4.028320 69.010 168.9655
4.394531 70.413 162.2932
4.760742 71.672 156.1456
5.126953 72.811 150.4211
5.493164 73.845 145.0402
5.859375 74.784 139.9472
6.225586 75.634 135.1138
6.591797 76.404 130.5358
6.958008 77.103 126.2200
7.324219 77.742 122.1652
7.690430 78.333 118.3488
8.056641 78.886 114.7262
8.422852 79.405 111.2450
8.789062 79.893 107.8622
9.155273 80.348 104.5546
9.521484 80.769 101.3179
9.887695 81.157 98.1595
10.253906 81.514 95.0926
10.620117 81.842 92.1337
10.986328 82.146 89.2990
11.352539 82.431 86.5949
11.718750 82.706 84.0071
12.084961 82.975 81.4959
12.451172 83.239 79.0089
12.817383 83.493 76.5073
13.183594 83.729 73.9903
13.549805 83.942 71.4978
13.916016 84.132 69.0873
14.282227 84.306 66.7973
14.648438 84.474 64.6210
15.014648 84.642 62.5107
15.380859 84.806 60.4114
15.747070 84.961 58.3025
16.113281 85.098 56.2126
16.479492 85.218 54.1988
16.845703 85.328 52.3018
17.211914 85.440 50.5089
17.578125 85.558 48.7534
17.944336 85.681 46.9549
18.310547 85.797 45.0742
18.676758 85.893 43.1423
19.042969 85.963 41.2445
19.409180 86.014 39.4696
19.775391 86.060 37.8559
20.141602 86.112 36.3660
20.507812 86.178 34.9097
20.874023 86.243 33.4010
21.240234 86.302 31.8108
21.606445 86.340 30.1775
21.972656 86.360 28.5745
22.338867 86.368 27.0586
22.705078 86.372 25.6327
23.071289 86.383 24.2480
23.437500 86.396 22.8427
23.803711 86.405 21.3890
24.169922 86.402 19.9148
24.536133 86.383 18.4833
24.902344 86.356 17.1487
25.268555 86.330 15.9168
25.634766 86.314 14.7395
26.000977 86.307 13.5477
26.367188 86.301 12.3003
26.733398 86.287 11.0103
27.099609 86.261 9.7317
27.465820 86.226 8.5184
27.832031 86.191 7.3856
28.198242 86.162 6.3008
28.564453 86.141 5.2123
28.930664 86.120 4.0887
29.296875 86.095 2.9412
29.663086 86.062 1.8087
30.029297 86.026 0.7244
30.395508 85.991 -0.3124
30.761719 85.963 -1.3342
31.127930 85.938 -2.3783
31.494141 85.911 -3.4569
31.860352 85.878 -4.5491
32.226562 85.837 -5.6185
32.592773 85.792 -6.6404
32.958984 85.748 -7.6156
33.325195 85.707 -8.5640
33.691406 85.668 -9.5061
34.057617 85.631 -10.4509
34.423828 85.594 -11.3975
34.790039 85.555 -12.3441
35.156250 85.514 -13.2905
35.522461 85.469 -14.2310
35.888672 85.419 -15.1472
36.254883 85.367 -16.0129
36.621094 85.315 -16.8134
36.987305 85.273 -17.5651
37.353516 85.241 -18.3155
37.719727 85.218 -19.1177
38.085938 85.195 -19.9956
38.452148 85.164 -20.9269
38.818359 85.121 -21.8579
39.184570 85.070 -22.7388
39.550781 85.017 -23.5536
39.916992 84.968 -24.3254
40.283203 84.925 -25.0911
40.649414 84.883 -25.8702
41.015625 84.838 -26.6501
41.381836 84.790 -27.4006
41.748047 84.743 -28.1040
42.114258 84.704 -28.7755
42.480469 84.673 -29.4583
42.846680 84.647 -30.1947
43.212891 84.619 -30.9966
43.579102 84.580 -31.8354
43.945312 84.529 -32.6584
44.311523 84.470 -33.4189
44.677734 84.410 -34.0997
45.043945 84.354 -34.7176
45.410156 84.306 -35.3072
45.776367 84.264 -35.9005
46.142578 84.225 -36.5143
46.508789 84.186 -37.1514
46.875000 84.144 -37.8072
47.241211 84.098 -38.4714
47.607422 84.046 -39.1241
47.973633 83.989 -39.7352
48.339844 83.931 -40.2794
48.706055 83.880 -40.7607
49.072266 83.844 -41.2291
49.438477 83.821 -41.7642
49.804688 83.801 -42.4268
50.170898 83.769 -43.2112
50.537109 83.714 -44.0332
50.903320 83.636 -44.7725
51.269531 83.551 -45.3448
51.635742 83.478 -45.7606
52.001953 83.430 -46.1238
52.368164 83.403 -46.5618
52.734375 83.381 -47.1373
53.100586 83.350 -47.8135
53.466797 83.302 -48.4943
53.833008 83.247 -49.1042
54.199219 83.196 -49.6453
54.565430 83.156 -50.1862
54.931641 83.119 -50.7938
55.297852 83.071 -51.4648
55.664062 83.005 -52.1161
56.030273 82.927 -52.6437
56.396484 82.852 -53.0056
56.762695 82.799 -53.2649
57.128906 82.771 -53.5545
57.495117 82.755 -53.9821
57.861328 82.730 -54.5529
58.227539 82.684 -55.1678
58.593750 82.618 -55.6948
58.959961 82.551 -56.0620
59.326172 82.501 -56.3138
59.692383 82.479 -56.5864
60.058594 82.473 -57.0155
60.424805 82.462 -57.6418
60.791016 82.424 -58.3856
61.157227 82.355 -59.0969
61.523438 82.267 -59.6451
61.889648 82.182 -59.9944
62.255859 82.117 -60.2201
62.622070 82.078 -60.4525
62.988281 82.054 -60.7887
63.354492 82.030 -61.2408
63.720703 81.997 -61.7523
64.086914 81.954 -62.2581
64.453125 81.908 -62.7339
64.819336 81.865 -63.1996
65.185547 81.821 -63.6806
65.551758 81.773 -64.1702
65.917969 81.720 -64.6317
66.284180 81.667 -65.0390
66.650391 81.623 -65.4141
67.016602 81.588 -65.8202
67.382812 81.554 -66.3071
67.749023 81.509 -66.8560
68.115234 81.445 -67.3784
68.481445 81.372 -67.7764
68.847656 81.305 -68.0214
69.213867 81.259 -68.1866
69.580078 81.237 -68.3979
69.946289 81.224 -68.7374
70.312500 81.203 -69.1860
70.678711 81.165 -69.6494
71.044922 81.118 -70.0407
71.411133 81.075 -70.3500
71.777344 81.042 -70.6427
72.143555 81.014 -70.9894
72.509766 80.978 -71.3918
72.875977 80.929 -71.7738
73.242188 80.872 -72.0471
73.608398 80.826 -72.1982
73.974609 80.803 -72.3214
74.340820 80.802 -72.5602
74.707031 80.802 -73.0005
75.073242 80.780 -73.6023
75.439453 80.725 -74.2236
75.805664 80.645 -74.7117
76.171875 80.562 -75.0010
76.538086 80.497 -75.1531
76.904297 80.457 -75.3086
77.270508 80.432 -75.5833
77.636719 80.402 -75.9897
78.002930 80.356 -76.4432
78.369141 80.296 -76.8342
78.735352 80.236 -77.1131
79.101562 80.193 -77.3273
79.467773 80.168 -77.5848
79.833984 80.151 -77.9717
80.200195 80.124 -78.4876
80.566406 80.074 -79.0442
80.932617 80.002 -79.5190
81.298828 79.921 -79.8261
81.665039 79.849 -79.9625
82.031250 79.800 -80.0074
82.397461 79.776 -80.0759
82.763672 79.768 -80.2582
83.129883 79.758 -80.5788
83.496094 79.734 -80.9909
83.862305 79.690 -81.4017
84.228516 79.632 -81.7175
84.594727 79.575 -81.8953
84.960938 79.535 -81.9802
85.327148 79.520 -82.0939
85.693359 79.519 -82.3654
86.059570 79.511 -82.8427
86.425781 79.474 -83.4474
86.791992 79.399 -84.0090
87.158203 79.299 -84.3608
87.524414 79.204 -84.4443
87.890625 79.140 -84.3535
88.256836 79.114 -84.2749
88.623047 79.112 -84.3615
88.989258 79.112 -84.6434
89.355469 79.095 -85.0424
89.721680 79.062 -85.4513
90.087891 79.018 -85.8076
90.454102 78.973 -86.1055
90.820312 78.929 -86.3594
91.186523 78.890 -86.5709
91.552734 78.858 -86.7394
91.918945 78.842 -86.9036
92.285156 78.841 -87.1504
92.651367 78.843 -87.5591
93.017578 78.826 -88.1193
93.383789 78.774 -88.7017
93.750000 78.690 -89.1211
94.116211 78.601 -89.2592
94.482422 78.536 -89.1622
94.848633 78.513 -89.0224
95.214844 78.518 -89.0358
95.581055 78.523 -89.2584
95.947266 78.506 -89.5862
96.313477 78.466 -89.8624
96.679688 78.421 -90.0111
97.045898 78.387 -90.0901
97.412109 78.365 -90.2170
97.778320 78.338 -90.4395
98.144531 78.292 -90.6769
98.510742 78.229 -90.7883
98.876953 78.176 -90.7123
99.243164 78.156 -90.5563
99.609375 78.173 -90.5425
99.975586 78.201 -90.8370
100.341797 78.204 -91.4172
100.708008 78.158 -92.0853
101.074219 78.071 -92.6024
101.440430 77.974 -92.8453
101.806641 77.900 -92.8831
102.172852 77.860 -92.9100
102.539062 77.838 -93.0822
102.905273 77.811 -93.4000
103.271484 77.765 -93.7309
103.637695 77.710 -93.9386
104.003906 77.672 -94.0103
104.370117 77.665 -94.0830
104.736328 77.682 -94.3381
105.102539 77.691 -94.8497
105.468750 77.663 -95.5129
105.834961 77.588 -96.0974
106.201172 77.483 -96.3817
106.567383 77.387 -96.2920
106.933594 77.337 -95.9645
107.299805 77.340 -95.6688
107.666016 77.376 -95.6310
108.032227 77.406 -95.8956
108.398438 77.402 -96.3248
108.764648 77.359 -96.7072
109.130859 77.300 -96.8985
109.497070 77.252 -96.9120
109.863281 77.231 -96.9020
110.229492 77.228 -97.0428
110.595703 77.216 -97.3930
110.961914 77.171 -97.8492
111.328125 77.088 -98.2113
111.694336 76.988 -98.3099
112.060547 76.906 -98.1203
112.426758 76.869 -97.7921
112.792969 76.881 -97.5623
113.159180 76.920 -97.6093
113.525391 76.954 -97.9592
113.891602 76.958 -98.4961
114.257812 76.925 -99.0403
114.624023 76.866 -99.4397
114.990234 76.804 -99.6354
115.356445 76.761 -99.6836
115.722656 76.744 -99.7207
116.088867 76.745 -99.8829
116.455078 76.740 -100.2200
116.821289 76.707 -100.6553
117.187500 76.639 -101.0183
117.553711 76.550 -101.1365
117.919922 76.470 -100.9475
118.286133 76.431 -100.5639
118.652344 76.443 -100.2235
119.018555 76.489 -100.1429
119.384766 76.533 -100.3881
119.750977 76.548 -100.8592
120.117188 76.523 -101.3778
120.483398 76.469 -101.7929
120.849609 76.403 -102.0432
121.215820 76.344 -102.1527
121.582031 76.300 -102.1891
121.948242 76.274 -102.2288
122.314453 76.264 -102.3482
122.680664 76.258 -102.6111
123.046875 76.240 -103.0284
123.413086 76.191 -103.5121
123.779297 76.105 -103.8810
124.145508 76.000 -103.9479
124.511719 75.915 -103.6585
124.877930 75.888 -103.1797
125.244141 75.923 -102.8237
125.610352 75.989 -102.8340
125.976562 76.041 -103.2222
126.342773 76.047 -103.7891
126.708984 76.009 -104.2848
127.075195 75.953 -104.5718
127.441406 75.906 -104.6848
127.807617 75.876 -104.7509
128.173828 75.857 -104.8544
128.540039 75.839 -104.9841
128.906250 75.826 -105.1036
129.272461 75.828 -105.2547
129.638672 75.842 -105.5608
130.004883 75.846 -106.1071
130.371094 75.808 -106.8108
130.737305 75.713 -107.4155
131.103516 75.583 -107.6366
131.469727 75.470 -107.3728
131.835938 75.422 -106.8264
132.202148 75.448 -106.3821
132.568359 75.509 -106.3130
132.934570 75.553 -106.5936
133.300781 75.554 -106.9756
133.666992 75.524 -107.2135
134.033203 75.497 -107.2513
134.399414 75.491 -107.2315
134.765625 75.496 -107.3201
135.131836 75.483 -107.5178
135.498047 75.439 -107.6425
135.864258 75.385 -107.4999
136.230469 75.362 -107.0980
136.596680 75.399 -106.7103
136.962891 75.478 -106.6868
137.329102 75.545 -107.1684
137.695312 75.547 -107.9732
138.061523 75.468 -108.7207
138.427734 75.340 -109.0745
138.793945 75.222 -108.9638
139.160156 75.161 -108.6365
139.526367 75.154 -108.4615
139.892578 75.161 -108.6308
140.258789 75.138 -109.0357
140.625000 75.075 -109.3970
140.991211 75.001 -109.5098
141.357422 74.959 -109.4222
141.723633 74.966 -109.4071
142.089844 74.995 -109.7235
142.456055 74.995 -110.3813
142.822266 74.929 -111.1077
143.188477 74.805 -111.5148
143.554688 74.674 -111.3552
143.920898 74.603 -110.7233
144.287109 74.624 -110.0331
144.653320 74.713 -109.7239
