* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 12, 2024 4:27:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Titan S2 L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 40.319 141.1763
0.732422 42.704 100.7364
1.098633 46.965 70.5993
1.464844 51.391 51.8662
1.831055 55.325 39.1325
2.197266 58.701 29.1833
2.563477 61.566 20.7035
2.929688 63.990 13.2745
3.295898 66.054 6.8127
3.662109 67.848 1.2753
4.028320 69.450 -3.4828
4.394531 70.918 -7.7202
4.760742 72.275 -11.7063
5.126953 73.517 -15.5926
5.493164 74.637 -19.3611
5.859375 75.640 -22.8802
6.225586 76.551 -26.0235
6.591797 77.408 -28.7827
6.958008 78.243 -31.3059
7.324219 79.066 -33.8257
7.690430 79.858 -36.5218
8.056641 80.593 -39.4214
8.422852 81.248 -42.3998
8.789062 81.822 -45.2610
9.155273 82.335 -47.8448
9.521484 82.819 -50.1090
9.887695 83.299 -52.1501
10.253906 83.786 -54.1442
10.620117 84.270 -56.2424
10.986328 84.727 -58.4904
11.352539 85.141 -60.8183
11.718750 85.505 -63.0912
12.084961 85.831 -65.1853
12.451172 86.136 -67.0505
12.817383 86.443 -68.7334
13.183594 86.759 -70.3476
13.549805 87.080 -72.0076
13.916016 87.391 -73.7665
14.282227 87.680 -75.5961
14.648438 87.938 -77.4136
15.014648 88.171 -79.1342
15.380859 88.389 -80.7170
15.747070 88.604 -82.1822
16.113281 88.821 -83.5893
16.479492 89.038 -84.9942
16.845703 89.247 -86.4152
17.211914 89.445 -87.8309
17.578125 89.630 -89.2059
17.944336 89.808 -90.5222
18.310547 89.982 -91.7928
18.676758 90.155 -93.0498
19.042969 90.323 -94.3182
19.409180 90.481 -95.5980
19.775391 90.627 -96.8673
20.141602 90.761 -98.1007
20.507812 90.884 -99.2858
20.874023 90.992 -100.4254
21.240234 91.091 -101.5267
21.606445 91.179 -102.5903
21.972656 91.261 -103.6116
22.338867 91.340 -104.5925
22.705078 91.417 -105.5521
23.071289 91.497 -106.5221
23.437500 91.573 -107.5277
23.803711 91.642 -108.5694
24.169922 91.700 -109.6212
24.536133 91.747 -110.6475
24.902344 91.788 -111.6263
25.268555 91.827 -112.5608
25.634766 91.867 -113.4712
26.000977 91.906 -114.3745
26.367188 91.941 -115.2697
26.733398 91.973 -116.1407
27.099609 92.003 -116.9730
27.465820 92.034 -117.7684
27.832031 92.069 -118.5457
28.198242 92.105 -119.3262
28.564453 92.140 -120.1178
28.930664 92.171 -120.9091
29.296875 92.199 -121.6804
29.663086 92.223 -122.4183
30.029297 92.248 -123.1258
30.395508 92.276 -123.8190
30.761719 92.304 -124.5147
31.127930 92.331 -125.2199
31.494141 92.355 -125.9291
31.860352 92.374 -126.6288
32.226562 92.390 -127.3062
32.592773 92.404 -127.9549
32.958984 92.419 -128.5777
33.325195 92.435 -129.1846
33.691406 92.452 -129.7879
34.057617 92.470 -130.3971
34.423828 92.487 -131.0137
34.790039 92.502 -131.6317
35.156250 92.514 -132.2423
35.522461 92.524 -132.8405
35.888672 92.534 -133.4278
36.254883 92.542 -134.0078
36.621094 92.548 -134.5784
36.987305 92.552 -135.1295
37.353516 92.555 -135.6500
37.719727 92.561 -136.1401
38.085938 92.571 -136.6185
38.452148 92.586 -137.1135
38.818359 92.601 -137.6429
39.184570 92.612 -138.1983
39.550781 92.617 -138.7481
39.916992 92.617 -139.2594
40.283203 92.620 -139.7253
40.649414 92.630 -140.1738
41.015625 92.647 -140.6508
41.381836 92.665 -141.1870
41.748047 92.677 -141.7749
42.114258 92.678 -142.3718
42.480469 92.670 -142.9263
42.846680 92.659 -143.4089
43.212891 92.653 -143.8277
43.579102 92.656 -144.2203
43.945312 92.667 -144.6311
44.311523 92.681 -145.0876
44.677734 92.692 -145.5893
45.043945 92.694 -146.1097
45.410156 92.686 -146.6058
45.776367 92.672 -147.0347
46.142578 92.657 -147.3725
46.508789 92.650 -147.6317
46.875000 92.658 -147.8628
47.241211 92.678 -148.1338
47.607422 92.702 -148.4919
47.973633 92.720 -148.9338
48.339844 92.724 -149.4053
48.706055 92.714 -149.8342
49.072266 92.699 -150.1754
49.438477 92.689 -150.4400
49.804688 92.690 -150.6855
50.170898 92.699 -150.9745
50.537109 92.708 -151.3316
50.903320 92.708 -151.7311
51.269531 92.698 -152.1212
51.635742 92.682 -152.4616
52.001953 92.668 -152.7488
52.368164 92.660 -153.0123
52.734375 92.657 -153.2895
53.100586 92.657 -153.6003
53.466797 92.654 -153.9390
53.833008 92.647 -154.2836
54.199219 92.637 -154.6124
54.565430 92.627 -154.9158
54.931641 92.620 -155.1990
55.297852 92.616 -155.4774
55.664062 92.616 -155.7686
56.030273 92.616 -156.0832
56.396484 92.615 -156.4172
56.762695 92.610 -156.7524
57.128906 92.601 -157.0653
57.495117 92.593 -157.3431
57.861328 92.588 -157.5959
58.227539 92.590 -157.8528
58.593750 92.594 -158.1436
58.959961 92.597 -158.4761
59.326172 92.592 -158.8282
59.692383 92.579 -159.1606
60.058594 92.561 -159.4412
60.424805 92.544 -159.6645
60.791016 92.534 -159.8525
61.157227 92.530 -160.0387
61.523438 92.530 -160.2476
61.889648 92.531 -160.4856
62.255859 92.531 -160.7452
62.622070 92.528 -161.0158
62.988281 92.523 -161.2910
63.354492 92.516 -161.5682
63.720703 92.506 -161.8431
64.086914 92.494 -162.1077
64.453125 92.480 -162.3521
64.819336 92.466 -162.5702
65.185547 92.455 -162.7655
65.551758 92.449 -162.9520
65.917969 92.446 -163.1501
66.284180 92.447 -163.3774
66.650391 92.445 -163.6374
67.016602 92.438 -163.9141
67.382812 92.426 -164.1776
67.749023 92.410 -164.4001
68.115234 92.396 -164.5752
68.481445 92.388 -164.7253
68.847656 92.388 -164.8888
69.213867 92.390 -165.0952
69.580078 92.389 -165.3438
69.946289 92.381 -165.6049
70.312500 92.367 -165.8412
70.678711 92.352 -166.0340
71.044922 92.340 -166.1947
71.411133 92.334 -166.3548
71.777344 92.332 -166.5416
72.143555 92.329 -166.7620
72.509766 92.321 -167.0022
72.875977 92.310 -167.2410
73.242188 92.295 -167.4622
73.608398 92.280 -167.6589
73.974609 92.266 -167.8316
74.340820 92.255 -167.9871
74.707031 92.249 -168.1410
75.073242 92.248 -168.3158
75.439453 92.248 -168.5303
75.805664 92.245 -168.7835
76.171875 92.234 -169.0472
76.538086 92.215 -169.2777
76.904297 92.194 -169.4435
77.270508 92.178 -169.5491
77.636719 92.172 -169.6351
78.002930 92.174 -169.7513
78.369141 92.178 -169.9218
78.735352 92.176 -170.1305
79.101562 92.167 -170.3363
79.467773 92.154 -170.5053
79.833984 92.142 -170.6351
80.200195 92.134 -170.7522
80.566406 92.130 -170.8878
80.932617 92.126 -171.0526
81.298828 92.116 -171.2312
81.665039 92.103 -171.3977
82.031250 92.088 -171.5375
82.397461 92.076 -171.6581
82.763672 92.068 -171.7816
83.129883 92.061 -171.9270
83.496094 92.053 -172.0965
83.862305 92.041 -172.2760
84.228516 92.027 -172.4461
84.594727 92.011 -172.5949
84.960938 91.997 -172.7242
85.327148 91.986 -172.8468
85.693359 91.979 -172.9781
86.059570 91.972 -173.1275
86.425781 91.964 -173.2935
86.791992 91.954 -173.4649
87.158203 91.941 -173.6254
87.524414 91.926 -173.7628
87.890625 91.913 -173.8751
88.256836 91.903 -173.9726
88.623047 91.897 -174.0722
88.989258 91.893 -174.1883
89.355469 91.888 -174.3250
89.721680 91.882 -174.4748
90.087891 91.872 -174.6242
90.454102 91.860 -174.7617
90.820312 91.848 -174.8828
91.186523 91.837 -174.9909
91.552734 91.828 -175.0932
91.918945 91.820 -175.1979
92.285156 91.815 -175.3126
92.651367 91.810 -175.4445
93.017578 91.806 -175.5986
93.383789 91.799 -175.7736
93.750000 91.788 -175.9592
94.116211 91.772 -176.1367
94.482422 91.753 -176.2869
94.848633 91.734 -176.4002
95.214844 91.719 -176.4836
95.581055 91.709 -176.5584
95.947266 91.704 -176.6488
96.313477 91.700 -176.7685
96.679688 91.694 -176.9129
97.045898 91.684 -177.0632
97.412109 91.670 -177.1980
97.778320 91.655 -177.3048
98.144531 91.641 -177.3852
98.510742 91.630 -177.4508
98.876953 91.622 -177.5152
99.243164 91.616 -177.5878
99.609375 91.612 -177.6733
99.975586 91.608 -177.7737
100.341797 91.603 -177.8895
100.708008 91.595 -178.0164
101.074219 91.584 -178.1445
101.440430 91.571 -178.2599
101.806641 91.556 -178.3538
102.172852 91.544 -178.4302
102.539062 91.535 -178.5059
102.905273 91.528 -178.6003
103.271484 91.521 -178.7213
103.637695 91.511 -178.8578
104.003906 91.496 -178.9861
104.370117 91.479 -179.0867
104.736328 91.464 -179.1583
105.102539 91.453 -179.2192
105.468750 91.447 -179.2936
105.834961 91.442 -179.3943
106.201172 91.435 -179.5149
106.567383 91.426 -179.6368
106.933594 91.414 -179.7447
107.299805 91.404 -179.8377
107.666016 91.395 -179.9279
108.032227 91.388 179.9717
108.398438 91.380 179.8588
108.764648 91.370 179.7436
109.130859 91.357 179.6406
109.497070 91.344 179.5568
109.863281 91.332 179.4879
110.229492 91.322 179.4230
110.595703 91.314 179.3539
110.961914 91.305 179.2805
111.328125 91.296 179.2083
111.694336 91.288 179.1403
112.060547 91.280 179.0726
112.426758 91.274 178.9962
112.792969 91.267 178.9059
113.159180 91.258 178.8068
113.525391 91.246 178.7137
113.891602 91.232 178.6411
114.257812 91.220 178.5917
114.624023 91.211 178.5515
114.990234 91.207 178.4967
115.356445 91.205 178.4091
115.722656 91.200 178.2896
116.088867 91.189 178.1599
116.455078 91.173 178.0502
116.821289 91.156 177.9807
117.187500 91.142 177.9473
117.553711 91.135 177.9236
117.919922 91.133 177.8764
118.286133 91.133 177.7867
118.652344 91.129 177.6603
119.018555 91.119 177.5235
119.384766 91.104 177.4060
119.750977 91.087 177.3246
120.117188 91.072 177.2755
120.483398 91.060 177.2402
120.849609 91.052 177.1995
121.215820 91.045 177.1441
121.582031 91.037 177.0778
121.948242 91.028 177.0105
122.314453 91.018 176.9501
122.680664 91.009 176.8972
123.046875 91.001 176.8460
123.413086 90.993 176.7902
123.779297 90.986 176.7271
124.145508 90.977 176.6597
124.511719 90.968 176.5935
124.877930 90.958 176.5323
125.244141 90.948 176.4755
125.610352 90.939 176.4197
125.976562 90.930 176.3624
126.342773 90.921 176.3046
126.708984 90.912 176.2494
127.075195 90.903 176.1972
127.441406 90.896 176.1426
127.807617 90.890 176.0768
128.173828 90.883 175.9951
128.540039 90.873 175.9044
128.906250 90.860 175.8217
129.272461 90.845 175.7634
129.638672 90.832 175.7322
130.004883 90.822 175.7122
130.371094 90.817 175.6791
130.737305 90.813 175.6187
131.103516 90.807 175.5382
131.469727 90.797 175.4607
131.835938 90.785 175.4056
132.202148 90.776 175.3709
132.568359 90.771 175.3349
132.934570 90.768 175.2746
133.300781 90.763 175.1881
133.666992 90.754 175.0983
134.033203 90.741 175.0327
134.399414 90.731 174.9979
134.765625 90.727 174.9681
135.131836 90.727 174.9039
135.498047 90.726 174.7856
135.864258 90.716 174.6345
136.230469 90.695 174.5026
136.596680 90.668 174.4380
136.962891 90.644 174.4516
137.329102 90.629 174.5089
137.695312 90.624 174.5559
138.061523 90.625 174.5547
138.427734 90.625 174.5038
138.793945 90.621 174.4291
139.160156 90.611 174.3585
139.526367 90.600 174.3041
139.892578 90.589 174.2621
140.258789 90.579 174.2257
140.625000 90.569 174.1943
140.991211 90.560 174.1703
141.357422 90.552 174.1497
141.723633 90.548 174.1191
142.089844 90.543 174.0668
142.456055 90.537 173.9953
142.822266 90.526 173.9249
143.188477 90.513 173.8794
143.554688 90.501 173.8652
143.920898 90.493 173.8640
144.287109 90.491 173.8450
144.653320 90.489 173.7901
145.019531 90.483 173.7098
145.385742 90.471 173.6359
