* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 12, 2024 4:26:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Titan S2 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 36.021 82.1329
0.732422 43.015 67.2119
1.098633 47.926 55.6724
1.464844 51.980 45.9023
1.831055 55.474 37.2345
2.197266 58.521 29.3108
2.563477 61.185 21.9864
2.929688 63.521 15.2380
3.295898 65.585 9.0711
3.662109 67.430 3.4553
4.028320 69.101 -1.7011
4.394531 70.626 -6.5257
4.760742 72.020 -11.1259
5.126953 73.284 -15.5371
5.493164 74.422 -19.7130
5.859375 75.447 -23.5662
6.225586 76.383 -27.0363
6.591797 77.257 -30.1472
6.958008 78.090 -33.0147
7.324219 78.888 -35.7884
7.690430 79.640 -38.5665
8.056641 80.333 -41.3439
8.422852 80.961 -44.0298
8.789062 81.532 -46.5181
9.155273 82.067 -48.7655
9.521484 82.587 -50.8307
9.887695 83.102 -52.8432
10.253906 83.604 -54.9245
10.620117 84.079 -57.1156
10.986328 84.512 -59.3634
11.352539 84.900 -61.5647
11.718750 85.253 -63.6318
12.084961 85.586 -65.5408
12.451172 85.911 -67.3335
12.817383 86.231 -69.0782
13.183594 86.542 -70.8192
13.549805 86.839 -72.5529
13.916016 87.120 -74.2446
14.282227 87.389 -75.8671
14.648438 87.653 -77.4300
15.014648 87.915 -78.9762
15.380859 88.170 -80.5484
15.747070 88.411 -82.1526
16.113281 88.631 -83.7491
16.479492 88.831 -85.2773
16.845703 89.019 -86.6976
17.211914 89.202 -88.0194
17.578125 89.388 -89.2933
17.944336 89.573 -90.5741
18.310547 89.750 -91.8827
18.676758 89.915 -93.1977
19.042969 90.067 -94.4807
19.409180 90.210 -95.7118
19.775391 90.350 -96.9048
20.141602 90.485 -98.0896
20.507812 90.611 -99.2801
20.874023 90.718 -100.4585
21.240234 90.813 -101.5911
21.606445 90.898 -102.6624
21.972656 90.983 -103.6945
22.338867 91.069 -104.7306
22.705078 91.149 -105.7950
23.071289 91.219 -106.8668
23.437500 91.278 -107.8942
23.803711 91.335 -108.8416
24.169922 91.399 -109.7311
24.536133 91.474 -110.6372
24.902344 91.554 -111.6337
25.268555 91.624 -112.7338
25.634766 91.673 -113.8736
26.000977 91.698 -114.9509
26.367188 91.711 -115.8916
26.733398 91.727 -116.6948
27.099609 91.753 -117.4247
27.465820 91.788 -118.1561
27.832031 91.825 -118.9207
28.198242 91.856 -119.6949
28.564453 91.882 -120.4353
28.930664 91.908 -121.1259
29.296875 91.940 -121.7959
29.663086 91.978 -122.4957
30.029297 92.014 -123.2536
30.395508 92.040 -124.0499
30.761719 92.054 -124.8299
31.127930 92.060 -125.5425
31.494141 92.066 -126.1755
31.860352 92.081 -126.7617
32.226562 92.103 -127.3541
32.592773 92.130 -127.9903
32.958984 92.154 -128.6713
33.325195 92.170 -129.3665
33.691406 92.179 -130.0365
34.057617 92.185 -130.6562
34.423828 92.192 -131.2256
34.790039 92.205 -131.7658
35.156250 92.224 -132.3064
35.522461 92.247 -132.8719
35.888672 92.270 -133.4734
36.254883 92.289 -134.1057
36.621094 92.301 -134.7491
36.987305 92.305 -135.3762
37.353516 92.304 -135.9610
37.719727 92.301 -136.4894
38.085938 92.301 -136.9659
38.452148 92.306 -137.4113
38.818359 92.318 -137.8530
39.184570 92.335 -138.3129
39.550781 92.353 -138.8004
39.916992 92.371 -139.3151
40.283203 92.387 -139.8543
40.649414 92.400 -140.4159
41.015625 92.407 -140.9938
41.381836 92.405 -141.5696
41.748047 92.395 -142.1109
42.114258 92.379 -142.5836
42.480469 92.365 -142.9729
42.846680 92.359 -143.3000
43.212891 92.366 -143.6159
43.579102 92.381 -143.9744
43.945312 92.399 -144.4006
44.311523 92.411 -144.8777
44.677734 92.414 -145.3636
45.043945 92.411 -145.8207
45.410156 92.407 -146.2403
45.776367 92.405 -146.6408
46.142578 92.405 -147.0456
46.508789 92.404 -147.4607
46.875000 92.399 -147.8700
47.241211 92.391 -148.2523
47.607422 92.385 -148.6013
47.973633 92.383 -148.9323
48.339844 92.385 -149.2683
48.706055 92.388 -149.6218
49.072266 92.391 -149.9872
49.438477 92.392 -150.3528
49.804688 92.394 -150.7155
50.170898 92.395 -151.0847
50.537109 92.396 -151.4686
50.903320 92.392 -151.8575
51.269531 92.382 -152.2238
51.635742 92.371 -152.5420
52.001953 92.365 -152.8144
52.368164 92.366 -153.0767
52.734375 92.374 -153.3759
53.100586 92.382 -153.7344
53.466797 92.383 -154.1325
53.833008 92.375 -154.5237
54.199219 92.361 -154.8699
54.565430 92.347 -155.1678
54.931641 92.339 -155.4446
55.297852 92.333 -155.7279
55.664062 92.326 -156.0194
56.030273 92.317 -156.2972
56.396484 92.311 -156.5448
56.762695 92.310 -156.7767
57.128906 92.315 -157.0334
57.495117 92.322 -157.3461
57.861328 92.322 -157.7025
58.227539 92.312 -158.0471
58.593750 92.295 -158.3215
58.959961 92.283 -158.5132
59.326172 92.285 -158.6732
59.692383 92.299 -158.8824
60.058594 92.316 -159.1918
60.424805 92.323 -159.5843
60.791016 92.313 -159.9874
61.157227 92.291 -160.3234
61.523438 92.265 -160.5582
61.889648 92.248 -160.7169
62.255859 92.242 -160.8584
62.622070 92.244 -161.0331
62.988281 92.248 -161.2582
63.354492 92.250 -161.5218
63.720703 92.248 -161.8036
64.086914 92.241 -162.0885
64.453125 92.232 -162.3677
64.819336 92.219 -162.6324
65.185547 92.206 -162.8734
65.551758 92.195 -163.0899
65.917969 92.187 -163.2953
66.284180 92.184 -163.5129
66.650391 92.182 -163.7598
67.016602 92.178 -164.0333
67.382812 92.168 -164.3111
67.749023 92.154 -164.5650
68.115234 92.138 -164.7776
68.481445 92.125 -164.9512
68.847656 92.117 -165.1034
69.213867 92.114 -165.2567
69.580078 92.115 -165.4284
69.946289 92.116 -165.6252
70.312500 92.114 -165.8415
70.678711 92.107 -166.0600
71.044922 92.097 -166.2578
71.411133 92.085 -166.4199
71.777344 92.078 -166.5524
72.143555 92.078 -166.6879
72.509766 92.083 -166.8702
72.875977 92.087 -167.1266
73.242188 92.081 -167.4444
73.608398 92.061 -167.7700
73.974609 92.028 -168.0364
74.340820 91.992 -168.2021
74.707031 91.964 -168.2792
75.073242 91.952 -168.3300
75.439453 91.952 -168.4306
75.805664 91.958 -168.6249
76.171875 91.957 -168.9005
76.538086 91.943 -169.1995
76.904297 91.919 -169.4549
77.270508 91.893 -169.6301
77.636719 91.873 -169.7381
78.002930 91.865 -169.8299
78.369141 91.866 -169.9586
78.735352 91.868 -170.1455
79.101562 91.865 -170.3691
79.467773 91.854 -170.5833
79.833984 91.839 -170.7502
80.200195 91.828 -170.8660
80.566406 91.823 -170.9624
80.932617 91.826 -171.0829
81.298828 91.829 -171.2523
81.665039 91.827 -171.4612
82.031250 91.818 -171.6753
82.397461 91.802 -171.8598
82.763672 91.785 -172.0015
83.129883 91.770 -172.1133
83.496094 91.760 -172.2206
83.862305 91.752 -172.3426
84.228516 91.743 -172.4822
84.594727 91.733 -172.6299
84.960938 91.721 -172.7755
85.327148 91.708 -172.9159
85.693359 91.696 -173.0539
86.059570 91.684 -173.1925
86.425781 91.673 -173.3310
86.791992 91.661 -173.4666
87.158203 91.650 -173.5995
87.524414 91.640 -173.7346
87.890625 91.631 -173.8775
88.256836 91.622 -174.0284
88.623047 91.611 -174.1801
88.989258 91.599 -174.3222
89.355469 91.587 -174.4495
89.721680 91.576 -174.5672
90.087891 91.568 -174.6874
90.454102 91.561 -174.8196
90.820312 91.553 -174.9627
91.186523 91.543 -175.1046
91.552734 91.531 -175.2316
91.918945 91.521 -175.3407
92.285156 91.514 -175.4447
92.651367 91.510 -175.5648
93.017578 91.506 -175.7155
93.383789 91.499 -175.8922
93.750000 91.486 -176.0711
94.116211 91.468 -176.2236
94.482422 91.449 -176.3348
94.848633 91.434 -176.4136
95.214844 91.425 -176.4861
95.581055 91.419 -176.5777
95.947266 91.414 -176.6967
96.313477 91.406 -176.8311
96.679688 91.394 -176.9599
97.045898 91.381 -177.0696
97.412109 91.370 -177.1621
97.778320 91.360 -177.2494
98.144531 91.351 -177.3421
98.510742 91.342 -177.4406
98.876953 91.333 -177.5371
99.243164 91.323 -177.6251
99.609375 91.314 -177.7068
99.975586 91.307 -177.7927
100.341797 91.302 -177.8935
100.708008 91.296 -178.0122
101.074219 91.287 -178.1425
101.440430 91.276 -178.2727
101.806641 91.262 -178.3931
102.172852 91.248 -178.4988
102.539062 91.234 -178.5905
102.905273 91.223 -178.6731
103.271484 91.213 -178.7547
103.637695 91.206 -178.8454
104.003906 91.200 -178.9530
104.370117 91.192 -179.0772
104.736328 91.182 -179.2074
105.102539 91.168 -179.3268
105.468750 91.154 -179.4225
105.834961 91.140 -179.4944
106.201172 91.130 -179.5550
106.567383 91.124 -179.6206
106.933594 91.118 -179.6993
107.299805 91.111 -179.7873
107.666016 91.104 -179.8746
108.032227 91.096 -179.9564
108.398438 91.090 179.9621
108.764648 91.084 179.8707
109.130859 91.076 179.7653
109.497070 91.067 179.6541
109.863281 91.054 179.5533
110.229492 91.040 179.4741
110.595703 91.028 179.4126
110.961914 91.018 179.3521
111.328125 91.011 179.2758
111.694336 91.003 179.1810
112.060547 90.991 179.0811
112.426758 90.978 178.9953
112.792969 90.965 178.9319
113.159180 90.955 178.8809
113.525391 90.950 178.8201
113.891602 90.945 178.7324
114.257812 90.939 178.6190
114.624023 90.928 178.4997
114.990234 90.913 178.3997
115.356445 90.898 178.3320
115.722656 90.885 178.2894
116.088867 90.877 178.2512
116.455078 90.871 178.1978
116.821289 90.866 178.1250
117.187500 90.858 178.0446
117.553711 90.848 177.9738
117.919922 90.838 177.9207
118.286133 90.831 177.8785
118.652344 90.827 177.8297
119.018555 90.824 177.7589
119.384766 90.820 177.6638
119.750977 90.813 177.5561
120.117188 90.802 177.4537
120.483398 90.789 177.3695
120.849609 90.776 177.3048
121.215820 90.765 177.2504
121.582031 90.756 177.1940
121.948242 90.748 177.1281
122.314453 90.739 177.0532
122.680664 90.729 176.9762
123.046875 90.718 176.9048
123.413086 90.707 176.8433
123.779297 90.697 176.7903
124.145508 90.688 176.7403
124.511719 90.680 176.6862
124.877930 90.674 176.6231
125.244141 90.667 176.5503
125.610352 90.658 176.4716
125.976562 90.648 176.3936
126.342773 90.637 176.3231
126.708984 90.625 176.2637
127.075195 90.614 176.2141
127.441406 90.604 176.1697
127.807617 90.595 176.1248
128.173828 90.587 176.0764
128.540039 90.579 176.0249
128.906250 90.570 175.9727
129.272461 90.562 175.9206
129.638672 90.554 175.8669
130.004883 90.547 175.8086
130.371094 90.538 175.7449
130.737305 90.529 175.6805
131.103516 90.517 175.6237
131.469727 90.506 175.5804
131.835938 90.496 175.5491
132.202148 90.488 175.5205
132.568359 90.482 175.4826
132.934570 90.477 175.4294
133.300781 90.470 175.3648
133.666992 90.461 175.2992
134.033203 90.450 175.2425
134.399414 90.439 175.1972
134.765625 90.429 175.1586
135.131836 90.421 175.1193
135.498047 90.413 175.0745
135.864258 90.405 175.0233
136.230469 90.397 174.9673
136.596680 90.389 174.9075
136.962891 90.380 174.8453
137.329102 90.371 174.7821
137.695312 90.361 174.7203
138.061523 90.351 174.6613
138.427734 90.341 174.6048
138.793945 90.331 174.5513
139.160156 90.320 174.5039
139.526367 90.311 174.4659
139.892578 90.303 174.4351
140.258789 90.298 174.3989
140.625000 90.294 174.3414
140.991211 90.287 174.2601
141.357422 90.275 174.1778
141.723633 90.256 174.1350
142.089844 90.238 174.1588
142.456055 90.230 174.2310
142.822266 90.234 174.2866
143.188477 90.244 174.2562
143.554688 90.248 174.1265
143.920898 90.232 173.9666
144.287109 90.199 173.8912
144.653320 90.163 173.9797
145.019531 90.146 174.2032
145.385742 90.159 174.4255
