* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Dec 17, 2022 12:59:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Top R
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.335	-116.8064
20.600000	92.470	-118.6789
21.200001	92.579	-120.4777
21.799999	92.669	-122.1967
22.400000	92.746	-123.8632
23.000000	92.811	-125.4975
23.600000	92.863	-127.0883
24.299999	92.911	-128.8718
25.000000	92.951	-130.5881
25.799999	92.984	-132.4813
26.500000	93.004	-134.0623
27.200001	93.018	-135.5631
28.000000	93.031	-137.1881
29.000000	93.049	-139.1341
30.000000	93.065	-141.0702
30.700001	93.069	-142.4068
31.500000	93.067	-143.8694
32.500000	93.066	-145.6070
33.500000	93.069	-147.3106
34.500000	93.063	-148.9866
35.500000	93.049	-150.5525
36.500000	93.038	-152.0076
37.500000	93.031	-153.4294
38.700001	93.018	-155.1049
40.000000	92.996	-156.8417
41.200001	92.973	-158.3749
42.500000	92.947	-159.9850
43.700001	92.920	-161.4314
45.000000	92.889	-162.9295
46.200001	92.860	-164.2645
47.500000	92.823	-165.6516
48.700001	92.790	-166.8566
50.000000	92.753	-168.1635
51.500000	92.702	-169.6234
53.000000	92.651	-171.0300
54.500000	92.600	-172.4024
56.000000	92.549	-173.7190
58.000000	92.477	-175.3631
60.000000	92.410	-176.8809
61.500000	92.353	-178.0374
63.000000	92.288	-179.1422
65.000000	92.204	179.4305
67.000000	92.118	178.0406
69.000000	92.033	176.7285
71.000000	91.945	175.4641
73.000000	91.852	174.2581
75.000000	91.758	173.1005
77.500000	91.639	171.7164
80.000000	91.520	170.3919
82.500000	91.397	169.1267
85.000000	91.270	167.9319
87.500000	91.141	166.8022
90.000000	91.010	165.7134
92.500000	90.879	164.6858
95.000000	90.749	163.7115
97.500000	90.616	162.7900
100.000000	90.480	161.9082
103.000000	90.318	160.9015
106.000000	90.161	159.9452
109.000000	90.004	159.0610
112.000000	89.844	158.2631
115.000000	89.686	157.5114
118.000000	89.529	156.7986
122.000000	89.317	155.9424
125.000000	89.155	155.3777
128.000000	88.995	154.8550
132.000000	88.784	154.2371
136.000000	88.574	153.6899
140.000000	88.363	153.2189
145.000000	88.105	152.7576
150.000000	87.851	152.4070
155.000000	87.599	152.1634
160.000000	87.354	152.0129
165.000000	87.115	151.9651
170.000000	86.881	152.0021
175.000000	86.653	152.1130
180.000000	86.433	152.2840
185.000000	86.222	152.5739
190.000000	86.020	152.9261
195.000000	85.826	153.3252
200.000000	85.640	153.7763
206.000000	85.428	154.3820
212.000000	85.230	155.0474
218.000000	85.043	155.7614
224.000000	84.869	156.5196
230.000000	84.707	157.3112
236.000000	84.557	158.1247
243.000000	84.395	159.0850
250.000000	84.251	160.0523
258.000000	84.102	161.1881
265.000000	83.986	162.1949
272.000000	83.882	163.1909
280.000000	83.777	164.3028
290.000000	83.665	165.6569
300.000000	83.574	166.9704
307.000000	83.514	167.8611
315.000000	83.453	168.8517
325.000000	83.390	170.0421
335.000000	83.338	171.1832
345.000000	83.294	172.2711
355.000000	83.256	173.3052
365.000000	83.226	174.2918
375.000000	83.199	175.2347
387.000000	83.170	176.3199
400.000000	83.143	177.4343
412.000000	83.121	178.4149
