* Measurement data measured by REW V5.20 Beta 59
* Source: C:\Users\ahngu\OneDrive\Headphones\House Curves\torankutargetv5.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 18, 2020 9:21:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: torankutargetv5
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.000221	0
20.600000	81.002487	0
21.200001	81.004921	0
21.799999	81.007248	0
22.400000	81.009415	0
23.000000	81.011360	0
23.600000	81.013039	0
24.299999	81.014580	0
25.000000	81.015594	0
25.799999	81.015999	0
26.500000	81.015594	0
27.200001	81.014397	0
28.000000	81.011940	0
29.000000	81.007057	0
30.000000	81.000443	0
30.700001	80.997757	0
31.500000	80.993500	0
32.500000	80.985054	0
33.500000	80.972557	0
34.500000	80.955383	0
35.500000	80.932907	0
36.500000	80.904510	0
37.500000	80.869568	0
38.700001	80.818138	0
40.000000	80.746819	0
41.200001	80.650085	0
42.500000	80.539856	0
43.700001	80.436516	0
45.000000	80.323097	0
46.200001	80.217308	0
47.500000	80.101791	0
48.700001	79.994560	0
50.000000	79.878029	0
51.500000	79.743462	0
53.000000	79.609200	0
54.500000	79.475708	0
56.000000	79.343422	0
58.000000	79.169716	0
60.000000	79.000031	0
61.500000	78.876053	0
63.000000	78.755386	0
65.000000	78.603233	0
67.000000	78.477806	0
69.000000	78.356819	0
71.000000	78.237175	0
73.000000	78.118866	0
75.000000	78.001884	0
77.500000	77.857529	0
80.000000	77.715248	0
82.500000	77.575027	0
85.000000	77.436867	0
87.500000	77.300751	0
90.000000	77.166679	0
92.500000	77.034637	0
95.000000	76.904625	0
97.500000	76.776642	0
100.000000	76.650673	0
103.000000	76.502151	0
106.000000	76.356522	0
109.000000	76.213760	0
112.000000	76.073845	0
115.000000	75.936783	0
118.000000	75.802551	0
122.000000	75.627968	0
125.000000	75.501839	0
128.000000	75.390961	0
132.000000	75.267776	0
136.000000	75.169975	0
140.000000	75.095711	0
145.000000	75.033150	0
150.000000	75.000145	0
155.000000	74.981201	0
160.000000	74.968193	0
165.000000	74.960518	0
170.000000	74.957504	0
175.000000	74.958488	0
180.000000	74.962799	0
185.000000	74.969780	0
190.000000	74.978745	0
195.000000	74.989044	0
200.000000	74.998520	0
206.000000	75.000000	0
212.000000	75.000000	0
218.000000	75.000000	0
224.000000	75.000000	0
230.000000	75.000000	0
236.000000	75.000000	0
243.000000	75.000000	0
250.000000	75.000000	0
258.000000	75.000000	0
265.000000	75.000000	0
272.000000	75.000000	0
280.000000	75.000000	0
290.000000	75.000000	0
300.000000	75.000000	0
307.000000	75.000000	0
315.000000	75.000000	0
325.000000	75.000000	0
335.000000	75.000000	0
345.000000	75.000000	0
355.000000	75.000000	0
365.000000	75.000000	0
375.000000	75.000000	0
387.000000	75.000000	0
400.000000	75.000000	0
412.000000	75.000000	0
425.000000	75.000000	0
437.000000	75.000000	0
450.000000	75.000000	0
462.000000	75.000000	0
475.000000	75.000000	0
487.000000	75.000000	0
500.000000	75.000000	0
