* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 7, 2022 2:05:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Triton R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	82.847832	-149.8892
21.200001	82.894234	-151.2614
21.799999	82.956848	-152.6271
22.400000	83.015808	-153.9666
23.000000	83.041786	-155.5432
23.600000	83.064392	-157.0836
24.299999	83.029900	-158.3411
25.000000	82.971107	-159.8861
25.799999	83.012772	-161.7950
26.500000	82.942322	-163.0750
27.200001	82.854263	-164.4955
28.000000	82.889778	-165.7107
29.000000	82.825050	-167.5132
30.000000	82.757240	-169.2821
30.700001	82.731071	-170.3809
31.500000	82.718056	-171.9035
32.500000	82.697617	-173.4058
33.500000	82.667702	-175.0817
34.500000	82.589409	-176.4647
35.500000	82.547318	-177.9470
36.500000	82.497742	-179.2690
37.500000	82.453682	179.2459
38.700001	82.408600	177.7166
40.000000	82.318741	176.1394
41.200001	82.278091	174.6197
42.500000	82.152802	172.9056
43.700001	82.111633	171.5855
45.000000	82.062630	170.2618
46.200001	82.003517	168.7896
47.500000	81.909180	167.3600
48.700001	81.869278	166.1921
50.000000	81.788208	164.9305
51.500000	81.697250	163.5905
53.000000	81.622368	162.1298
54.500000	81.546089	160.8284
56.000000	81.460655	159.4860
58.000000	81.363373	157.8085
60.000000	81.302086	155.9710
61.500000	81.173782	155.0047
63.000000	81.113792	153.9398
65.000000	81.014397	152.3904
67.000000	80.906952	151.0298
69.000000	80.810585	149.6677
71.000000	80.719612	148.3168
73.000000	80.620033	147.0700
75.000000	80.524048	145.7957
77.500000	80.406456	144.2980
80.000000	80.300575	142.8634
82.500000	80.188019	141.5486
85.000000	80.080139	140.1934
87.500000	79.974030	138.8719
90.000000	79.922173	138.1737
92.500000	79.766960	136.4256
95.000000	79.660873	135.2633
97.500000	79.578613	134.0721
100.000000	79.483795	133.0757
103.000000	79.370522	131.7679
106.000000	79.265541	130.4891
109.000000	79.170074	129.3310
112.000000	79.092209	128.0811
115.000000	78.989861	126.8024
118.000000	78.899727	125.7237
122.000000	78.792709	124.2590
125.000000	78.713249	123.2069
128.000000	78.637207	122.1217
132.000000	78.530266	120.7399
136.000000	78.437347	119.4990
140.000000	78.339310	118.1718
145.000000	78.226593	116.6209
150.000000	78.116325	115.1086
155.000000	78.016571	113.6310
160.000000	77.918289	112.1825
165.000000	77.824547	110.8121
170.000000	77.729561	109.4643
