* Measurement data measured by REW V5.20 Beta 26
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Dec 31, 2019 8:37:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: qdc Uranus - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.135803	-132.0497
21.200001	84.161827	-132.2228
21.799999	84.182190	-132.2173
22.400000	84.211517	-132.2640
23.000000	84.245956	-132.4371
23.600000	84.287331	-132.7449
24.299999	84.334991	-133.3030
25.000000	84.356979	-133.9342
25.799999	84.356857	-134.3516
26.500000	84.382095	-134.3433
27.200001	84.458099	-134.2702
28.000000	84.553970	-134.5057
29.000000	84.578178	-134.7539
30.000000	84.639702	-134.4506
30.700001	84.718353	-134.7194
31.500000	84.718277	-135.3212
32.500000	84.668610	-135.4662
33.500000	84.663429	-135.4082
34.500000	84.699432	-135.0389
35.500000	84.816841	-135.0583
36.500000	84.830795	-135.3079
37.500000	84.846809	-134.9170
38.700001	84.890892	-134.7871
40.000000	84.885048	-134.4967
41.200001	84.894638	-134.3233
42.500000	84.913475	-134.1091
43.700001	84.960625	-134.0410
45.000000	84.994446	-134.0718
46.200001	85.009369	-133.8055
47.500000	85.051682	-133.4748
48.700001	85.068359	-133.1670
50.000000	85.086868	-132.8460
51.500000	85.090637	-132.4272
53.000000	85.118202	-132.0468
54.500000	85.140549	-131.7142
56.000000	85.138245	-131.2744
58.000000	85.189362	-130.5197
60.000000	85.202545	-130.0892
61.500000	85.214348	-129.6983
63.000000	85.198219	-129.3272
65.000000	85.288193	-128.5604
67.000000	85.295113	-127.9309
69.000000	85.350296	-127.1087
71.000000	85.414139	-126.5234
73.000000	85.465225	-126.0106
75.000000	85.484673	-125.4964
77.500000	85.519638	-124.8277
80.000000	85.578209	-123.9923
82.500000	85.609123	-123.1912
85.000000	85.650040	-122.6482
87.500000	85.696159	-122.0389
90.000000	85.746216	-121.4539
92.500000	85.783684	-120.5845
95.000000	85.814865	-119.9442
97.500000	85.861549	-119.1987
100.000000	85.892754	-118.6224
103.000000	85.918541	-117.9013
106.000000	85.998802	-117.3906
109.000000	85.974236	-116.3697
112.000000	86.054665	-115.1706
115.000000	86.099121	-114.5997
118.000000	86.093437	-114.1918
122.000000	86.152306	-113.2535
125.000000	86.180077	-112.5182
128.000000	86.194962	-111.7589
132.000000	86.227676	-110.8279
136.000000	86.254730	-109.8417
140.000000	86.273376	-109.0161
145.000000	86.310020	-107.8466
150.000000	86.349602	-106.6821
155.000000	86.352928	-105.5618
160.000000	86.381889	-104.4899
165.000000	86.407837	-103.3695
170.000000	86.421577	-102.2777
175.000000	86.428680	-101.3054
180.000000	86.449020	-100.3084
185.000000	86.458275	-99.2838
190.000000	86.459290	-98.3787
195.000000	86.438797	-97.3034
200.000000	86.429680	-96.3989
206.000000	86.406006	-95.0633
212.000000	86.343178	-93.7494
218.000000	86.299225	-92.2362
224.000000	86.315430	-90.4178
230.000000	86.408974	-88.9924
