* Measurement data measured by REW V5.20 Beta 26
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Dec 31, 2019 8:39:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: qdc Uranus - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.698730	-132.4027
21.200001	84.743324	-132.6015
21.799999	84.755432	-132.6918
22.400000	84.766022	-132.7089
23.000000	84.799805	-132.8064
23.600000	84.846329	-133.1793
24.299999	84.871643	-133.8697
25.000000	84.862091	-134.3888
25.799999	84.885086	-134.5650
26.500000	84.957840	-134.7042
27.200001	85.034554	-134.9954
28.000000	85.089890	-135.3165
29.000000	85.126900	-135.4710
30.000000	85.152542	-135.4771
30.700001	85.162827	-135.4453
31.500000	85.181953	-135.3869
32.500000	85.215141	-135.5214
33.500000	85.217964	-135.6532
34.500000	85.263969	-135.5628
35.500000	85.334000	-135.8709
36.500000	85.320625	-136.1107
37.500000	85.319725	-135.7592
38.700001	85.369110	-135.5566
40.000000	85.365646	-135.2599
41.200001	85.407669	-135.0485
42.500000	85.405190	-135.0244
43.700001	85.419586	-134.7490
45.000000	85.461418	-134.5565
46.200001	85.477234	-134.3231
47.500000	85.504921	-133.8840
48.700001	85.522087	-133.4434
50.000000	85.563126	-132.9723
51.500000	85.578506	-132.6745
53.000000	85.595795	-132.2181
54.500000	85.629883	-131.8642
56.000000	85.651352	-131.4231
58.000000	85.717102	-130.9005
60.000000	85.731819	-130.1343
61.500000	85.730202	-129.7825
63.000000	85.751900	-129.1485
65.000000	85.793671	-128.7290
67.000000	85.822716	-128.1170
69.000000	85.883270	-127.4583
71.000000	85.917877	-126.7707
73.000000	85.932037	-126.1459
75.000000	85.956680	-125.5757
77.500000	86.015778	-124.7926
80.000000	86.072655	-124.0814
82.500000	86.112549	-123.2250
85.000000	86.147568	-122.4526
87.500000	86.180267	-121.8778
90.000000	86.284180	-121.1674
92.500000	86.281479	-120.5659
95.000000	86.315384	-119.9033
97.500000	86.352577	-119.3164
100.000000	86.416245	-118.6655
103.000000	86.456291	-117.7273
106.000000	86.483360	-116.9798
109.000000	86.539833	-116.1850
112.000000	86.576942	-115.4788
115.000000	86.592697	-114.4981
118.000000	86.632477	-113.8741
122.000000	86.675552	-112.9491
125.000000	86.712990	-112.3308
128.000000	86.721756	-111.5942
132.000000	86.755730	-110.5503
136.000000	86.743126	-109.5659
140.000000	86.846428	-109.1222
145.000000	86.890907	-107.7094
150.000000	86.902473	-106.5880
155.000000	86.946899	-105.5165
160.000000	86.966003	-104.4908
165.000000	86.983521	-103.4714
170.000000	86.997307	-102.4840
175.000000	87.006905	-101.4334
180.000000	87.006729	-100.5595
185.000000	87.013481	-99.7017
190.000000	86.978462	-98.7287
195.000000	86.927216	-97.8086
200.000000	86.859772	-96.5804
206.000000	86.769020	-94.3639
212.000000	86.917183	-91.7933
218.000000	87.111496	-90.9210
224.000000	87.177872	-90.4069
230.000000	87.163506	-89.8036
236.000000	87.152245	-89.0271
243.000000	87.118515	-87.9277
250.000000	87.074677	-86.8262
258.000000	87.006653	-85.5678
265.000000	86.939529	-84.3142
272.000000	86.873856	-83.1352
280.000000	86.798523	-81.7427
290.000000	86.694710	-79.9083
300.000000	86.559288	-78.0267
307.000000	86.462578	-76.6701
315.000000	86.360474	-75.1412
325.000000	86.220627	-73.1435
335.000000	86.076157	-71.0879
345.000000	85.920860	-68.8228
355.000000	85.761948	-66.6932
365.000000	85.602844	-64.4511
375.000000	85.431572	-62.1203
387.000000	85.256363	-59.2331
400.000000	85.039551	-55.9842
412.000000	84.832199	-52.9915
425.000000	84.632278	-49.6790
437.000000	84.433517	-46.4930
450.000000	84.228935	-42.9617
462.000000	84.022362	-39.5464
475.000000	83.807976	-35.9675
487.000000	83.611183	-32.4905
500.000000	83.406036	-28.4735
515.000000	83.158577	-23.6370
530.000000	82.988571	-18.6148
545.000000	82.912827	-13.7976
560.000000	82.803055	-9.4636
580.000000	82.616524	-3.5318
600.000000	82.409546	2.1386
615.000000	82.219467	6.5741
630.000000	82.035576	11.3114
650.000000	81.826164	17.5427
670.000000	81.585388	24.0300
690.000000	81.389412	30.5960
710.000000	81.199234	37.1948
730.000000	81.001411	43.8955
750.000000	80.818100	50.8077
775.000000	80.651192	59.7604
800.000000	80.493874	68.8847
825.000000	80.420944	78.2106
850.000000	80.421516	87.4525
875.000000	80.527145	96.5782
900.000000	80.668594	105.3267
925.000000	80.840538	113.8165
950.000000	81.006142	121.9017
975.000000	81.175735	129.8765
1000.000000	81.364418	137.0674
1030.000000	81.586258	146.8400
1060.000000	81.842896	155.7856
1090.000000	82.130959	164.5428
1120.000000	82.432915	173.0341
1150.000000	82.752991	-178.8478
1180.000000	83.091324	-171.0836
1220.000000	83.505295	-161.3470
1250.000000	83.815659	-154.1819
1280.000000	84.083382	-147.4206
1320.000000	84.420319	-138.7656
1360.000000	84.711784	-130.2743
1400.000000	84.965622	-121.7736
1450.000000	85.253700	-111.6306
1500.000000	85.511887	-101.3790
1550.000000	85.752045	-91.1989
1600.000000	85.989151	-81.1899
1650.000000	86.229858	-71.2794
1700.000000	86.483910	-61.6170
1750.000000	86.726616	-52.0786
1800.000000	86.984741	-42.7663
1850.000000	87.266594	-33.6956
1900.000000	87.549789	-24.9717
1950.000000	87.835014	-16.4954
2000.000000	88.143463	-8.2690
2060.000000	88.485687	0.8624
2120.000000	88.814720	9.5308
2180.000000	89.128448	17.6725
2240.000000	89.399483	25.2177
2300.000000	89.605972	32.2791
2360.000000	89.760338	38.9299
2430.000000	89.845200	46.2068
2500.000000	89.801788	53.2684
2580.000000	89.632942	61.1519
2650.000000	89.369148	68.2357
2720.000000	89.029785	75.5898
2800.000000	88.587524	84.2820
2900.000000	87.972481	95.8436
3000.000000	87.355759	107.9738
3070.000000	86.966988	116.6659
3150.000000	86.559425	126.6832
3250.000000	86.016083	139.5067
3350.000000	85.552704	152.4786
3450.000000	85.178474	165.4976
3550.000000	84.832306	178.4212
3650.000000	84.559731	-168.8636
3750.000000	84.357155	-156.3499
3870.000000	84.174370	-141.9509
4000.000000	84.012032	-126.8959
4120.000000	83.796402	-113.1091
4250.000000	83.682800	-97.7774
4370.000000	83.767418	-83.8669
4500.000000	83.967247	-69.6639
4620.000000	84.291603	-57.0967
4750.000000	84.757217	-44.4503
4870.000000	85.266571	-33.9474
5000.000000	85.927887	-23.8617
5150.000000	86.725739	-13.8982
5300.000000	87.541183	-6.2132
5450.000000	88.280807	-0.8101
5600.000000	88.829948	2.6333
5800.000000	89.154884	5.1763
6000.000000	88.971733	7.1929
6150.000000	88.622581	9.3573
6300.000000	88.196632	12.5415
6500.000000	87.617226	17.4371
6700.000000	87.179932	24.6577
6900.000000	87.430511	31.4520
7100.000000	87.946709	34.5842
7300.000000	88.640030	34.6124
7500.000000	89.366966	29.5299
7750.000000	89.294708	15.2125
8000.000000	87.835083	0.3518
8250.000000	85.176964	-8.2251
8500.000000	82.583382	-9.9967
8750.000000	80.373070	-8.3126
9000.000000	78.590736	-5.4501
9250.000000	76.957939	-1.5562
9500.000000	75.436584	7.9158
9750.000000	76.430923	21.9293
10000.000000	78.466705	19.0056
10300.000000	80.290794	5.5594
10600.000000	81.510490	-20.3940
10900.000000	80.075584	-53.6620
11200.000000	76.556076	-74.9316
11500.000000	73.188881	-83.7290
11800.000000	70.755928	-86.3058
12200.000000	69.162453	-87.9842
12500.000000	68.827942	-91.7430
12800.000000	69.358192	-97.8021
13200.000000	70.682137	-113.7733
13600.000000	72.137733	-137.9027
14000.000000	73.732254	-168.3485
14500.000000	75.809036	142.8057
15000.000000	77.061714	76.7517
15500.000000	75.337982	7.2350
16000.000000	73.609451	-50.4538
16500.000000	73.935966	-125.8180
17000.000000	68.646194	133.1361
17500.000000	59.839870	-164.8061
18000.000000	55.572380	119.5273
18500.000000	51.522480	-179.8945
19000.000000	49.970989	-175.7305
19500.000000	49.787907	-75.1992
