* Measurement data measured by REW V5.20 Beta 56
* Source: IEC-60711 (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jul 23, 2020 10:09:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Empire Ears Valkyrie - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.730347	173.2569
20.600000	93.728050	172.9335
21.200001	93.708199	172.6913
21.799999	93.667839	172.4026
22.400000	93.643250	172.1909
23.000000	93.611488	171.7937
23.600000	93.589088	171.5524
24.299999	93.566170	171.2406
25.000000	93.502151	171.1170
25.799999	93.433617	170.7781
26.500000	93.387466	170.6740
27.200001	93.333969	170.5992
28.000000	93.271790	170.4233
29.000000	93.187149	170.1982
30.000000	93.097572	170.0569
30.700001	93.048111	169.9156
31.500000	92.969872	169.8689
32.500000	92.875793	169.8191
33.500000	92.787354	169.7362
34.500000	92.671158	169.7544
35.500000	92.561470	169.7649
36.500000	92.458755	169.7673
37.500000	92.363510	169.9115
38.700001	92.231186	170.0029
40.000000	92.096588	170.0731
41.200001	91.980217	170.2587
42.500000	91.835587	170.4317
43.700001	91.706879	170.6296
45.000000	91.573875	170.8660
46.200001	91.438042	171.0027
47.500000	91.300415	171.3499
48.700001	91.188095	171.5952
50.000000	91.050507	171.9532
51.500000	90.898926	172.3678
53.000000	90.745148	172.6483
54.500000	90.606560	173.0505
56.000000	90.447586	173.5458
58.000000	90.229904	174.2518
60.000000	90.056274	174.8163
61.500000	89.912094	175.3641
63.000000	89.768951	175.9121
65.000000	89.601288	176.6572
67.000000	89.405357	177.2957
69.000000	89.233635	178.1481
71.000000	89.044891	178.8774
73.000000	88.871231	179.6527
75.000000	88.712395	-179.4798
77.500000	88.493584	-178.4299
80.000000	88.305450	-177.3171
82.500000	88.083260	-176.3398
85.000000	87.908722	-175.1608
87.500000	87.702812	-174.0973
90.000000	87.541534	-173.1350
92.500000	87.352638	-171.7434
95.000000	87.166000	-170.7759
97.500000	87.001846	-169.4367
100.000000	86.814781	-168.4524
103.000000	86.610519	-166.9064
106.000000	86.418152	-165.4981
109.000000	86.227066	-164.1196
112.000000	86.055290	-162.7176
115.000000	85.867889	-161.4340
118.000000	85.698181	-159.8588
122.000000	85.456940	-157.9147
125.000000	85.295959	-156.2926
128.000000	85.147202	-154.8625
132.000000	84.919716	-152.8442
136.000000	84.725716	-151.0109
140.000000	84.505127	-149.0464
145.000000	84.292793	-146.6076
150.000000	84.036095	-144.1944
155.000000	83.805359	-141.6923
160.000000	83.590004	-139.3381
165.000000	83.381126	-136.7518
170.000000	83.193764	-134.4808
175.000000	82.973694	-132.1069
180.000000	82.799515	-129.8552
185.000000	82.587181	-127.4349
190.000000	82.405205	-124.9058
195.000000	82.253006	-122.6886
200.000000	82.115479	-120.3334
