* Measurement data measured by REW V5.20 Beta 56
* Source: IEC-60711 (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jul 23, 2020 10:10:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Empire Ears Valkyrie - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.863670	177.5004
20.600000	94.868927	177.1393
21.200001	94.836288	176.9416
21.799999	94.805397	176.6790
22.400000	94.789993	176.3984
23.000000	94.754044	176.1435
23.600000	94.726013	175.9118
24.299999	94.673271	175.7185
25.000000	94.637825	175.6398
25.799999	94.591431	175.3586
26.500000	94.534019	175.2020
27.200001	94.497040	175.0881
28.000000	94.421257	174.9533
29.000000	94.341469	174.8435
30.000000	94.254494	174.7343
30.700001	94.184288	174.6559
31.500000	94.106987	174.6153
32.500000	94.020996	174.5677
33.500000	93.916336	174.5284
34.500000	93.826752	174.5255
35.500000	93.729218	174.5794
36.500000	93.623405	174.6952
37.500000	93.535606	174.8143
38.700001	93.402550	174.9322
40.000000	93.276375	175.1165
41.200001	93.160172	175.2952
42.500000	93.029343	175.4320
43.700001	92.901672	175.6696
45.000000	92.763512	175.9969
46.200001	92.620735	176.3169
47.500000	92.510979	176.5768
48.700001	92.389694	176.7936
50.000000	92.261978	177.2047
51.500000	92.112747	177.5444
53.000000	91.981918	178.0189
54.500000	91.821060	178.5409
56.000000	91.667160	179.0195
58.000000	91.478683	179.6853
60.000000	91.281799	-179.5577
61.500000	91.165535	-178.9891
63.000000	91.020493	-178.4862
65.000000	90.833786	-177.5216
67.000000	90.637924	-176.7844
69.000000	90.486343	-176.1145
71.000000	90.308548	-175.1771
73.000000	90.132790	-174.2427
75.000000	89.964676	-173.4159
77.500000	89.753441	-172.2589
80.000000	89.558388	-171.1600
82.500000	89.363358	-169.8841
85.000000	89.182190	-168.7578
87.500000	88.982483	-167.4617
90.000000	88.799805	-166.2702
92.500000	88.627434	-164.9901
95.000000	88.448746	-163.8091
97.500000	88.267090	-162.5607
100.000000	88.078094	-161.2303
103.000000	87.893272	-159.6727
106.000000	87.715248	-158.1306
109.000000	87.516716	-156.5795
112.000000	87.329613	-155.0099
115.000000	87.150375	-153.4824
118.000000	86.962372	-151.8047
122.000000	86.729965	-149.7933
125.000000	86.580261	-148.1467
128.000000	86.397995	-146.5603
132.000000	86.182571	-144.4200
136.000000	86.003052	-142.2570
140.000000	85.776733	-140.1394
145.000000	85.535919	-137.5332
150.000000	85.315796	-134.8237
155.000000	85.107162	-132.1119
160.000000	84.875603	-129.5378
165.000000	84.664192	-126.6742
170.000000	84.477318	-124.0939
175.000000	84.248680	-121.6500
180.000000	84.049759	-118.9128
185.000000	83.888283	-116.3360
190.000000	83.689919	-113.7090
195.000000	83.526611	-111.1062
200.000000	83.372932	-108.5023
206.000000	83.214378	-105.2148
212.000000	82.992599	-102.2512
218.000000	82.801498	-99.1107
224.000000	82.624405	-96.0671
230.000000	82.446312	-93.0351
236.000000	82.296280	-89.7311
243.000000	82.092728	-86.3649
250.000000	81.922539	-83.0299
258.000000	81.705490	-79.0633
265.000000	81.555931	-75.5714
272.000000	81.394379	-72.1245
280.000000	81.228455	-68.4156
290.000000	81.036148	-63.4431
300.000000	80.813362	-58.7731
307.000000	80.698318	-55.3298
315.000000	80.547333	-51.3596
325.000000	80.360733	-46.9209
335.000000	80.226349	-42.2120
345.000000	80.026627	-37.8015
355.000000	79.895164	-33.0572
365.000000	79.777100	-28.7014
375.000000	79.634064	-24.2812
387.000000	79.465324	-18.8740
400.000000	79.326828	-13.1603
412.000000	79.160934	-8.2762
425.000000	79.060150	-2.7521
437.000000	78.930649	2.3552
450.000000	78.810150	7.7068
462.000000	78.672188	12.7721
475.000000	78.591965	18.2080
487.000000	78.502266	23.2728
500.000000	78.440544	28.1960
515.000000	78.323349	34.3781
530.000000	78.212875	40.1481
545.000000	78.165375	45.8238
560.000000	78.083191	51.2117
580.000000	77.922981	57.4246
600.000000	77.453064	66.1692
615.000000	77.405396	72.0399
630.000000	77.152084	77.8515
650.000000	76.794785	90.7745
670.000000	77.811432	99.4673
690.000000	77.948051	104.2231
710.000000	77.865921	110.2430
730.000000	77.893707	117.0704
750.000000	77.918144	123.7252
775.000000	77.990585	132.0246
800.000000	77.998360	140.7983
825.000000	78.112633	149.4570
850.000000	78.193253	157.6614
875.000000	78.343079	165.8618
900.000000	78.498459	174.0766
925.000000	78.685608	-178.0141
950.000000	78.880829	-170.0651
975.000000	79.085754	-162.1187
1000.000000	79.242477	-154.5120
1030.000000	79.678848	-145.8027
1060.000000	80.085640	-136.9935
1090.000000	80.523941	-128.8687
1120.000000	80.985916	-121.0732
1150.000000	81.451126	-114.0057
1180.000000	81.868538	-107.6556
1220.000000	82.379959	-99.2907
1250.000000	82.727844	-93.2679
1280.000000	83.045502	-87.3641
1320.000000	83.453110	-79.5698
1360.000000	83.809326	-71.9139
1400.000000	84.201523	-64.4458
1450.000000	84.647202	-55.3769
1500.000000	85.095963	-46.6470
1550.000000	85.509743	-38.2455
1600.000000	85.941460	-30.1083
1650.000000	86.370003	-22.2012
1700.000000	86.774094	-14.7900
1750.000000	87.180817	-7.5935
1800.000000	87.545609	-0.7504
1850.000000	87.889114	5.6584
1900.000000	88.209419	11.8717
1950.000000	88.494247	17.7829
2000.000000	88.777878	23.5620
2060.000000	89.001144	30.1115
2120.000000	89.205894	36.4386
2180.000000	89.379166	42.6956
2240.000000	89.517517	48.7960
2300.000000	89.608192	54.8397
2360.000000	89.665482	60.8512
2430.000000	89.730064	67.7582
2500.000000	89.779854	74.5570
2580.000000	89.815048	82.2669
2650.000000	89.838455	88.9083
2720.000000	89.852425	95.5130
2800.000000	89.874695	102.7778
2900.000000	89.900742	111.5025
3000.000000	89.945404	120.0516
3070.000000	89.954811	125.6636
3150.000000	89.976944	132.0820
3250.000000	89.996841	139.6504
3350.000000	90.001801	147.0659
3450.000000	90.003761	154.1759
3550.000000	89.995560	161.1760
3650.000000	90.001511	168.1757
3750.000000	90.031067	175.1431
3870.000000	90.172249	-176.7075
4000.000000	90.470291	-168.5808
4120.000000	90.867554	-162.1534
4250.000000	91.296646	-156.6531
4370.000000	91.676575	-152.6671
4500.000000	92.066071	-149.2473
4620.000000	92.431000	-147.1714
4750.000000	92.789040	-146.0665
4870.000000	93.051720	-146.3698
