* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Apr 6, 2021 9:16:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Campfire Vega 2020 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	92.063759	-132.1953
21.200001	92.166786	-133.6717
21.799999	92.263779	-135.1422
22.400000	92.359612	-136.5506
23.000000	92.454124	-137.8736
23.600000	92.541451	-139.1485
24.299999	92.625237	-140.6081
25.000000	92.695312	-142.0178
25.799999	92.776367	-143.5881
26.500000	92.845695	-144.9488
27.200001	92.906723	-146.2419
28.000000	92.973328	-147.6181
29.000000	93.054001	-149.3056
30.000000	93.118767	-150.9552
30.700001	93.156364	-152.0603
31.500000	93.195023	-153.2818
32.500000	93.242958	-154.7530
33.500000	93.286362	-156.1809
34.500000	93.316994	-157.5224
35.500000	93.346550	-158.8033
36.500000	93.376106	-160.0996
37.500000	93.395004	-161.3553
38.700001	93.410294	-162.7293
40.000000	93.427299	-164.1877
41.200001	93.433105	-165.4812
42.500000	93.439903	-166.8253
43.700001	93.443260	-168.0609
45.000000	93.439003	-169.2654
46.200001	93.437271	-170.3637
47.500000	93.423538	-171.5851
48.700001	93.416557	-172.6206
50.000000	93.402328	-173.6767
51.500000	93.381516	-174.8847
53.000000	93.352936	-176.0461
54.500000	93.328415	-177.1576
56.000000	93.301468	-178.2310
58.000000	93.256714	-179.6166
60.000000	93.221855	179.0480
61.500000	93.176407	178.1415
63.000000	93.133728	177.2167
65.000000	93.081688	176.0508
67.000000	93.028282	174.8866
69.000000	92.968163	173.8658
71.000000	92.904877	172.8427
73.000000	92.843307	171.8474
75.000000	92.778275	170.9131
77.500000	92.697601	169.7560
80.000000	92.613922	168.6947
82.500000	92.529037	167.6509
85.000000	92.441643	166.6762
87.500000	92.356705	165.7483
90.000000	92.267960	164.7679
92.500000	92.180168	163.9901
95.000000	92.088226	163.1736
97.500000	91.999710	162.3981
100.000000	91.908371	161.6372
103.000000	91.798981	160.7890
106.000000	91.688919	159.9717
109.000000	91.580765	159.2191
112.000000	91.466949	158.4883
115.000000	91.357689	157.7817
118.000000	91.250793	157.1214
122.000000	91.101875	156.2877
125.000000	90.993378	155.7102
128.000000	90.884399	155.1407
132.000000	90.738243	154.4660
136.000000	90.591812	153.8281
140.000000	90.455803	153.1923
145.000000	90.280693	152.4795
150.000000	90.106468	151.8306
155.000000	89.935165	151.2451
160.000000	89.766281	150.7098
165.000000	89.599350	150.2237
170.000000	89.434814	149.7803
175.000000	89.272797	149.3741
180.000000	89.115196	148.9779
185.000000	88.957344	148.6624
190.000000	88.804260	148.3731
195.000000	88.650940	148.1158
200.000000	88.500732	147.8807
206.000000	88.325020	147.6334
212.000000	88.153084	147.4333
218.000000	87.983727	147.2729
224.000000	87.817383	147.1326
230.000000	87.651382	147.0377
236.000000	87.490341	146.9543
243.000000	87.308441	146.9053
250.000000	87.130287	146.8924
258.000000	86.932304	146.9215
265.000000	86.759956	146.9835
272.000000	86.593918	147.0662
280.000000	86.407677	147.1903
290.000000	86.183067	147.3710
300.000000	85.965309	147.6508
307.000000	85.816971	147.8089
315.000000	85.650688	148.0574
325.000000	85.450684	148.4071
335.000000	85.257889	148.7736
345.000000	85.066833	149.1553
355.000000	84.883408	149.6033
365.000000	84.705154	150.0605
375.000000	84.532715	150.5397
387.000000	84.335228	151.1505
400.000000	84.125664	151.8372
412.000000	83.940201	152.5117
425.000000	83.747101	153.2534
437.000000	83.577095	153.9988
450.000000	83.398438	154.7967
462.000000	83.239166	155.5610
475.000000	83.073822	156.4023
487.000000	82.927338	157.2146
500.000000	82.772888	158.1027
515.000000	82.604698	159.1522
530.000000	82.443474	160.2468
545.000000	82.289490	161.3340
560.000000	82.144318	162.4506
580.000000	81.961449	163.9804
600.000000	81.788597	165.5460
615.000000	81.669907	166.7310
630.000000	81.557373	167.9636
650.000000	81.418190	169.6028
670.000000	81.287704	171.2778
690.000000	81.172737	173.0021
710.000000	81.070641	174.7375
730.000000	80.980560	176.5141
750.000000	80.902588	178.3232
775.000000	80.825554	-179.4093
800.000000	80.774048	-177.0878
825.000000	80.743904	-174.7575
850.000000	80.737228	-172.4084
875.000000	80.758362	-170.0859
900.000000	80.803574	-167.7644
925.000000	80.878380	-165.5113
950.000000	80.976120	-163.4123
975.000000	81.054268	-161.5258
1000.000000	81.107903	-158.9823
1030.000000	81.353989	-156.0977
1060.000000	81.609970	-153.7285
1090.000000	81.880447	-151.5096
1120.000000	82.179626	-149.4010
1150.000000	82.512589	-147.4387
1180.000000	82.885925	-145.6606
1220.000000	83.452850	-143.6670
1250.000000	83.938522	-142.6302
1280.000000	84.463440	-142.1617
1320.000000	85.182190	-142.7394
1360.000000	85.812828	-144.7776
1400.000000	86.247635	-147.7934
1450.000000	86.490135	-151.6009
1500.000000	86.531647	-154.6083
1550.000000	86.482178	-156.8054
1600.000000	86.392593	-158.3602
1650.000000	86.292107	-159.4015
1700.000000	86.198853	-160.0536
1750.000000	86.121071	-160.4538
1800.000000	86.060654	-160.6752
1850.000000	86.013420	-160.8032
1900.000000	85.979706	-160.8874
1950.000000	85.952461	-160.9450
2000.000000	85.932083	-160.9987
2060.000000	85.908875	-161.0712
2120.000000	85.884903	-161.1498
2180.000000	85.859009	-161.2286
2240.000000	85.829346	-161.3046
2300.000000	85.793037	-161.3764
