* Measurement data measured by REW V5.20 Beta 31
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Jan 27, 2020 6:03:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hidition Viento R-C - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.748444	-141.5053
20.600000	87.808456	-140.5509
21.200001	87.945015	-140.1565
21.799999	87.991211	-140.5589
22.400000	87.918274	-140.8427
23.000000	87.837135	-140.6924
23.600000	87.801155	-140.5256
24.299999	87.771500	-140.4994
25.000000	87.763702	-140.3690
25.799999	87.814346	-140.3856
26.500000	87.837379	-140.6230
27.200001	87.829941	-140.5969
28.000000	87.848343	-140.3109
29.000000	87.860413	-140.0400
30.000000	87.847214	-139.5199
30.700001	87.849030	-139.2250
31.500000	87.824593	-139.0038
32.500000	87.784447	-138.5907
33.500000	87.763664	-138.2716
34.500000	87.735283	-137.9319
35.500000	87.725868	-137.5026
36.500000	87.716675	-137.0536
37.500000	87.709885	-136.4927
38.700001	87.698189	-135.8513
40.000000	87.664009	-135.1208
41.200001	87.628250	-134.4314
42.500000	87.598969	-133.7028
43.700001	87.576996	-133.0289
45.000000	87.571304	-132.2843
46.200001	87.557007	-131.6105
47.500000	87.528992	-130.7549
48.700001	87.511223	-129.8215
50.000000	87.508125	-128.9873
51.500000	87.473305	-128.0222
53.000000	87.460434	-127.0044
54.500000	87.445076	-125.9771
56.000000	87.438705	-124.9725
58.000000	87.412354	-123.5368
60.000000	87.365051	-121.9279
61.500000	87.386948	-120.9561
63.000000	87.373093	-119.9521
65.000000	87.350800	-118.6101
67.000000	87.348061	-117.1218
69.000000	87.340233	-115.7316
71.000000	87.331787	-114.3011
73.000000	87.327843	-112.8351
75.000000	87.331787	-111.4377
77.500000	87.333954	-109.6971
80.000000	87.328506	-107.9460
82.500000	87.329369	-106.2026
85.000000	87.326233	-104.5217
87.500000	87.350250	-102.8369
90.000000	87.377579	-101.2944
92.500000	87.356506	-99.4984
95.000000	87.343689	-97.8185
97.500000	87.339684	-96.1338
100.000000	87.337830	-94.5281
103.000000	87.335175	-92.5288
106.000000	87.326561	-90.5892
109.000000	87.326683	-88.6304
112.000000	87.323486	-86.7363
115.000000	87.312874	-84.7649
118.000000	87.309723	-82.8607
122.000000	87.292778	-80.3201
125.000000	87.283829	-78.4313
128.000000	87.271027	-76.5247
132.000000	87.262573	-73.9713
136.000000	87.247299	-71.4173
140.000000	87.218430	-68.9042
145.000000	87.207191	-65.7816
150.000000	87.179993	-62.6239
155.000000	87.166267	-59.5402
160.000000	87.141380	-56.4325
165.000000	87.110359	-53.3532
170.000000	87.090363	-50.3081
175.000000	87.067390	-47.2733
180.000000	87.052017	-44.1787
185.000000	87.012794	-41.1531
190.000000	86.990707	-38.1752
195.000000	86.962143	-35.1130
200.000000	86.935059	-32.1232
206.000000	86.910629	-28.5495
212.000000	86.878593	-24.9711
218.000000	86.841522	-21.4122
224.000000	86.809418	-17.8656
230.000000	86.786514	-14.3181
236.000000	86.760841	-10.8465
243.000000	86.723717	-6.7064
250.000000	86.687553	-2.6673
258.000000	86.648041	1.9425
265.000000	86.607689	5.9889
272.000000	86.570053	9.9746
280.000000	86.532150	14.5549
290.000000	86.489021	20.1854
300.000000	86.441635	25.8820
307.000000	86.404037	29.7960
315.000000	86.374077	34.1940
325.000000	86.321991	39.7221
335.000000	86.281578	45.2222
345.000000	86.237320	50.6029
355.000000	86.196121	56.0138
365.000000	86.149002	61.3432
375.000000	86.102386	66.6732
387.000000	86.034798	73.0158
400.000000	85.976494	79.8607
412.000000	85.905869	86.1330
425.000000	85.846329	92.8455
437.000000	85.780571	98.9743
450.000000	85.714691	105.6687
