* Measurement data measured by REW V5.20 Beta 31
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 1M Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Jan 27, 2020 6:04:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hidition Viento R-D - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.114700	-151.0844
20.600000	91.152779	-151.4607
21.200001	91.112503	-151.6081
21.799999	91.061310	-151.5140
22.400000	91.029572	-151.5185
23.000000	90.992798	-151.7711
23.600000	90.937614	-152.1110
24.299999	90.877739	-152.4471
25.000000	90.840752	-152.7954
25.799999	90.805565	-153.1966
26.500000	90.779289	-153.4084
27.200001	90.764336	-153.5178
28.000000	90.743202	-153.5933
29.000000	90.693741	-153.5126
30.000000	90.638504	-153.3109
30.700001	90.591606	-153.2081
31.500000	90.526405	-153.0897
32.500000	90.448944	-152.9337
33.500000	90.377670	-152.8378
34.500000	90.311455	-152.6953
35.500000	90.256454	-152.5039
36.500000	90.200058	-152.2274
37.500000	90.146423	-151.8579
38.700001	90.071732	-151.3749
40.000000	89.986786	-150.7803
41.200001	89.907532	-150.2957
42.500000	89.821060	-149.7716
43.700001	89.747093	-149.2632
45.000000	89.672600	-148.6187
46.200001	89.611275	-147.9733
47.500000	89.537514	-147.2267
48.700001	89.471947	-146.5017
50.000000	89.400116	-145.7558
51.500000	89.317009	-144.9243
53.000000	89.236938	-143.9966
54.500000	89.175423	-143.0710
56.000000	89.106766	-142.1235
58.000000	89.011581	-140.7943
60.000000	88.899384	-139.3050
61.500000	88.877869	-138.3572
63.000000	88.811455	-137.4304
65.000000	88.745163	-136.0666
67.000000	88.688873	-134.6912
69.000000	88.624580	-133.2350
71.000000	88.571419	-131.8385
73.000000	88.517754	-130.4471
75.000000	88.465645	-129.0741
77.500000	88.410248	-127.3732
80.000000	88.360741	-125.6981
82.500000	88.311371	-123.8964
85.000000	88.264435	-122.2396
87.500000	88.220207	-120.5685
90.000000	88.171661	-118.9838
92.500000	88.144249	-117.2377
95.000000	88.101028	-115.6039
97.500000	88.066780	-113.8765
100.000000	88.030609	-112.2480
103.000000	87.989090	-110.4259
106.000000	87.949959	-108.5321
109.000000	87.907455	-106.5458
112.000000	87.868996	-104.5758
115.000000	87.837639	-102.8139
118.000000	87.809631	-100.8928
122.000000	87.751991	-98.3351
125.000000	87.714920	-96.4718
128.000000	87.681671	-94.6630
132.000000	87.643967	-92.1832
136.000000	87.591263	-89.7445
140.000000	87.547462	-87.3075
145.000000	87.501656	-84.2205
150.000000	87.443443	-81.2731
155.000000	87.395630	-78.2468
160.000000	87.346191	-75.2860
165.000000	87.307373	-72.3622
170.000000	87.266174	-69.4436
175.000000	87.222198	-66.5520
180.000000	87.176071	-63.6235
185.000000	87.143425	-60.7987
190.000000	87.099648	-57.9675
195.000000	87.058014	-55.1053
200.000000	87.028305	-52.3136
206.000000	86.986084	-48.9026
212.000000	86.939850	-45.6166
218.000000	86.898582	-42.3084
224.000000	86.857376	-39.0457
230.000000	86.816238	-35.7498
236.000000	86.782761	-32.5402
243.000000	86.743988	-28.7992
250.000000	86.697701	-25.0664
258.000000	86.642738	-20.7875
265.000000	86.595917	-17.1611
272.000000	86.555145	-13.5305
280.000000	86.517166	-9.3897
290.000000	86.461472	-4.2944
300.000000	86.391159	0.7858
307.000000	86.364639	4.3498
315.000000	86.314644	8.3776
325.000000	86.255737	13.3196
335.000000	86.204224	18.3087
345.000000	86.148041	23.2223
355.000000	86.109016	28.0722
365.000000	86.061989	32.8482
375.000000	86.019554	37.6526
387.000000	85.965088	43.2735
400.000000	85.898796	49.3319
412.000000	85.844254	54.8437
425.000000	85.775322	60.7724
437.000000	85.710556	66.2338
450.000000	85.651901	72.0766
462.000000	85.594086	77.4713
475.000000	85.525124	83.2257
487.000000	85.468231	88.4864
500.000000	85.397858	94.2019
515.000000	85.327209	100.7005
530.000000	85.258232	107.1211
545.000000	85.185852	113.4678
560.000000	85.115013	119.7936
580.000000	85.007515	128.0444
600.000000	84.902557	136.2029
615.000000	84.798447	142.2292
630.000000	84.701004	148.2523
650.000000	84.535576	156.3462
670.000000	84.380707	164.3321
690.000000	84.206787	172.7413
710.000000	84.052048	-179.0217
730.000000	83.917213	-170.7501
750.000000	83.775795	-162.5984
775.000000	83.613602	-152.4384
800.000000	83.422554	-142.3861
825.000000	83.214073	-132.2546
850.000000	82.975098	-121.8198
875.000000	82.757973	-110.8137
900.000000	82.626480	-99.4657
925.000000	82.600426	-87.9960
950.000000	82.669136	-76.9086
975.000000	82.801414	-66.3082
1000.000000	82.962646	-55.8512
1030.000000	83.159752	-44.2084
1060.000000	83.376495	-32.7651
1090.000000	83.614021	-21.6873
1120.000000	83.856857	-10.9145
1150.000000	84.105553	-0.6290
1180.000000	84.368752	9.3271
1220.000000	84.678535	22.1185
1250.000000	84.902359	31.2916
1280.000000	85.099655	40.3138
1320.000000	85.334244	51.9415
1360.000000	85.529289	63.3376
1400.000000	85.690887	74.5536
1450.000000	85.869621	88.3864
1500.000000	86.012939	102.0382
1550.000000	86.153664	115.4775
1600.000000	86.289444	128.7614
1650.000000	86.418373	141.8658
1700.000000	86.537865	154.8608
1750.000000	86.652832	167.6890
1800.000000	86.777763	-179.5930
1850.000000	86.926422	-167.0781
1900.000000	87.095100	-154.7575
1950.000000	87.257668	-142.7188
2000.000000	87.420708	-130.8922
2060.000000	87.653061	-116.9290
2120.000000	87.890640	-103.2022
2180.000000	88.159164	-89.8431
2240.000000	88.447021	-76.8442
2300.000000	88.764305	-64.2532
2360.000000	89.100731	-52.1641
2430.000000	89.508812	-38.6559
2500.000000	89.913124	-25.8441
2580.000000	90.375847	-12.1200
2650.000000	90.749939	-0.9064
2720.000000	91.094467	9.5922
2800.000000	91.405457	20.7740
2900.000000	91.670479	33.6721
3000.000000	91.746933	45.6947
3070.000000	91.688293	53.7079
3150.000000	91.492119	62.7120
3250.000000	91.045547	74.0773
3350.000000	90.414551	86.2363
3450.000000	89.719040	99.3320
3550.000000	88.976471	113.2894
3650.000000	88.275597	128.6033
3750.000000	87.707001	145.0178
3870.000000	87.362930	166.0354
4000.000000	87.660980	-172.5112
4120.000000	88.011978	-156.0725
4250.000000	88.480484	-139.8154
4370.000000	88.846725	-126.9429
4500.000000	89.090851	-114.0381
4620.000000	89.256058	-102.8948
4750.000000	89.293083	-91.5498
4870.000000	89.228798	-80.9479
5000.000000	89.147476	-69.3110
5150.000000	89.132126	-55.9653
5300.000000	89.175049	-43.3738
5450.000000	89.228882	-31.5125
5600.000000	89.297600	-20.0475
5800.000000	89.507828	-5.6892
6000.000000	89.778061	7.2185
6150.000000	89.996590	16.4591
6300.000000	90.359787	25.7561
6500.000000	91.287071	36.7556
6700.000000	92.616852	43.3470
6900.000000	93.993126	44.1569
7100.000000	94.954636	39.5803
7300.000000	95.237885	32.3220
7500.000000	95.068550	25.1094
7750.000000	94.581635	14.5972
8000.000000	93.141388	3.0226
8250.000000	91.355247	-5.5623
8500.000000	89.335213	-10.6732
8750.000000	87.660278	-13.0139
9000.000000	86.559219	-16.7944
9250.000000	85.490540	-26.7411
9500.000000	82.970940	-40.4415
9750.000000	79.562561	-43.5569
10000.000000	76.176079	-40.6963
10300.000000	73.080231	-27.7408
10600.000000	71.522209	-12.5265
10900.000000	71.301132	0.5148
11200.000000	72.005775	7.6487
11500.000000	72.956192	7.4634
11800.000000	73.430672	1.8431
12200.000000	73.343399	-6.4585
12500.000000	73.167786	-12.2146
12800.000000	73.115318	-18.2451
13200.000000	72.933174	-27.7903
13600.000000	72.721497	-34.3915
14000.000000	73.743141	-39.7448
14500.000000	76.029572	-55.3387
15000.000000	78.920540	-78.3577
15500.000000	82.553833	-112.2998
