* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Jul 10, 2022 3:24:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vulkan R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	99.867783	-179.1983
21.200001	99.813042	179.7654
21.799999	99.764679	179.0592
22.400000	99.677155	178.4231
23.000000	99.541756	177.6362
23.600000	99.390213	176.5137
24.299999	99.311783	175.0156
25.000000	99.293915	174.5374
25.799999	99.055740	174.3246
26.500000	98.871712	172.9702
27.200001	98.815163	172.1466
28.000000	98.646576	171.5619
29.000000	98.495049	170.4162
30.000000	98.304359	169.4920
30.700001	98.194214	168.7980
31.500000	98.068741	168.2365
32.500000	97.919991	167.3717
33.500000	97.769203	166.5709
34.500000	97.618042	165.8921
35.500000	97.477753	165.1885
36.500000	97.341492	164.4975
37.500000	97.202477	163.7990
38.700001	97.063057	163.2455
40.000000	96.874878	162.3698
41.200001	96.752220	161.8597
42.500000	96.551338	160.4244
43.700001	96.432327	160.3003
45.000000	96.286331	159.9591
46.200001	96.141327	159.4905
47.500000	96.006485	159.0176
48.700001	95.852966	158.5593
50.000000	95.747841	158.3572
51.500000	95.587349	157.8194
53.000000	95.435387	157.1578
54.500000	95.294739	156.8244
56.000000	95.149094	156.4148
58.000000	94.965736	155.9591
60.000000	94.753731	155.4697
61.500000	94.658768	155.2820
63.000000	94.531090	155.0520
65.000000	94.371597	154.7820
67.000000	94.212051	154.4327
69.000000	94.045776	154.1537
71.000000	93.924873	154.0054
73.000000	93.762909	153.8826
75.000000	93.615799	153.7680
77.500000	93.432976	153.5740
80.000000	93.280289	153.5366
82.500000	93.115433	153.4422
85.000000	92.965569	153.3823
87.500000	92.823578	153.4472
90.000000	92.623398	153.8670
92.500000	92.525177	153.4052
95.000000	92.391624	153.4506
97.500000	92.286484	153.5509
100.000000	92.149300	153.6271
103.000000	92.005737	153.7575
106.000000	91.874222	153.8857
109.000000	91.748093	154.0763
112.000000	91.627441	154.2046
115.000000	91.510284	154.3880
118.000000	91.390770	154.5724
122.000000	91.258011	154.8787
125.000000	91.164520	155.0887
128.000000	91.077728	155.2862
132.000000	90.947899	155.6360
136.000000	90.825027	156.0133
140.000000	90.723358	156.1651
145.000000	90.586838	156.6711
150.000000	90.465042	157.1267
155.000000	90.347542	157.5282
160.000000	90.234436	157.9921
165.000000	90.129463	158.3834
170.000000	90.032608	158.9004
175.000000	89.933540	159.3413
180.000000	89.854370	159.7302
185.000000	89.767593	160.1209
190.000000	89.687538	160.5938
195.000000	89.610298	160.9882
200.000000	89.534851	161.4304
206.000000	89.450287	161.9348
212.000000	89.396111	162.3538
218.000000	89.300285	162.9042
224.000000	89.227356	163.3911
230.000000	89.158287	163.8604
236.000000	89.094009	164.3576
243.000000	89.023605	164.9069
250.000000	88.953308	165.4087
258.000000	88.878029	166.0128
265.000000	88.823532	166.5426
272.000000	88.766472	167.0628
280.000000	88.705017	167.5981
290.000000	88.635445	168.3092
300.000000	88.568176	169.0149
307.000000	88.519135	169.4174
315.000000	88.465103	169.9221
325.000000	88.403625	170.5484
335.000000	88.336792	171.1932
345.000000	88.276878	171.8251
355.000000	88.215263	172.5060
365.000000	88.166611	173.1918
375.000000	88.121231	173.8922
387.000000	88.072479	174.6667
400.000000	88.018044	175.4856
412.000000	87.977798	176.1690
425.000000	87.933380	176.9755
437.000000	87.885841	177.7140
450.000000	87.845146	178.4957
462.000000	87.811646	179.1947
475.000000	87.767838	179.9415
487.000000	87.737473	-179.3012
500.000000	87.704514	-178.5224
515.000000	87.670135	-177.6243
530.000000	87.641518	-176.7136
545.000000	87.616249	-175.8020
560.000000	87.593681	-174.8698
580.000000	87.571228	-173.6456
600.000000	87.557587	-172.4297
615.000000	87.550964	-171.5039
630.000000	87.550224	-170.5917
650.000000	87.555351	-169.3773
670.000000	87.573120	-168.1869
690.000000	87.592072	-166.9955
710.000000	87.622604	-165.8408
730.000000	87.655777	-164.6930
750.000000	87.697235	-163.5656
775.000000	87.753036	-162.1887
800.000000	87.824257	-160.8575
825.000000	87.900238	-159.5447
850.000000	87.988098	-158.2632
875.000000	88.088066	-156.9784
900.000000	88.195847	-155.7436
925.000000	88.310333	-154.5677
950.000000	88.444221	-153.4549
975.000000	88.592979	-152.4510
1000.000000	88.746353	-151.5223
1030.000000	88.938408	-150.5434
1060.000000	89.137497	-149.7397
1090.000000	89.336479	-149.1003
1120.000000	89.532463	-148.6198
1150.000000	89.717636	-148.3012
1180.000000	89.892685	-148.0937
1220.000000	90.102348	-147.9689
1250.000000	90.242561	-147.9705
1280.000000	90.365959	-148.0099
1320.000000	90.507515	-148.1068
1360.000000	90.626373	-148.2044
1400.000000	90.725334	-148.3185
1450.000000	90.825920	-148.3958
1500.000000	90.903664	-148.4184
1550.000000	90.965454	-148.3649
1600.000000	91.012459	-148.2357
1650.000000	91.051163	-148.0227
1700.000000	91.080849	-147.7214
1750.000000	91.107536	-147.3252
1800.000000	91.132339	-146.8278
1850.000000	91.159447	-146.2242
1900.000000	91.192139	-145.5312
1950.000000	91.233490	-144.7402
2000.000000	91.285759	-143.8653
2060.000000	91.371468	-142.7392
2120.000000	91.484268	-141.5452
2180.000000	91.628212	-140.3175
2240.000000	91.806938	-139.1182
2300.000000	92.020912	-137.9810
2360.000000	92.271996	-136.9695
2430.000000	92.607979	-136.0293
2500.000000	92.985535	-135.4241
2580.000000	93.455299	-135.2610
2650.000000	93.886429	-135.6812
2720.000000	94.315125	-136.6879
2800.000000	94.771561	-138.5942
2900.000000	95.234108	-142.0487
3000.000000	95.506287	-146.3937
3070.000000	95.558495	-149.6687
3150.000000	95.474091	-153.3123
3250.000000	95.185120	-157.2617
3350.000000	94.762268	-160.2203
3450.000000	94.277504	-162.1107
3550.000000	93.786140	-163.0403
3650.000000	93.323952	-163.2082
3750.000000	92.904251	-162.7996
3870.000000	92.469154	-161.7593
4000.000000	92.083237	-160.1626
4120.000000	91.805237	-158.4302
