* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Mar 15, 2021 4:29:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiR VxV - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	91.445862	61.9496
21.200001	91.506111	60.3310
21.799999	91.554840	58.7029
22.400000	91.598083	57.1747
23.000000	91.646553	55.7679
23.600000	91.693611	54.3469
24.299999	91.715096	52.6331
25.000000	91.712074	51.1072
25.799999	91.751793	49.5570
26.500000	91.805313	48.0142
27.200001	91.809372	46.4294
28.000000	91.776596	44.9613
29.000000	91.773720	43.2631
30.000000	91.770691	41.3490
30.700001	91.784981	40.0951
31.500000	91.796928	38.8217
32.500000	91.827728	37.4110
33.500000	91.880844	35.8489
34.500000	91.885864	34.2239
35.500000	91.871338	32.8436
36.500000	91.862236	31.5041
37.500000	91.861549	30.2654
38.700001	91.872345	28.6857
40.000000	91.848198	27.1339
41.200001	91.849068	25.7908
42.500000	91.831757	24.2366
43.700001	91.811371	22.8962
45.000000	91.771591	21.4921
46.200001	91.727577	20.3201
47.500000	91.695740	19.0804
48.700001	91.663971	17.9627
50.000000	91.634392	16.7550
51.500000	91.596237	15.5786
53.000000	91.500328	14.4778
54.500000	91.407150	13.1632
56.000000	91.411636	11.9225
58.000000	91.374573	10.4004
60.000000	91.402832	9.0373
61.500000	91.363670	8.0388
63.000000	91.339745	6.9325
65.000000	91.329964	5.6505
67.000000	91.290306	4.3437
69.000000	91.264732	3.1073
71.000000	91.220253	1.9220
73.000000	91.208443	0.5396
75.000000	91.070229	-0.3119
77.500000	91.022820	-1.9075
80.000000	91.071388	-2.9288
82.500000	90.987259	-4.1803
85.000000	90.930656	-5.4745
87.500000	90.853447	-6.5064
90.000000	90.810242	-7.6031
92.500000	90.821472	-8.5917
95.000000	91.144806	-8.9611
97.500000	90.645966	-11.0131
100.000000	90.550537	-11.8181
103.000000	90.485283	-12.9716
106.000000	90.442627	-14.1500
109.000000	90.388283	-15.2683
112.000000	90.345871	-16.3830
115.000000	90.274673	-17.3599
118.000000	90.253288	-18.4743
122.000000	90.126068	-19.5163
125.000000	90.102150	-20.5774
128.000000	90.025024	-21.4317
132.000000	89.946434	-22.5967
136.000000	89.870872	-23.6548
140.000000	89.794495	-24.8129
145.000000	89.680038	-26.0657
150.000000	89.564400	-27.2424
155.000000	89.466431	-28.4681
160.000000	89.353401	-29.5944
165.000000	89.256454	-30.6014
170.000000	89.143425	-31.7000
175.000000	89.002815	-32.7264
180.000000	88.874077	-33.6353
185.000000	88.753746	-34.3519
190.000000	88.573090	-34.6744
195.000000	88.498901	-35.4392
200.000000	88.403976	-35.6414
206.000000	88.362976	-35.5137
212.000000	88.441727	-35.7856
218.000000	88.559898	-36.7542
224.000000	88.553772	-38.2964
230.000000	88.477661	-39.9320
236.000000	88.368523	-41.0516
243.000000	88.283371	-42.0118
250.000000	88.269012	-43.1521
258.000000	88.197563	-44.9859
265.000000	88.070435	-46.4482
272.000000	87.935013	-47.6108
280.000000	87.788635	-48.7068
290.000000	87.622902	-50.0264
300.000000	87.460548	-51.0840
307.000000	87.362770	-51.8291
315.000000	87.253990	-52.6262
325.000000	87.125099	-53.5822
335.000000	87.000885	-54.4902
345.000000	86.879211	-55.3076
355.000000	86.770111	-56.0239
365.000000	86.678001	-56.6656
375.000000	86.604591	-57.3298
387.000000	86.524620	-58.1877
400.000000	86.442108	-59.1095
412.000000	86.368835	-59.9395
425.000000	86.294746	-60.7775
437.000000	86.233109	-61.4983
450.000000	86.179550	-62.1906
462.000000	86.158524	-62.8240
475.000000	86.144470	-63.7086
487.000000	86.114227	-64.5639
500.000000	86.069077	-65.3754
515.000000	86.025673	-66.1531
530.000000	86.003586	-66.7848
545.000000	86.024078	-67.3975
560.000000	86.062881	-68.1890
580.000000	86.099792	-69.3572
600.000000	86.139473	-70.4204
615.000000	86.188606	-71.1675
630.000000	86.252380	-71.9706
650.000000	86.351753	-73.1402
670.000000	86.466637	-74.4166
690.000000	86.586807	-75.8836
710.000000	86.693489	-77.4935
730.000000	86.791229	-79.1917
750.000000	86.874298	-80.9510
775.000000	86.950645	-83.2419
800.000000	86.990036	-85.4882
825.000000	87.003792	-87.6148
850.000000	86.995575	-89.6117
875.000000	86.971375	-91.4594
900.000000	86.941124	-93.1581
925.000000	86.906326	-94.7336
950.000000	86.865677	-96.2099
975.000000	86.824570	-97.5561
1000.000000	86.787750	-98.8095
1030.000000	86.749123	-100.2700
1060.000000	86.703377	-101.6803
1090.000000	86.650955	-103.0010
1120.000000	86.594604	-104.2293
1150.000000	86.535965	-105.3681
1180.000000	86.474144	-106.4271
1220.000000	86.385056	-107.6822
1250.000000	86.313675	-108.4860
1280.000000	86.243240	-109.1639
1320.000000	86.155762	-109.8971
1360.000000	86.078156	-110.4470
1400.000000	86.011803	-110.8302
1450.000000	85.944916	-111.0806
1500.000000	85.900925	-111.0722
1550.000000	85.888222	-110.8154
1600.000000	85.917717	-110.3493
1650.000000	85.992867	-109.7579
1700.000000	86.111031	-109.0712
1750.000000	86.274765	-108.3177
1800.000000	86.491386	-107.5514
1850.000000	86.755859	-106.8390
1900.000000	87.066544	-106.2121
1950.000000	87.428749	-105.6931
2000.000000	87.843216	-105.3754
2060.000000	88.399147	-105.3509
2120.000000	89.017159	-105.7766
2180.000000	89.692421	-106.7762
2240.000000	90.418488	-108.5176
2300.000000	91.176605	-111.2291
2360.000000	91.926178	-115.2016
2430.000000	92.674393	-121.6827
2500.000000	93.096184	-129.8042
2580.000000	93.031998	-138.8344
2650.000000	92.710571	-144.7352
2720.000000	92.387390	-149.1664
2800.000000	92.030830	-153.6063
2900.000000	91.493141	-158.3752
3000.000000	90.869514	-161.8258
3070.000000	90.421478	-163.4057
3150.000000	89.931137	-164.4378
3250.000000	89.384476	-164.7910
3350.000000	88.929924	-164.3466
3450.000000	88.574944	-163.3466
3550.000000	88.314819	-162.0039
3650.000000	88.139816	-160.4621
3750.000000	88.037666	-158.8259
3870.000000	87.990005	-156.7912
4000.000000	88.007034	-154.4103
4120.000000	88.092445	-151.8008
4250.000000	88.344429	-148.3239
4370.000000	88.843262	-144.9524
4500.000000	89.730438	-142.4902
4620.000000	90.752464	-142.7892
4750.000000	91.748688	-146.8429
4870.000000	92.163750	-152.9654
5000.000000	91.947563	-158.0275
5150.000000	91.658051	-158.8024
5300.000000	91.875618	-158.9729
5450.000000	92.079491	-161.1509
5600.000000	92.022377	-163.3283
5800.000000	91.810699	-164.1835
6000.000000	91.763725	-163.1799
6150.000000	91.883110	-162.0917
6300.000000	92.101601	-160.9872
6500.000000	92.578873	-159.3221
6700.000000	93.438606	-158.3631
6900.000000	94.652458	-160.6863
7100.000000	95.868019	-168.7834
7300.000000	96.066788	176.6279
7500.000000	94.815613	165.1375
7750.000000	92.741394	160.0002
8000.000000	90.874733	162.1577
8250.000000	89.629158	168.3141
8500.000000	89.003891	175.7499
8750.000000	88.968994	-176.9769
9000.000000	89.529594	-171.3168
9250.000000	90.688263	-169.5075
9500.000000	92.171738	-175.4182
9750.000000	92.854416	167.5142
10000.000000	91.290741	147.9742
10300.000000	87.682632	138.0614
10600.000000	84.259277	140.3649
10900.000000	81.517105	148.9719
11200.000000	79.463860	161.4886
11500.000000	78.186646	177.0087
11800.000000	77.930580	-165.9000
12200.000000	79.412888	-146.4556
12500.000000	81.555519	-139.3809
12800.000000	83.884132	-141.8531
13200.000000	85.434326	-160.1297
13600.000000	83.665817	-173.6296
14000.000000	82.628731	-165.2482
14500.000000	86.410774	-161.9655
15000.000000	90.748772	153.5404
15500.000000	88.582382	95.8974
16000.000000	85.079056	32.8089
16500.000000	73.880676	-9.9973
17000.000000	65.570648	18.2205
17500.000000	68.518768	22.2817
18000.000000	71.309860	-12.4032
18500.000000	72.625359	-55.9341
19000.000000	75.227692	-114.1294
19500.000000	74.304756	152.1728
