* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Mar 15, 2021 4:25:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiR VxV - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	89.057869	62.3753
21.200001	89.200134	59.7537
21.799999	89.451149	57.4268
22.400000	89.696060	55.7803
23.000000	89.855858	54.8475
23.600000	89.940247	54.0932
24.299999	89.988464	52.6167
25.000000	90.028122	50.7318
25.799999	90.158264	49.2113
26.500000	90.338524	48.2005
27.200001	90.443787	46.7100
28.000000	90.435349	44.5895
29.000000	90.506844	42.3961
30.000000	90.715195	41.0457
30.700001	90.812622	40.3784
31.500000	90.868248	39.2264
32.500000	90.916260	36.8593
33.500000	90.976662	34.8982
34.500000	91.062378	33.9030
35.500000	91.131256	32.6836
36.500000	91.161057	31.0705
37.500000	91.207977	29.7631
38.700001	91.288246	28.3232
40.000000	91.333717	26.5638
41.200001	91.372787	24.9729
42.500000	91.426140	23.4784
43.700001	91.454773	22.1725
45.000000	91.468689	20.8109
46.200001	91.500999	19.5194
47.500000	91.526344	18.3207
48.700001	91.547089	17.2014
50.000000	91.562561	15.8546
51.500000	91.587769	14.5156
53.000000	91.610474	13.2521
54.500000	91.590820	12.1161
56.000000	91.592896	10.7367
58.000000	91.600937	9.1976
60.000000	91.586685	7.8401
61.500000	91.578407	6.6470
63.000000	91.606422	6.1122
65.000000	91.596100	4.4476
67.000000	91.540329	3.6138
69.000000	91.569313	2.6596
71.000000	91.620117	1.3422
73.000000	91.647774	-0.1244
75.000000	91.614052	-1.5478
77.500000	91.581451	-3.0787
80.000000	91.535339	-4.5327
82.500000	91.510139	-5.8100
85.000000	91.456161	-7.2340
87.500000	91.384872	-8.4887
90.000000	91.588531	-10.6246
92.500000	91.326859	-10.6059
95.000000	91.278534	-11.8165
97.500000	91.197983	-12.8939
100.000000	91.164749	-14.0216
103.000000	91.088745	-15.1111
106.000000	91.011932	-16.3260
109.000000	90.969444	-17.2453
112.000000	90.795769	-18.8739
115.000000	90.832718	-19.3261
118.000000	90.783020	-20.5336
122.000000	90.685280	-21.7895
125.000000	90.598511	-22.7832
128.000000	90.490356	-23.9441
132.000000	90.429337	-24.8782
136.000000	90.297974	-26.0083
140.000000	90.193810	-26.9789
145.000000	90.212776	-28.3420
150.000000	89.930534	-29.2270
155.000000	89.764099	-29.9156
160.000000	89.663506	-30.7928
165.000000	89.569344	-31.4554
170.000000	89.464439	-32.1882
175.000000	89.317055	-32.5222
180.000000	89.223877	-32.3571
185.000000	89.257408	-32.3113
190.000000	89.395332	-32.1601
195.000000	89.460602	-33.4218
200.000000	89.576233	-34.6712
206.000000	89.608376	-36.8189
212.000000	89.555748	-38.6438
218.000000	89.453690	-40.3314
224.000000	89.315628	-41.6475
230.000000	89.197937	-42.4995
236.000000	89.165802	-43.2408
243.000000	89.180794	-44.8405
250.000000	89.094078	-46.7311
258.000000	88.928070	-48.4966
265.000000	88.755402	-49.7765
272.000000	88.605286	-50.7716
280.000000	88.458023	-51.7015
290.000000	88.311905	-52.8462
300.000000	88.175323	-54.0262
307.000000	88.074051	-54.8316
315.000000	87.956612	-55.7019
325.000000	87.810760	-56.5967
335.000000	87.676910	-57.2786
345.000000	87.578300	-57.8010
355.000000	87.525299	-58.3213
365.000000	87.501457	-58.9715
375.000000	87.488441	-59.8366
387.000000	87.451485	-61.0356
400.000000	87.384689	-62.2656
412.000000	87.321823	-63.2274
425.000000	87.279030	-64.1052
437.000000	87.276947	-64.9819
450.000000	87.279175	-66.1653
462.000000	87.259819	-67.3168
475.000000	87.231277	-68.5027
487.000000	87.199448	-69.5638
500.000000	87.162018	-70.6333
515.000000	87.121994	-71.7339
530.000000	87.095940	-72.7252
545.000000	87.092331	-73.6723
560.000000	87.106277	-74.6647
580.000000	87.122803	-76.0068
600.000000	87.155441	-77.2499
615.000000	87.199097	-78.2015
630.000000	87.249573	-79.2138
650.000000	87.324585	-80.6493
670.000000	87.402824	-82.1642
690.000000	87.482765	-83.7970
710.000000	87.556648	-85.5094
730.000000	87.622131	-87.2776
750.000000	87.673874	-89.1527
775.000000	87.701889	-91.5472
800.000000	87.684021	-93.8531
825.000000	87.636009	-95.9238
850.000000	87.576721	-97.7782
875.000000	87.516212	-99.4961
900.000000	87.441628	-101.1209
925.000000	87.351982	-102.5819
950.000000	87.251839	-103.8188
975.000000	87.156776	-104.7995
1000.000000	87.084129	-105.6002
1030.000000	87.025597	-106.4942
1060.000000	86.988708	-107.4140
1090.000000	86.955429	-108.3759
1120.000000	86.917641	-109.3306
1150.000000	86.872993	-110.2233
1180.000000	86.826843	-111.0453
1220.000000	86.757423	-112.0324
1250.000000	86.702034	-112.6645
1280.000000	86.646393	-113.1961
1320.000000	86.578064	-113.7530
1360.000000	86.514122	-114.1586
1400.000000	86.457840	-114.3783
1450.000000	86.406906	-114.4338
1500.000000	86.377747	-114.2550
1550.000000	86.378166	-113.8678
1600.000000	86.413834	-113.3083
1650.000000	86.486252	-112.5991
1700.000000	86.595551	-111.7776
1750.000000	86.748611	-110.8258
1800.000000	86.954292	-109.8272
1850.000000	87.208633	-108.8378
1900.000000	87.518883	-107.8875
1950.000000	87.892517	-107.0816
2000.000000	88.317078	-106.5474
2060.000000	88.875900	-106.2831
2120.000000	89.488464	-106.4240
2180.000000	90.160805	-107.0981
2240.000000	90.883606	-108.4924
2300.000000	91.636543	-110.8090
2360.000000	92.381287	-114.2922
2430.000000	93.141388	-120.0592
2500.000000	93.612396	-127.3770
2580.000000	93.652901	-135.6493
2650.000000	93.438652	-141.0949
2720.000000	93.238075	-145.1961
2800.000000	93.042053	-149.5862
2900.000000	92.659874	-154.8703
3000.000000	92.107124	-159.0836
3070.000000	91.667900	-161.1684
3150.000000	91.160088	-162.7122
3250.000000	90.561493	-163.5583
3350.000000	90.030548	-163.4739
3450.000000	89.575752	-162.7211
3550.000000	89.191498	-161.4786
3650.000000	88.866280	-159.8516
3750.000000	88.584267	-157.8563
3870.000000	88.291588	-154.7790
4000.000000	88.078552	-150.1924
4120.000000	88.105087	-144.7533
4250.000000	88.509735	-138.3895
4370.000000	89.242081	-133.2675
