* Measurement data measured by REW V5.20 Beta 26
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep Using a loopback as a timing reference
* Dated: Nov 30, 2019 11:27:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.000 ms (0 mm, 0 in)  relative to Loopback with no timing offset
* Measurement: Sony WF-1000XM3 R FW
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	77.745949	-140.8356
20.600000	77.838745	-142.3122
21.200001	77.862770	-143.2146
21.799999	77.937927	-143.6981
22.400000	78.081406	-144.5564
23.000000	78.194839	-145.9972
23.600000	78.231911	-147.4648
24.299999	78.257950	-148.7236
25.000000	78.321030	-149.8769
25.799999	78.361389	-151.2559
26.500000	78.361496	-152.0599
27.200001	78.392792	-152.5208
28.000000	78.463684	-153.1862
29.000000	78.492470	-154.2097
30.000000	78.535072	-154.8398
30.700001	78.602066	-155.6235
31.500000	78.626556	-156.5153
32.500000	78.809547	-157.3479
33.500000	78.930214	-160.0265
34.500000	78.805237	-160.7703
35.500000	79.040558	-161.3983
36.500000	78.967201	-163.0179
37.500000	79.058472	-162.0450
38.700001	79.309120	-164.1302
40.000000	79.213371	-164.9142
41.200001	79.258453	-165.4676
42.500000	79.443748	-166.0292
43.700001	79.502274	-167.8603
45.000000	79.541901	-169.0497
46.200001	79.473434	-170.2068
47.500000	79.635712	-170.6387
48.700001	79.632950	-172.9748
50.000000	79.614090	-173.3495
51.500000	79.612587	-174.8261
53.000000	79.774445	-175.4513
54.500000	79.665184	-177.2275
56.000000	79.669159	-177.7957
58.000000	79.588654	-179.8089
60.000000	79.708710	179.1176
61.500000	79.637665	178.3208
63.000000	79.704659	178.2364
65.000000	79.835854	178.4121
67.000000	79.811310	176.9618
69.000000	79.775810	176.0576
71.000000	79.825050	175.2241
73.000000	79.813034	174.1406
75.000000	79.910492	173.3945
77.500000	79.960281	171.5290
80.000000	80.029495	170.4859
82.500000	80.081528	169.2232
85.000000	80.117691	167.7091
87.500000	80.120880	166.2734
90.000000	80.127090	164.9532
92.500000	80.157257	163.7215
95.000000	80.069817	161.8739
97.500000	80.149986	160.0310
100.000000	80.095673	158.8435
103.000000	80.147018	157.6043
106.000000	79.987823	155.6337
109.000000	79.804184	154.3776
112.000000	79.774483	153.1680
115.000000	79.746521	151.6557
118.000000	79.647400	150.5364
122.000000	79.551239	148.9198
125.000000	79.424576	147.7979
128.000000	79.278267	145.6898
132.000000	79.246284	144.7471
136.000000	79.034279	143.8539
140.000000	78.784882	142.9635
145.000000	78.715179	141.9041
150.000000	78.627991	140.8816
155.000000	78.403152	139.7927
160.000000	78.206192	139.2668
165.000000	78.057785	137.6653
170.000000	77.946449	137.1232
175.000000	77.960289	137.4004
180.000000	77.673630	136.5325
185.000000	77.579185	134.4677
190.000000	77.578217	134.1044
195.000000	77.400696	133.7711
200.000000	77.269455	132.7097
206.000000	77.146919	133.1007
212.000000	77.004807	133.1330
218.000000	76.900253	132.5270
224.000000	76.859070	131.8759
230.000000	76.778648	130.6634
236.000000	76.594872	130.8191
243.000000	76.484886	129.8691
250.000000	76.441246	129.2584
258.000000	76.419273	128.2775
265.000000	76.233467	127.8548
272.000000	76.064934	126.9394
280.000000	76.016663	126.2236
290.000000	76.003662	124.8243
300.000000	75.568291	126.6978
307.000000	75.640610	125.3159
315.000000	75.262878	122.3364
325.000000	75.162033	123.2664
335.000000	75.076767	122.5138
345.000000	74.958832	122.5815
355.000000	74.771492	122.9994
365.000000	74.533943	122.4618
375.000000	74.561012	122.0663
387.000000	74.564354	122.4373
400.000000	74.452728	122.7927
412.000000	74.450539	122.0859
425.000000	74.287193	122.6052
437.000000	74.527626	122.2029
450.000000	74.505692	121.5425
462.000000	74.440750	121.6116
475.000000	74.526207	120.2453
