* Measurement data measured by REW V5.20 Beta 56
* Source: IEC-60711 (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 512k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jul 23, 2020 10:14:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Empire Ears Wraith - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	84.368706	-129.8331
21.200001	84.519707	-130.4500
21.799999	84.625092	-131.0483
22.400000	84.708649	-131.8270
23.000000	84.810478	-132.8864
23.600000	84.923958	-133.5466
24.299999	84.994095	-133.2972
25.000000	85.025131	-133.0652
25.799999	85.030487	-134.0180
26.500000	84.997055	-135.5860
27.200001	85.024887	-136.9321
28.000000	85.189491	-137.7971
29.000000	85.390518	-137.9083
30.000000	85.488998	-139.0798
30.700001	85.637344	-139.1645
31.500000	85.562302	-138.5105
32.500000	85.618332	-140.1690
33.500000	85.739120	-140.0121
34.500000	85.760254	-140.3645
35.500000	85.782501	-140.8993
36.500000	85.870880	-141.7159
37.500000	85.893158	-141.8951
38.700001	85.928772	-142.2919
40.000000	85.972580	-142.3956
41.200001	86.018723	-142.8411
42.500000	86.058281	-143.1793
43.700001	86.108017	-143.5572
45.000000	86.139847	-143.8027
46.200001	86.222679	-143.8255
47.500000	86.236786	-144.1471
48.700001	86.242958	-144.2786
50.000000	86.273926	-144.4934
51.500000	86.319679	-144.4777
53.000000	86.330414	-144.7804
54.500000	86.363831	-144.8976
56.000000	86.396637	-145.3055
58.000000	86.421509	-145.1758
60.000000	86.454872	-145.3474
61.500000	86.449196	-145.4612
63.000000	86.490685	-145.4551
65.000000	86.517876	-145.3593
67.000000	86.548271	-145.3545
69.000000	86.582733	-145.2598
71.000000	86.600975	-145.2242
73.000000	86.618690	-145.2715
75.000000	86.591438	-145.1949
77.500000	86.655388	-145.3517
80.000000	86.636574	-145.0811
82.500000	86.660751	-145.0016
85.000000	86.692497	-144.6536
87.500000	86.697495	-144.3229
90.000000	86.670944	-143.4521
92.500000	86.715935	-143.8888
95.000000	86.727737	-143.8617
97.500000	86.706589	-143.6493
100.000000	86.692398	-143.3257
103.000000	86.728867	-143.0301
106.000000	86.734451	-142.6490
109.000000	86.732124	-142.4193
112.000000	86.720314	-142.1134
115.000000	86.735298	-141.5623
118.000000	86.685638	-141.2187
122.000000	86.698280	-140.8265
125.000000	86.731743	-140.3210
128.000000	86.697205	-140.0462
132.000000	86.657112	-139.6941
136.000000	86.677299	-139.1165
140.000000	86.665680	-138.6430
145.000000	86.665161	-137.8956
150.000000	86.626831	-137.2603
155.000000	86.606316	-136.6478
160.000000	86.602859	-135.9985
165.000000	86.577881	-135.1622
170.000000	86.562660	-134.4196
175.000000	86.546356	-133.7864
180.000000	86.522171	-133.0779
185.000000	86.488708	-132.3702
190.000000	86.467110	-131.6519
195.000000	86.444199	-131.0173
200.000000	86.398712	-130.2493
206.000000	86.371536	-129.4663
212.000000	86.369705	-128.4963
218.000000	86.337341	-127.7012
224.000000	86.281281	-126.9029
230.000000	86.247520	-125.8041
236.000000	86.218666	-124.9027
243.000000	86.176727	-124.1016
250.000000	86.125381	-122.7524
258.000000	86.092873	-121.7331
265.000000	86.034348	-120.7901
272.000000	86.003220	-119.5479
280.000000	85.966217	-118.3652
290.000000	85.892059	-116.9546
300.000000	85.848343	-115.4887
307.000000	85.802780	-114.4797
315.000000	85.750786	-113.1050
325.000000	85.688316	-111.6532
335.000000	85.608994	-110.0492
345.000000	85.574608	-108.5907
355.000000	85.530121	-107.0103
365.000000	85.460892	-105.5669
375.000000	85.406067	-104.0082
387.000000	85.338554	-102.1393
400.000000	85.258438	-100.0363
412.000000	85.220024	-98.4090
425.000000	85.149948	-96.3040
437.000000	85.077248	-94.4844
450.000000	85.016167	-92.4200
462.000000	84.954971	-90.5380
475.000000	84.901428	-88.7119
487.000000	84.866211	-86.8503
500.000000	84.795807	-84.8319
515.000000	84.747467	-82.4339
530.000000	84.712433	-80.1698
545.000000	84.655495	-78.0130
560.000000	84.611664	-75.6503
580.000000	84.539597	-72.3059
600.000000	84.538269	-69.3934
615.000000	84.504906	-67.0762
630.000000	84.480270	-64.5440
650.000000	84.426559	-61.6930
670.000000	84.449898	-58.5164
690.000000	84.437439	-55.3245
710.000000	84.446587	-52.4878
730.000000	84.468658	-49.3333
750.000000	84.504105	-46.2326
775.000000	84.552269	-42.5045
800.000000	84.666428	-38.8513
825.000000	84.774361	-34.8814
850.000000	84.875404	-31.2691
875.000000	85.039925	-27.4751
900.000000	85.215042	-24.0814
925.000000	85.389435	-20.5882
950.000000	85.637199	-17.1911
975.000000	85.916420	-14.0793
1000.000000	86.240654	-11.3439
1030.000000	86.536087	-7.4293
1060.000000	86.918686	-4.3207
1090.000000	87.328094	-1.2837
1120.000000	87.741386	1.1823
1150.000000	88.202057	3.4766
1180.000000	88.642517	5.6414
1220.000000	89.263840	7.6884
1250.000000	89.736084	9.0575
1280.000000	90.217087	9.8988
1320.000000	90.851585	10.2061
1360.000000	91.448143	9.7172
1400.000000	91.967422	8.3579
1450.000000	92.406082	5.5349
1500.000000	92.578705	2.3254
1550.000000	92.483749	-0.2908
1600.000000	92.230446	-1.8019
1650.000000	91.932495	-2.1687
1700.000000	91.659431	-1.6606
1750.000000	91.436081	-0.3424
1800.000000	91.329109	1.2839
1850.000000	91.302719	2.9124
1900.000000	91.350975	4.2919
1950.000000	91.468964	5.2077
2000.000000	91.554459	5.4025
2060.000000	91.693420	5.1317
2120.000000	91.722458	3.8881
2180.000000	91.611565	2.1562
2240.000000	91.328186	0.3406
2300.000000	90.863083	-1.1574
2360.000000	90.266777	-1.7920
2430.000000	89.487961	-1.1028
2500.000000	88.715134	1.0436
2580.000000	87.948959	4.8162
2650.000000	87.416702	9.1624
2720.000000	87.072006	13.6857
2800.000000	86.838226	19.0376
2900.000000	86.798630	25.5118
3000.000000	86.974960	30.7541
3070.000000	87.204788	34.1127
3150.000000	87.512268	36.9549
3250.000000	87.968765	39.3900
3350.000000	88.474289	40.4368
3450.000000	88.938873	39.6513
3550.000000	89.146217	36.8414
3650.000000	88.949448	34.0287
3750.000000	88.546150	33.0348
3870.000000	88.114326	33.9765
4000.000000	87.888145	35.7552
4120.000000	87.895500	37.4553
4250.000000	88.058380	38.7062
4370.000000	88.345261	38.8395
4500.000000	88.807808	37.4855
4620.000000	89.288635	34.0532
4750.000000	89.639565	26.9853
4870.000000	89.498322	17.6170
5000.000000	88.530945	7.2669
5150.000000	86.493195	0.5722
5300.000000	84.423370	3.3129
5450.000000	83.599159	11.3068
5600.000000	83.946106	14.4075
5800.000000	84.100983	9.3146
6000.000000	83.115685	3.0414
6150.000000	82.278969	1.3201
6300.000000	81.461929	0.0100
6500.000000	80.381516	0.3964
6700.000000	79.615616	2.2244
6900.000000	79.117477	4.6014
7100.000000	78.924057	6.7282
7300.000000	79.048553	8.0316
7500.000000	79.477425	9.0262
