* Measurement data measured by REW V5.30.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 19, 2024 9:37:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: XE6 L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 35.714 110.7583
0.732422 47.299 63.9078
1.098633 56.239 45.7485
1.464844 62.644 32.4416
1.831055 67.433 20.6379
2.197266 71.118 9.8763
2.563477 74.011 0.1630
2.929688 76.328 -8.4454
3.295898 78.227 -15.9547
3.662109 79.830 -22.4686
4.028320 81.223 -28.1735
4.394531 82.461 -33.2840
4.760742 83.575 -37.9809
5.126953 84.580 -42.3755
5.493164 85.486 -46.5150
5.859375 86.304 -50.4103
6.225586 87.045 -54.0661
6.591797 87.722 -57.4946
6.958008 88.343 -60.7170
7.324219 88.916 -63.7569
7.690430 89.448 -66.6355
8.056641 89.941 -69.3699
8.422852 90.399 -71.9732
8.789062 90.826 -74.4542
9.155273 91.224 -76.8192
9.521484 91.596 -79.0732
9.887695 91.945 -81.2240
10.253906 92.274 -83.2829
10.620117 92.584 -85.2631
10.986328 92.877 -87.1758
11.352539 93.152 -89.0264
11.718750 93.411 -90.8152
12.084961 93.655 -92.5413
12.451172 93.884 -94.2061
12.817383 94.102 -95.8146
13.183594 94.309 -97.3729
13.549805 94.505 -98.8855
13.916016 94.692 -100.3548
14.282227 94.869 -101.7821
14.648438 95.038 -103.1698
15.014648 95.199 -104.5207
15.380859 95.353 -105.8365
15.747070 95.499 -107.1166
16.113281 95.639 -108.3588
16.479492 95.772 -109.5629
16.845703 95.901 -110.7323
17.211914 96.025 -111.8725
17.578125 96.144 -112.9877
17.944336 96.258 -114.0782
18.310547 96.366 -115.1401
18.676758 96.470 -116.1701
19.042969 96.570 -117.1689
19.409180 96.667 -118.1415
19.775391 96.760 -119.0950
20.141602 96.849 -120.0335
20.507812 96.932 -120.9563
20.874023 97.000 -121.8593
21.240234 97.061 -122.7382
21.606445 97.112 -123.5911
21.972656 97.158 -124.4196
22.338867 97.199 -125.2275
22.705078 97.235 -126.0191
23.071289 97.269 -126.7981
23.437500 97.298 -127.5655
23.803711 97.323 -128.3202
24.169922 97.346 -129.0589
24.536133 97.365 -129.7791
24.902344 97.384 -130.4817
25.268555 97.401 -131.1717
25.634766 97.418 -131.8553
26.000977 97.433 -132.5353
26.367188 97.445 -133.2076
26.733398 97.455 -133.8628
27.099609 97.463 -134.4929
27.465820 97.471 -135.0976
27.832031 97.480 -135.6862
28.198242 97.491 -136.2718
28.564453 97.502 -136.8624
28.930664 97.510 -137.4551
29.296875 97.516 -138.0386
29.663086 97.520 -138.6011
30.029297 97.523 -139.1397
30.395508 97.529 -139.6618
30.761719 97.535 -140.1800
31.127930 97.542 -140.7028
31.494141 97.547 -141.2291
31.860352 97.551 -141.7499
32.226562 97.552 -142.2542
32.592773 97.552 -142.7369
32.958984 97.554 -143.2015
33.325195 97.557 -143.6569
33.691406 97.562 -144.1120
34.057617 97.567 -144.5704
34.423828 97.571 -145.0300
34.790039 97.574 -145.4849
35.156250 97.576 -145.9309
35.522461 97.578 -146.3675
35.888672 97.580 -146.7978
36.254883 97.582 -147.2247
36.621094 97.584 -147.6479
36.987305 97.584 -148.0637
37.353516 97.583 -148.4678
37.719727 97.583 -148.8596
38.085938 97.584 -149.2434
38.452148 97.585 -149.6255
38.818359 97.586 -150.0085
39.184570 97.586 -150.3878
39.550781 97.585 -150.7555
39.916992 97.584 -151.1070
40.283203 97.585 -151.4474
40.649414 97.588 -151.7899
41.015625 97.593 -152.1474
41.381836 97.596 -152.5225
41.748047 97.596 -152.9039
42.114258 97.592 -153.2728
42.480469 97.587 -153.6151
42.846680 97.582 -153.9301
43.212891 97.581 -154.2304
43.579102 97.582 -154.5326
43.945312 97.585 -154.8473
44.311523 97.588 -155.1739
44.677734 97.588 -155.5036
45.043945 97.587 -155.8268
45.410156 97.585 -156.1388
45.776367 97.583 -156.4406
46.142578 97.581 -156.7362
46.508789 97.580 -157.0294
46.875000 97.580 -157.3220
47.241211 97.578 -157.6136
47.607422 97.576 -157.9025
47.973633 97.574 -158.1864
48.339844 97.571 -158.4640
48.706055 97.569 -158.7357
49.072266 97.567 -159.0048
49.438477 97.566 -159.2755
49.804688 97.564 -159.5500
50.170898 97.561 -159.8257
50.537109 97.557 -160.0960
50.903320 97.553 -160.3545
51.269531 97.548 -160.5995
51.635742 97.546 -160.8362
52.001953 97.546 -161.0745
52.368164 97.547 -161.3226
52.734375 97.548 -161.5828
53.100586 97.548 -161.8501
53.466797 97.546 -162.1160
53.833008 97.542 -162.3737
54.199219 97.539 -162.6216
54.565430 97.535 -162.8627
54.931641 97.533 -163.1008
55.297852 97.530 -163.3372
55.664062 97.526 -163.5695
56.030273 97.523 -163.7940
56.396484 97.519 -164.0094
56.762695 97.517 -164.2194
57.128906 97.516 -164.4309
57.495117 97.516 -164.6493
57.861328 97.514 -164.8739
58.227539 97.510 -165.0974
58.593750 97.506 -165.3102
58.959961 97.502 -165.5083
59.326172 97.500 -165.6976
59.692383 97.500 -165.8914
60.058594 97.502 -166.1024
60.424805 97.503 -166.3335
60.791016 97.501 -166.5755
61.157227 97.496 -166.8128
61.523438 97.489 -167.0329
61.889648 97.482 -167.2338
62.255859 97.477 -167.4235
62.622070 97.474 -167.6130
62.988281 97.471 -167.8088
63.354492 97.469 -168.0100
63.720703 97.466 -168.2119
64.086914 97.463 -168.4106
64.453125 97.460 -168.6067
64.819336 97.457 -168.8027
65.185547 97.454 -168.9993
65.551758 97.450 -169.1936
65.917969 97.445 -169.3805
66.284180 97.440 -169.5579
66.650391 97.437 -169.7286
67.016602 97.434 -169.8995
67.382812 97.433 -170.0771
67.749023 97.431 -170.2627
68.115234 97.427 -170.4521
68.481445 97.423 -170.6379
68.847656 97.417 -170.8153
69.213867 97.412 -170.9846
69.580078 97.407 -171.1504
69.946289 97.404 -171.3179
70.312500 97.400 -171.4892
70.678711 97.396 -171.6621
71.044922 97.392 -171.8330
71.411133 97.387 -172.0002
71.777344 97.383 -172.1658
72.143555 97.380 -172.3341
72.509766 97.377 -172.5070
72.875977 97.372 -172.6816
73.242188 97.367 -172.8516
73.608398 97.362 -173.0121
73.974609 97.357 -173.1644
74.340820 97.354 -173.3161
74.707031 97.353 -173.4764
75.073242 97.351 -173.6488
75.439453 97.347 -173.8284
75.805664 97.341 -174.0042
76.171875 97.334 -174.1675
76.538086 97.328 -174.3174
76.904297 97.322 -174.4614
77.270508 97.319 -174.6093
77.636719 97.315 -174.7656
78.002930 97.310 -174.9269
78.369141 97.303 -175.0848
78.735352 97.296 -175.2324
79.101562 97.289 -175.3698
79.467773 97.284 -175.5033
79.833984 97.280 -175.6410
80.200195 97.277 -175.7877
80.566406 97.273 -175.9420
80.932617 97.268 -176.0992
81.298828 97.262 -176.2541
81.665039 97.256 -176.4037
82.031250 97.249 -176.5477
82.397461 97.243 -176.6867
82.763672 97.237 -176.8219
83.129883 97.233 -176.9553
83.496094 97.229 -177.0902
83.862305 97.225 -177.2302
84.228516 97.222 -177.3778
84.594727 97.218 -177.5319
84.960938 97.212 -177.6877
85.327148 97.205 -177.8382
85.693359 97.198 -177.9785
86.059570 97.190 -178.1079
86.425781 97.184 -178.2307
86.791992 97.179 -178.3541
87.158203 97.176 -178.4843
87.524414 97.172 -178.6230
87.890625 97.167 -178.7665
88.256836 97.160 -178.9083
88.623047 97.153 -179.0424
88.989258 97.146 -179.1676
89.355469 97.141 -179.2878
89.721680 97.136 -179.4104
90.087891 97.132 -179.5408
90.454102 97.127 -179.6787
90.820312 97.121 -179.8179
91.186523 97.114 -179.9497
91.552734 97.106 179.9308
91.918945 97.100 179.8209
92.285156 97.095 179.7115
92.651367 97.093 179.5925
93.017578 97.090 179.4593
93.383789 97.086 179.3157
93.750000 97.080 179.1717
94.116211 97.072 179.0365
94.482422 97.064 178.9138
94.848633 97.056 178.8001
95.214844 97.050 178.6886
95.581055 97.045 178.5737
95.947266 97.040 178.4545
96.313477 97.035 178.3333
96.679688 97.029 178.2133
97.045898 97.023 178.0958
97.412109 97.017 177.9798
97.778320 97.011 177.8638
98.144531 97.006 177.7473
98.510742 97.000 177.6304
98.876953 96.995 177.5133
99.243164 96.990 177.3955
99.609375 96.984 177.2764
99.975586 96.978 177.1565
100.341797 96.972 177.0377
100.708008 96.966 176.9218
101.074219 96.960 176.8092
101.440430 96.954 176.6981
101.806641 96.948 176.5857
102.172852 96.943 176.4707
102.539062 96.937 176.3545
102.905273 96.930 176.2402
103.271484 96.924 176.1300
103.637695 96.918 176.0229
104.003906 96.913 175.9158
104.370117 96.908 175.8050
104.736328 96.903 175.6898
105.102539 96.898 175.5729
105.468750 96.892 175.4582
105.834961 96.885 175.3479
106.201172 96.879 175.2414
106.567383 96.873 175.1357
106.933594 96.868 175.0282
107.299805 96.863 174.9189
107.666016 96.857 174.8098
108.032227 96.850 174.7036
108.398438 96.844 174.6013
108.764648 96.838 174.5015
109.130859 96.833 174.4017
109.497070 96.828 174.2998
109.863281 96.823 174.1953
110.229492 96.817 174.0895
110.595703 96.812 173.9839
110.961914 96.805 173.8798
111.328125 96.799 173.7775
111.694336 96.793 173.6768
112.060547 96.787 173.5769
112.426758 96.781 173.4772
112.792969 96.775 173.3772
113.159180 96.769 173.2767
113.525391 96.763 173.1758
113.891602 96.757 173.0753
114.257812 96.751 172.9755
114.624023 96.745 172.8765
114.990234 96.739 172.7781
115.356445 96.733 172.6801
115.722656 96.727 172.5823
116.088867 96.721 172.4854
116.455078 96.715 172.3889
116.821289 96.709 172.2925
117.187500 96.703 172.1953
117.553711 96.697 172.0974
117.919922 96.691 171.9999
118.286133 96.684 171.9048
118.652344 96.678 171.8129
119.018555 96.672 171.7231
119.384766 96.666 171.6325
119.750977 96.661 171.5385
120.117188 96.655 171.4406
120.483398 96.649 171.3411
120.849609 96.642 171.2434
121.215820 96.635 171.1501
121.582031 96.627 171.0612
121.948242 96.621 170.9745
122.314453 96.614 170.8870
122.680664 96.608 170.7974
123.046875 96.602 170.7060
123.413086 96.596 170.6142
123.779297 96.589 170.5231
124.145508 96.582 170.4330
124.511719 96.576 170.3437
124.877930 96.569 170.2549
125.244141 96.563 170.1667
125.610352 96.556 170.0793
125.976562 96.550 169.9922
126.342773 96.544 169.9045
126.708984 96.538 169.8154
127.075195 96.531 169.7253
127.441406 96.524 169.6362
127.807617 96.517 169.5500
128.173828 96.510 169.4673
128.540039 96.504 169.3863
128.906250 96.498 169.3035
129.272461 96.492 169.2163
129.638672 96.486 169.1252
130.004883 96.479 169.0340
130.371094 96.471 168.9476
130.737305 96.463 168.8684
131.103516 96.455 168.7947
131.469727 96.449 168.7214
131.835938 96.443 168.6438
132.202148 96.437 168.5605
132.568359 96.431 168.4745
132.934570 96.424 168.3897
133.300781 96.417 168.3086
133.666992 96.410 168.2299
134.033203 96.403 168.1508
134.399414 96.397 168.0694
134.765625 96.390 167.9865
135.131836 96.383 167.9048
135.498047 96.375 167.8258
135.864258 96.368 167.7486
136.230469 96.362 167.6707
136.596680 96.355 167.5905
136.962891 96.348 167.5089
137.329102 96.341 167.4285
137.695312 96.333 167.3511
138.061523 96.325 167.2764
138.427734 96.318 167.2021
138.793945 96.311 167.1265
139.160156 96.304 167.0497
139.526367 96.297 166.9735
139.892578 96.289 166.8993
140.258789 96.282 166.8266
140.625000 96.275 166.7538
140.991211 96.268 166.6800
141.357422 96.260 166.6060
141.723633 96.253 166.5335
142.089844 96.245 166.4633
142.456055 96.239 166.3932
142.822266 96.232 166.3201
143.188477 96.226 166.2427
143.554688 96.218 166.1630
143.920898 96.210 166.0853
144.287109 96.202 166.0128
144.653320 96.194 165.9448
145.019531 96.187 165.8771
145.385742 96.180 165.8054
145.751953 96.173 165.7290
146.118164 96.165 165.6517
146.484375 96.156 165.5788
