* Measurement data measured by REW V5.20.13
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -5.0 dBFS with no timing reference
* Dated: Dec 17, 2022 12:44:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Yume 2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.159	-137.6361
20.600000	90.243	-139.2055
21.200001	90.334	-140.7733
21.799999	90.411	-142.4374
22.400000	90.461	-144.1658
23.000000	90.484	-145.8785
23.600000	90.490	-147.5290
24.299999	90.490	-149.4238
25.000000	90.479	-151.3384
25.799999	90.448	-153.4542
26.500000	90.422	-155.1655
27.200001	90.408	-156.8079
28.000000	90.402	-158.6569
29.000000	90.402	-160.8717
30.000000	90.410	-163.0110
30.700001	90.413	-164.4791
31.500000	90.408	-166.1087
32.500000	90.386	-168.0546
33.500000	90.352	-169.8844
34.500000	90.312	-171.6587
35.500000	90.264	-173.4103
36.500000	90.212	-175.1175
37.500000	90.162	-176.7851
38.700001	90.107	-178.7380
40.000000	90.055	179.2057
41.200001	90.002	177.3299
42.500000	89.932	175.4430
43.700001	89.870	173.7907
45.000000	89.801	172.0322
46.200001	89.739	170.4435
47.500000	89.676	168.7643
48.700001	89.618	167.2387
50.000000	89.551	165.6443
51.500000	89.468	163.8841
53.000000	89.380	162.1757
54.500000	89.292	160.4999
56.000000	89.214	158.8692
58.000000	89.130	156.7510
60.000000	89.028	154.6660
61.500000	88.925	153.3175
63.000000	88.831	152.0436
65.000000	88.713	150.2304
67.000000	88.603	148.3856
69.000000	88.502	146.6247
71.000000	88.400	144.9998
73.000000	88.292	143.4360
75.000000	88.176	141.8926
77.500000	88.035	140.0132
80.000000	87.900	138.2304
82.500000	87.764	136.5481
85.000000	87.631	134.9010
87.500000	87.501	133.2645
90.000000	87.372	131.6990
92.500000	87.248	130.1867
95.000000	87.124	128.7003
97.500000	87.002	127.2778
100.000000	86.884	125.9041
103.000000	86.746	124.3181
106.000000	86.610	122.7912
109.000000	86.479	121.3179
112.000000	86.351	119.8965
115.000000	86.226	118.5440
118.000000	86.099	117.2452
122.000000	85.940	115.5284
125.000000	85.829	114.2422
128.000000	85.719	113.0223
132.000000	85.573	111.4870
136.000000	85.429	109.9875
140.000000	85.287	108.5277
145.000000	85.116	106.8258
150.000000	84.957	105.1862
155.000000	84.801	103.6013
160.000000	84.650	102.0814
165.000000	84.507	100.6218
170.000000	84.369	99.2296
175.000000	84.238	97.8693
180.000000	84.116	96.5334
185.000000	83.985	95.3430
190.000000	83.861	94.1878
195.000000	83.743	93.0451
200.000000	83.631	91.9509
206.000000	83.504	90.6872
212.000000	83.383	89.4768
218.000000	83.264	88.3182
224.000000	83.153	87.2266
230.000000	83.047	86.1596
236.000000	82.946	85.1379
243.000000	82.834	84.0071
250.000000	82.729	82.9210
258.000000	82.618	81.7578
265.000000	82.524	80.7847
272.000000	82.433	79.8421
280.000000	82.337	78.8005
290.000000	82.225	77.5725
300.000000	82.117	76.4298
307.000000	82.056	75.7367
315.000000	81.987	74.9676
325.000000	81.901	74.0444
335.000000	81.821	73.1946
345.000000	81.747	72.4077
355.000000	81.680	71.6635
365.000000	81.619	70.9529
375.000000	81.564	70.2967
387.000000	81.505	69.5808
400.000000	81.450	68.8680
412.000000	81.406	68.2724
425.000000	81.363	67.6887
437.000000	81.327	67.2068
450.000000	81.296	66.7388
462.000000	81.272	66.3472
475.000000	81.251	65.9691
487.000000	81.235	65.6616
500.000000	81.222	65.3612
515.000000	81.211	65.0546
530.000000	81.204	64.7964
545.000000	81.196	64.6039
560.000000	81.184	64.5106
580.000000	81.171	64.6071
600.000000	81.207	64.9964
615.000000	81.278	65.2178
630.000000	81.357	65.2351
650.000000	81.441	65.1138
670.000000	81.502	65.0483
690.000000	81.559	65.1158
710.000000	81.624	65.2842
730.000000	81.698	65.5130
750.000000	81.781	65.7809
775.000000	81.896	66.1573
800.000000	82.025	66.5624
825.000000	82.168	66.9995
850.000000	82.326	67.4373
875.000000	82.497	67.8797
900.000000	82.679	68.3157
925.000000	82.873	68.7192
950.000000	83.079	69.0751
975.000000	83.296	69.3589
1000.000000	83.519	69.5681
1030.000000	83.795	69.6918
1060.000000	84.079	69.6524
1090.000000	84.360	69.4680
1120.000000	84.633	69.1399
1150.000000	84.895	68.6883
1180.000000	85.141	68.1393
1220.000000	85.441	67.3012
1250.000000	85.647	66.6326
1280.000000	85.836	65.9575
1320.000000	86.065	65.0792
1360.000000	86.273	64.2488
1400.000000	86.466	63.4860
1450.000000	86.692	62.6334
1500.000000	86.911	61.8866
1550.000000	87.126	61.2208
1600.000000	87.344	60.6085
1650.000000	87.566	60.0225
1700.000000	87.792	59.4380
1750.000000	88.025	58.8258
1800.000000	88.264	58.1554
1850.000000	88.506	57.3985
1900.000000	88.749	56.5397
1950.000000	88.988	55.5627
2000.000000	89.220	54.4582
2060.000000	89.482	52.9639
2120.000000	89.720	51.2971
