* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Jan 21, 2022 6:54:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Yume Midnight L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	95.825050	-167.8663
21.200001	95.852287	-169.7358
21.799999	95.880043	-171.4936
22.400000	95.900917	-173.2217
23.000000	95.917831	-174.9500
23.600000	95.933456	-176.6305
24.299999	95.941971	-178.5134
25.000000	95.938805	179.6335
25.799999	95.932259	177.5703
26.500000	95.918686	175.8626
27.200001	95.899002	174.2065
28.000000	95.876320	172.3530
29.000000	95.837036	170.0829
30.000000	95.793785	167.9119
30.700001	95.762085	166.4363
31.500000	95.719467	164.7828
32.500000	95.664978	162.8258
33.500000	95.605583	160.9371
34.500000	95.541222	159.0715
35.500000	95.471786	157.3098
36.500000	95.403099	155.5900
37.500000	95.331818	153.9235
38.700001	95.239754	151.9891
40.000000	95.140488	149.9673
41.200001	95.042786	148.2039
42.500000	94.941498	146.3476
43.700001	94.842400	144.6564
45.000000	94.731049	142.9318
46.200001	94.629303	141.3747
47.500000	94.530106	139.7723
48.700001	94.426270	138.2986
50.000000	94.317429	136.7816
51.500000	94.195328	135.0655
53.000000	94.065018	133.4592
54.500000	93.942619	131.8866
56.000000	93.817329	130.3601
58.000000	93.655396	128.4148
60.000000	93.493019	126.5762
61.500000	93.372604	125.1772
63.000000	93.254883	123.8953
65.000000	93.096565	122.1990
67.000000	92.943672	120.5652
69.000000	92.791336	119.0245
71.000000	92.644058	117.5227
73.000000	92.499290	116.0766
75.000000	92.355392	114.6792
77.500000	92.181198	112.9969
80.000000	92.010330	111.3850
82.500000	91.847900	109.7899
85.000000	91.683472	108.3412
87.500000	91.526909	106.9056
90.000000	91.367447	105.4279
92.500000	91.223801	104.1926
95.000000	91.077522	102.8915
97.500000	90.939636	101.6455
100.000000	90.802002	100.4521
103.000000	90.642502	99.0354
106.000000	90.489113	97.7085
109.000000	90.368561	95.7584
112.000000	90.197922	95.1615
115.000000	90.057243	93.9733
118.000000	89.920555	92.8115
122.000000	89.748840	91.3468
125.000000	89.623833	90.2739
128.000000	89.502716	89.2371
132.000000	89.346588	87.9094
