* Measurement data measured by REW V5.20 Beta 59
* Source: IEC-60711 (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.530
* Format: 1M Log Swept Sine, 1 sweep with no timing reference
* Dated: Aug 7, 2020 5:10:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Z1 - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	82.673775	-119.5711
20.600000	82.728233	-120.1729
21.200001	82.629761	-120.3897
21.799999	82.747902	-119.8731
22.400000	82.749855	-119.7612
23.000000	82.758301	-119.5505
23.600000	82.699387	-118.9016
24.299999	82.681007	-119.5738
25.000000	82.766144	-119.0649
25.799999	82.862122	-118.7829
26.500000	82.812729	-119.1376
27.200001	82.729492	-118.7227
28.000000	82.790146	-118.4410
29.000000	82.789368	-117.6519
30.000000	82.796730	-117.4814
30.700001	82.821404	-117.2977
31.500000	82.713539	-116.8351
32.500000	82.711967	-115.6153
33.500000	82.705963	-115.6160
34.500000	82.575745	-114.5760
35.500000	82.599304	-114.5311
36.500000	82.568047	-113.3806
37.500000	82.561348	-112.7803
38.700001	82.587631	-112.2231
40.000000	82.450684	-111.7759
41.200001	82.315903	-110.2582
42.500000	82.249153	-109.3248
43.700001	82.418098	-108.2840
45.000000	82.303535	-107.4096
46.200001	82.207680	-106.8340
47.500000	82.153008	-105.2469
48.700001	82.015541	-103.6784
50.000000	81.849487	-103.5085
51.500000	81.709450	-101.5985
53.000000	81.589035	-99.9399
54.500000	81.533913	-99.2442
56.000000	81.476685	-97.1006
58.000000	81.275139	-94.9004
60.000000	81.023788	-94.0000
61.500000	80.808411	-93.3524
63.000000	80.931068	-90.4978
65.000000	80.848686	-88.2303
67.000000	80.632225	-86.4690
69.000000	80.511757	-84.8989
71.000000	80.409027	-81.6173
73.000000	80.211761	-80.1983
75.000000	80.064812	-77.9804
77.500000	79.736687	-74.8406
80.000000	79.560211	-72.6665
82.500000	79.382942	-69.2196
85.000000	79.056351	-66.5676
87.500000	79.044960	-63.4082
90.000000	85.434647	-76.7999
92.500000	79.116959	-55.7936
95.000000	78.537888	-54.0126
97.500000	78.281326	-50.2375
100.000000	78.200233	-46.2173
103.000000	77.857841	-41.2438
106.000000	77.721039	-38.2125
109.000000	77.564056	-34.8775
112.000000	77.257553	-31.4933
115.000000	77.168541	-27.1135
118.000000	77.070702	-24.6461
122.000000	76.688301	-19.3358
125.000000	76.560425	-14.2532
128.000000	76.298325	-9.6804
132.000000	76.106873	-4.1664
136.000000	76.131630	1.0957
140.000000	75.736435	6.3314
145.000000	75.323296	13.1432
150.000000	75.034363	19.7146
155.000000	74.804596	26.5096
160.000000	74.442810	34.5571
165.000000	74.323425	44.4703
170.000000	74.960823	51.3424
175.000000	74.751564	56.2100
180.000000	74.503693	62.1351
185.000000	74.244965	67.6718
190.000000	74.066689	74.0103
195.000000	73.902878	80.2594
200.000000	73.745148	87.0242
206.000000	73.580490	94.0069
212.000000	73.412720	101.9896
218.000000	73.209305	109.5174
224.000000	72.958595	117.1515
230.000000	72.903877	124.1603
236.000000	72.573631	131.5976
243.000000	72.606628	140.9725
250.000000	72.456284	149.0468
258.000000	72.236359	159.0140
265.000000	72.041977	167.0526
272.000000	72.069977	175.5370
280.000000	71.911156	-174.6682
290.000000	71.623047	-162.9602
300.000000	71.441231	-151.0709
307.000000	71.455032	-143.2376
315.000000	71.244568	-133.1714
325.000000	71.054794	-121.4509
335.000000	70.841904	-111.0378
345.000000	70.852707	-99.4345
355.000000	70.621254	-86.8106
365.000000	70.646469	-75.1526
375.000000	70.408890	-63.9911
387.000000	70.342606	-50.5687
400.000000	70.512184	-36.2718
412.000000	70.374161	-23.0136
425.000000	70.129219	-10.9711
437.000000	70.115082	1.6241
450.000000	70.101959	14.8369
462.000000	70.073868	27.7513
475.000000	69.976341	41.4090
487.000000	69.998573	52.2661
500.000000	69.845871	65.6555
515.000000	69.632210	80.9342
530.000000	69.556030	95.9755
545.000000	69.552254	110.3040
560.000000	69.516685	125.5015
580.000000	69.418472	144.7130
600.000000	69.114098	164.5184
615.000000	69.287598	177.6112
630.000000	69.203613	-167.9078
650.000000	69.033493	-149.2309
670.000000	69.049423	-129.7349
690.000000	69.136833	-113.0858
710.000000	68.836525	-93.7449
730.000000	68.912636	-75.1814
750.000000	69.034187	-58.2463
775.000000	68.922607	-35.1533
800.000000	69.004639	-13.2885
825.000000	69.225060	8.0245
850.000000	69.245819	30.1669
875.000000	69.496063	51.5732
900.000000	69.479446	71.8022
925.000000	69.778809	93.0851
950.000000	70.123512	113.1962
975.000000	70.220329	134.2737
1000.000000	70.964424	154.0754
1030.000000	70.877899	176.2672
1060.000000	71.248611	-161.2385
1090.000000	71.632423	-139.1466
1120.000000	71.997581	-117.0100
1150.000000	72.339851	-96.1517
1180.000000	72.595070	-75.3972
1220.000000	73.107735	-48.3837
1250.000000	73.472519	-28.4357
1280.000000	73.754745	-8.3417
1320.000000	74.114525	16.9971
1360.000000	74.591103	42.3995
1400.000000	74.991013	67.3970
1450.000000	75.510773	97.8857
1500.000000	76.146439	127.0159
1550.000000	76.623154	155.9800
1600.000000	77.131401	-176.2319
1650.000000	77.736877	-149.2615
1700.000000	78.369263	-123.3037
1750.000000	78.846321	-97.5398
1800.000000	79.334488	-73.5038
1850.000000	79.874336	-49.8214
1900.000000	80.178513	-27.5720
1950.000000	80.637672	-5.6129
2000.000000	80.827797	15.7457
2060.000000	80.869843	40.4109
2120.000000	80.889015	64.8938
2180.000000	80.773659	88.6990
2240.000000	80.488243	112.9662
2300.000000	80.207588	137.3149
2360.000000	79.656113	162.0231
2430.000000	79.195175	-169.0034
2500.000000	78.818077	-139.8796
2580.000000	78.254730	-106.9246
2650.000000	77.907837	-77.8097
2720.000000	77.589180	-48.9988
2800.000000	77.315300	-16.2789
2900.000000	76.958534	24.1147
3000.000000	76.625946	63.1936
3070.000000	76.455635	90.3257
3150.000000	76.411438	121.1931
3250.000000	76.139671	158.6304
3350.000000	76.172997	-164.7473
3450.000000	76.269394	-129.8955
3550.000000	76.343056	-95.1082
3650.000000	76.433792	-61.8423
3750.000000	76.559601	-29.3484
3870.000000	76.679115	8.3970
4000.000000	77.087631	48.3655
4120.000000	77.301544	83.2217
4250.000000	77.799179	120.1011
4370.000000	78.178505	152.4426
4500.000000	78.862198	-173.8391
4620.000000	79.558472	-144.7339
4750.000000	80.281174	-115.2415
4870.000000	81.085274	-90.9114
5000.000000	81.812164	-67.4585
5150.000000	82.350426	-43.8564
5300.000000	82.305023	-23.7690
5450.000000	81.630524	-3.5745
5600.000000	80.072212	17.9124
5800.000000	79.164017	57.6367
6000.000000	78.080315	84.6255
6150.000000	76.981796	108.4639
6300.000000	76.081665	133.9270
6500.000000	75.077980	166.6597
6700.000000	74.335274	-160.8203
6900.000000	73.904091	-129.7847
7100.000000	73.813004	-99.0366
7300.000000	74.007645	-71.3420
7500.000000	74.494026	-45.5115
7750.000000	75.533730	-15.8953
8000.000000	77.343811	8.7581
8250.000000	80.112442	24.8826
8500.000000	83.442276	23.6460
8750.000000	83.635849	-0.0732
9000.000000	80.130966	-10.0720
9250.000000	76.739883	-4.8843
9500.000000	74.257111	6.3474
9750.000000	72.495850	17.9248
10000.000000	71.496460	28.7539
10300.000000	70.819542	38.3997
10600.000000	70.654686	45.7473
10900.000000	71.187119	49.8242
11200.000000	72.517921	49.3264
11500.000000	74.725586	40.4739
11800.000000	77.329391	13.8350
12200.000000	76.359337	-47.0674
12500.000000	72.546921	-77.6011
12800.000000	69.399849	-98.3591
