* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260. Timing signal peak level -64.7 dBFS, measurement signal peak level -27.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: Dec 23, 2021 7:54:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0541 ms (-19 mm, -0.73 in) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: ZEX PRO L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	91.113731	-143.9416
21.200001	91.134789	-145.5396
21.799999	91.129181	-147.0212
22.400000	91.103973	-148.6129
23.000000	91.082169	-150.2282
23.600000	91.057869	-151.6440
24.299999	91.006493	-153.1359
25.000000	90.943390	-154.6659
25.799999	90.880890	-156.3688
26.500000	90.820305	-157.7212
27.200001	90.749924	-159.0336
28.000000	90.669456	-160.5296
29.000000	90.566071	-162.2748
30.000000	90.464180	-163.8956
30.700001	90.394417	-165.0031
31.500000	90.299675	-166.3240
32.500000	90.199829	-167.7265
33.500000	90.105309	-169.0112
34.500000	90.000824	-170.3161
35.500000	89.902893	-171.5125
36.500000	89.795494	-172.6582
37.500000	89.696587	-173.8037
38.700001	89.577240	-175.0402
40.000000	89.448143	-176.3237
41.200001	89.334930	-177.4264
42.500000	89.202911	-178.5535
43.700001	89.093292	-179.5188
45.000000	88.973877	179.4963
46.200001	88.861023	178.6215
47.500000	88.740761	177.7411
48.700001	88.635696	176.9772
50.000000	88.517975	176.1913
51.500000	88.392395	175.3782
53.000000	88.261612	174.5791
54.500000	88.138550	173.8201
56.000000	88.015381	173.1772
58.000000	87.860199	172.3300
60.000000	87.707176	171.4647
61.500000	87.599731	171.0414
63.000000	87.482437	170.5560
65.000000	87.351547	169.9221
67.000000	87.207497	169.4219
69.000000	87.072899	168.9469
71.000000	86.944839	168.4323
73.000000	86.808167	168.0270
75.000000	86.684464	167.7628
77.500000	86.536690	167.3828
80.000000	86.389938	167.0383
82.500000	86.251472	166.6107
85.000000	86.112839	166.3681
87.500000	85.990990	166.1810
90.000000	85.838608	165.8410
92.500000	85.741898	165.8859
95.000000	85.614433	165.7291
97.500000	85.506477	165.6555
100.000000	85.398170	165.5023
103.000000	85.273682	165.4726
106.000000	85.160568	165.4521
109.000000	85.049355	165.4604
112.000000	84.944473	165.4697
115.000000	84.843643	165.4879
118.000000	84.749855	165.5692
122.000000	84.624367	165.6625
125.000000	84.541359	165.7719
128.000000	84.457520	165.8725
132.000000	84.351379	166.0303
136.000000	84.249283	166.1964
140.000000	84.155045	166.4033
145.000000	84.040512	166.6774
150.000000	83.932106	166.9644
155.000000	83.831619	167.2646
160.000000	83.734848	167.5776
