* Measurement data measured by REW V5.19
* Source: Microphone (2- USB Sound Device        ), no input selected, R, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: May 24, 2019 1:08:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ ZS7 - L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.155449	-164.7238
20.600000	89.230728	-165.7171
21.200001	89.260834	-166.5981
21.799999	89.263733	-167.4744
22.400000	89.256668	-168.3317
23.000000	89.252670	-169.2614
23.600000	89.246941	-170.2934
24.299999	89.234306	-171.5059
25.000000	89.232422	-172.6260
25.799999	89.252731	-173.8693
26.500000	89.271362	-174.9426
27.200001	89.282677	-175.9114
28.000000	89.294777	-176.8920
29.000000	89.298958	-178.0634
30.000000	89.283600	-179.1444
30.700001	89.272957	-179.8963
31.500000	89.255043	179.1849
32.500000	89.224838	178.0511
33.500000	89.200081	176.9355
34.500000	89.178009	175.8980
35.500000	89.172943	174.9131
36.500000	89.160042	173.8760
37.500000	89.125977	172.9683
38.700001	89.102730	172.0432
40.000000	89.073769	170.7874
41.200001	89.017303	169.8359
42.500000	88.995377	168.7642
43.700001	88.945229	167.7607
45.000000	88.904533	166.9533
46.200001	88.893799	166.0410
47.500000	88.826439	165.0286
48.700001	88.789688	164.3072
50.000000	88.742065	163.3455
51.500000	88.684525	162.3374
53.000000	88.618340	161.4746
54.500000	88.582695	160.5198
56.000000	88.508392	159.5911
58.000000	88.438904	158.5495
60.000000	88.390579	157.2357
61.500000	88.299980	156.4521
63.000000	88.238251	155.7527
65.000000	88.151360	154.8141
67.000000	88.065636	153.8433
69.000000	87.986191	152.8484
71.000000	87.900627	151.9372
73.000000	87.812889	151.1047
75.000000	87.723442	150.2553
77.500000	87.629974	149.2610
80.000000	87.530571	148.3020
82.500000	87.429245	147.4363
85.000000	87.308769	146.4968
87.500000	87.209862	145.5453
90.000000	87.102859	144.7480
92.500000	87.005089	143.9381
95.000000	86.891594	143.1056
97.500000	86.786209	142.4344
100.000000	86.690300	141.6827
103.000000	86.569366	140.8625
106.000000	86.435440	140.0762
109.000000	86.315132	139.3300
112.000000	86.189682	138.6061
115.000000	86.072128	137.8979
118.000000	85.950783	137.2267
122.000000	85.806877	136.3666
125.000000	85.678940	135.7307
128.000000	85.564926	135.1902
132.000000	85.411911	134.4506
136.000000	85.268837	133.7349
140.000000	85.123459	133.0430
145.000000	84.945518	132.3000
150.000000	84.766319	131.5576
155.000000	84.592758	130.8423
160.000000	84.418571	130.2097
165.000000	84.260284	129.6148
170.000000	84.098289	129.0232
175.000000	83.938324	128.5083
180.000000	83.786064	127.9090
185.000000	83.641083	127.4825
