* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 11, 2021 6:22:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zen L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.172165	-97.9510
20.600000	90.317307	-100.1690
21.200001	90.423653	-102.2412
21.799999	90.526718	-104.1501
22.400000	90.632629	-106.0447
23.000000	90.722343	-107.9742
23.600000	90.787415	-109.8272
24.299999	90.852623	-111.8155
25.000000	90.916801	-113.7484
25.799999	90.965942	-115.9181
26.500000	90.994217	-117.6443
27.200001	91.030426	-119.2815
28.000000	91.067795	-121.2017
29.000000	91.085541	-123.5390
30.000000	91.098335	-125.7725
30.700001	91.133736	-127.3077
31.500000	91.170105	-128.9422
32.500000	91.218750	-130.8806
33.500000	91.257332	-132.7972
34.500000	91.285500	-134.6362
35.500000	91.300552	-136.4363
36.500000	91.303635	-138.1049
37.500000	91.308678	-139.7153
38.700001	91.298561	-141.5612
40.000000	91.287132	-143.4301
41.200001	91.262756	-145.0419
42.500000	91.246140	-146.7217
43.700001	91.210602	-148.2823
45.000000	91.166885	-149.8777
46.200001	91.116913	-151.3338
47.500000	91.055084	-152.8063
48.700001	91.001297	-154.0983
50.000000	90.935425	-155.4282
51.500000	90.867165	-156.8495
53.000000	90.790283	-158.2833
54.500000	90.699318	-159.6396
56.000000	90.643906	-160.9037
58.000000	90.595222	-162.4796
60.000000	90.549591	-164.0062
61.500000	90.503067	-165.1218
63.000000	90.449982	-166.1462
65.000000	90.382324	-167.4422
67.000000	90.314117	-168.7050
69.000000	90.242607	-169.9459
71.000000	90.163834	-170.9968
73.000000	90.092667	-172.0407
75.000000	90.009155	-173.0460
77.500000	89.912003	-174.1891
80.000000	89.802307	-175.2641
82.500000	89.697365	-176.2888
85.000000	89.589760	-177.2723
87.500000	89.481750	-178.1796
90.000000	89.365677	-178.9850
92.500000	89.264328	-179.7734
95.000000	89.160248	179.4984
97.500000	89.051346	178.8217
100.000000	88.941467	178.1447
103.000000	88.851295	177.4703
106.000000	88.744743	176.8365
109.000000	88.653336	176.1530
112.000000	88.555244	175.6539
115.000000	88.471497	175.0985
118.000000	88.365982	174.6600
122.000000	88.253510	174.0970
125.000000	88.160484	173.6693
128.000000	88.068199	173.3535
132.000000	87.952332	172.9690
136.000000	87.842140	172.6093
140.000000	87.730705	172.2969
145.000000	87.592621	171.9269
150.000000	87.458588	171.6808
155.000000	87.328751	171.4676
160.000000	87.199524	171.2887
165.000000	87.081482	171.1618
170.000000	86.965378	171.1096
175.000000	86.851074	171.0448
180.000000	86.738663	171.0347
185.000000	86.635841	171.0831
190.000000	86.531425	171.1511
195.000000	86.433609	171.2413
200.000000	86.335732	171.3514
206.000000	86.219955	171.5004
212.000000	86.120613	171.7059
218.000000	86.016739	171.9156
224.000000	85.920364	172.1610
230.000000	85.825348	172.4201
236.000000	85.732468	172.6918
243.000000	85.634186	173.0555
250.000000	85.537018	173.4250
258.000000	85.432610	173.8747
265.000000	85.347923	174.2799
272.000000	85.266045	174.6967
280.000000	85.175476	175.2031
290.000000	85.069962	175.8480
300.000000	84.969261	176.5069
307.000000	84.908180	176.9689
315.000000	84.837044	177.5206
325.000000	84.756538	178.2190
335.000000	84.680588	178.9132
345.000000	84.610870	179.6359
355.000000	84.544205	-179.6427
365.000000	84.482880	-178.9227
375.000000	84.425369	-178.1926
387.000000	84.362228	-177.3063
400.000000	84.303749	-176.3545
412.000000	84.252182	-175.4668
425.000000	84.200012	-174.4973
437.000000	84.160828	-173.6267
450.000000	84.121071	-172.6634
462.000000	84.089104	-171.7664
475.000000	84.059303	-170.8024
487.000000	84.035301	-169.9151
500.000000	84.013092	-168.9594
515.000000	83.992966	-167.8455
530.000000	83.977974	-166.7323
545.000000	83.969589	-165.6422
560.000000	83.963692	-164.5299
580.000000	83.962944	-163.0573
600.000000	83.970222	-161.5788
615.000000	83.980438	-160.4779
630.000000	83.995804	-159.3629
