* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2021 11:37:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Dunu Zen Pro TEST L
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	96.412163	-101.5367
21.200001	96.595879	-103.0517
21.799999	96.751686	-104.8739
22.400000	96.825035	-107.0252
23.000000	96.816040	-109.0869
23.600000	96.801605	-110.8398
24.299999	96.828865	-112.7956
25.000000	96.849106	-114.8750
25.799999	96.809364	-117.0795
26.500000	96.766258	-118.7620
27.200001	96.751266	-120.4311
28.000000	96.756561	-122.3574
29.000000	96.760330	-124.6089
30.000000	96.727150	-126.7516
30.700001	96.690414	-128.2289
31.500000	96.654976	-129.8813
32.500000	96.620895	-131.7979
33.500000	96.587730	-133.6020
34.500000	96.546867	-135.4398
35.500000	96.507629	-137.2053
36.500000	96.472832	-138.8250
37.500000	96.434265	-140.3526
38.700001	96.385590	-142.1921
40.000000	96.324097	-144.1111
41.200001	96.270439	-145.7094
42.500000	96.218475	-147.4346
43.700001	96.161629	-148.9171
45.000000	96.111664	-150.4641
46.200001	96.056473	-151.8685
47.500000	95.995605	-153.3376
48.700001	95.944832	-154.6104
50.000000	95.882019	-155.9865
51.500000	95.810043	-157.4011
53.000000	95.745544	-158.8360
54.500000	95.675636	-160.1331
56.000000	95.606346	-161.4525
58.000000	95.528023	-163.0578
60.000000	95.430092	-164.5101
61.500000	95.368004	-165.6147
63.000000	95.306290	-166.6971
65.000000	95.216125	-167.9577
67.000000	95.123474	-169.2431
69.000000	95.038445	-170.4228
71.000000	94.947716	-171.5306
73.000000	94.856201	-172.6254
75.000000	94.757965	-173.6095
77.500000	94.654999	-174.8734
80.000000	94.533356	-175.9236
82.500000	94.419121	-176.9596
85.000000	94.302025	-177.9231
87.500000	94.187836	-178.8786
90.000000	94.084717	-179.3814
92.500000	93.975616	179.4545
95.000000	93.874397	178.7318
97.500000	93.772171	178.0197
100.000000	93.673622	177.3329
103.000000	93.560669	176.5752
106.000000	93.451752	175.8806
109.000000	93.344955	175.2925
112.000000	93.241676	174.6953
115.000000	93.141243	174.1265
118.000000	93.058167	173.6052
122.000000	92.933800	173.0876
125.000000	92.831970	172.5779
128.000000	92.739212	172.1569
132.000000	92.620636	171.6961
136.000000	92.505753	171.2794
140.000000	92.390564	170.9190
145.000000	92.254333	170.5419
150.000000	92.122681	170.2046
155.000000	91.982796	169.9443
160.000000	91.861328	169.7080
165.000000	91.740417	169.5359
170.000000	91.619255	169.4025
175.000000	91.499954	169.3163
180.000000	91.393906	169.2934
185.000000	91.281479	169.2402
190.000000	91.175369	169.2499
195.000000	91.074120	169.2865
200.000000	90.974800	169.3574
206.000000	90.858521	169.4669
212.000000	90.745102	169.5938
218.000000	90.644287	169.7337
224.000000	90.539673	169.9458
230.000000	90.442535	170.1643
236.000000	90.346603	170.3820
243.000000	90.242523	170.6697
250.000000	90.141357	170.9993
258.000000	90.034943	171.3587
265.000000	89.939552	171.7139
272.000000	89.853134	172.0919
280.000000	89.757179	172.5357
290.000000	89.644386	173.1080
300.000000	89.537804	173.7095
307.000000	89.469765	174.1264
315.000000	89.395905	174.6264
325.000000	89.306259	175.2460
335.000000	89.223717	175.8958
345.000000	89.149506	176.5757
355.000000	89.074188	177.2083
365.000000	89.006996	177.8748
375.000000	88.945206	178.5538
387.000000	88.875839	179.3634
400.000000	88.807259	-179.7421
412.000000	88.749680	-178.9375
425.000000	88.692017	-178.0436
437.000000	88.645859	-177.2053
450.000000	88.598518	-176.3187
462.000000	88.560226	-175.4868
475.000000	88.523590	-174.5894
487.000000	88.493347	-173.7718
500.000000	88.465118	-172.8723
515.000000	88.436234	-171.8436
530.000000	88.413605	-170.8121
545.000000	88.396538	-169.7861
560.000000	88.383545	-168.7537
580.000000	88.373749	-167.3787
600.000000	88.371544	-166.0156
615.000000	88.376099	-164.9912
630.000000	88.383820	-163.9646
650.000000	88.401802	-162.5980
670.000000	88.427414	-161.2340
690.000000	88.461319	-159.8674
710.000000	88.502762	-158.5157
730.000000	88.552765	-157.1595
750.000000	88.610962	-155.8069
775.000000	88.697060	-154.1305
800.000000	88.795532	-152.4752
825.000000	88.911057	-150.8485
850.000000	89.039413	-149.2549
875.000000	89.183762	-147.7094
900.000000	89.342804	-146.2302
925.000000	89.515938	-144.8116
950.000000	89.701477	-143.4910
975.000000	89.900391	-142.2718
1000.000000	90.107613	-141.1488
1030.000000	90.367744	-139.9806
