* Measurement data measured by REW V5.20 Beta 37
* Source: IEC-711 (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS With no timing reference
* Dated: Mar 24, 2020 4:05:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FL x Crinacle Dawn - R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	88.164162	27.1594
21.200001	88.200951	26.5762
21.799999	88.211769	26.0128
22.400000	88.209900	25.4097
23.000000	88.202179	24.7297
23.600000	88.190331	23.9932
24.299999	88.180641	23.1464
25.000000	88.190559	22.3186
25.799999	88.216347	21.3275
26.500000	88.232597	20.5160
27.200001	88.248749	19.8468
28.000000	88.270561	19.1585
29.000000	88.275322	18.3647
30.000000	88.265457	17.7033
30.700001	88.255920	17.2132
31.500000	88.235596	16.6164
32.500000	88.205864	15.8695
33.500000	88.179649	15.1332
34.500000	88.161438	14.4387
35.500000	88.147675	13.7970
36.500000	88.134636	13.2235
37.500000	88.115059	12.6919
38.700001	88.080124	12.1124
40.000000	88.027840	11.4820
41.200001	87.973541	10.9503
42.500000	87.927322	10.3678
43.700001	87.891045	9.8034
45.000000	87.845757	9.1949
46.200001	87.795670	8.7545
47.500000	87.740677	8.3337
48.700001	87.685318	7.9983
50.000000	87.622322	7.5913
51.500000	87.545868	7.1467
53.000000	87.462166	6.6669
54.500000	87.387863	6.2764
56.000000	87.305733	5.9712
58.000000	87.215347	5.6665
60.000000	87.152718	5.2579
61.500000	87.021118	4.9945
63.000000	86.933838	4.9102
65.000000	86.807671	4.6699
67.000000	86.697937	4.5068
69.000000	86.581581	4.2757
71.000000	86.452309	4.1890
73.000000	86.328369	4.1777
75.000000	86.208382	4.2003
77.500000	86.066574	4.2221
80.000000	85.924805	4.3139
82.500000	85.770477	4.4715
85.000000	85.611221	4.6710
87.500000	85.456032	4.9663
90.000000	85.317841	5.2257
92.500000	85.175552	5.5917
95.000000	85.029259	5.9496
97.500000	84.881523	6.3497
100.000000	84.735207	6.8233
103.000000	84.577286	7.3401
106.000000	84.418091	7.9947
109.000000	84.251717	8.7299
112.000000	84.110573	9.5608
115.000000	83.962578	10.3437
118.000000	83.806038	11.0558
122.000000	83.630836	12.3182
125.000000	83.519524	13.0931
128.000000	83.386108	13.9940
132.000000	83.221161	15.2539
136.000000	83.070419	16.5055
140.000000	82.939629	17.8574
145.000000	82.777817	19.4715
150.000000	82.626190	21.0597
155.000000	82.500877	22.7683
160.000000	82.368835	24.3970
165.000000	82.248276	25.9753
170.000000	82.155151	27.5962
175.000000	82.056175	29.4282
180.000000	81.956787	30.9648
185.000000	81.888641	32.6027
190.000000	81.816437	34.1962
195.000000	81.743820	35.6076
200.000000	81.686096	37.2633
206.000000	81.621552	39.0635
212.000000	81.561592	40.8832
218.000000	81.513573	42.5297
224.000000	81.454857	44.1823
230.000000	81.413918	46.0018
236.000000	81.354523	47.6207
243.000000	81.316734	49.4748
250.000000	81.293037	51.3483
