* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.630
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Jul 10, 2022 3:21:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: x Crinacle Dioko R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	96.657982	173.6887
21.200001	96.570541	172.5417
21.799999	96.434784	171.4812
22.400000	96.282745	170.4348
23.000000	96.157982	169.4471
23.600000	96.019043	168.5180
24.299999	95.822807	167.5219
25.000000	95.661240	167.1564
25.799999	95.508507	166.9447
26.500000	95.387497	166.1486
27.200001	95.205070	165.3848
28.000000	94.946785	164.4282
29.000000	94.746101	163.2919
30.000000	94.553185	162.4270
30.700001	94.422287	161.8495
31.500000	94.291283	161.3161
32.500000	94.049400	160.9075
33.500000	93.843353	159.8255
34.500000	93.712234	159.3584
35.500000	93.516930	158.8411
36.500000	93.347267	158.1954
37.500000	93.181122	157.8515
38.700001	92.991379	157.1205
40.000000	92.815903	156.6330
41.200001	92.582558	156.1190
42.500000	92.418694	156.7805
43.700001	92.231590	155.6629
45.000000	92.048538	154.8860
46.200001	91.903542	154.7245
47.500000	91.736877	154.4786
48.700001	91.576958	154.1707
50.000000	91.435257	153.9257
51.500000	91.273506	153.7321
53.000000	91.064072	153.4045
54.500000	90.917175	153.2824
56.000000	90.717178	153.1544
58.000000	90.544205	153.0432
60.000000	90.336655	152.5522
61.500000	90.208847	152.7887
63.000000	90.077049	152.7229
65.000000	89.901077	152.6865
67.000000	89.733879	152.7087
69.000000	89.569656	152.7516
71.000000	89.412857	152.7951
73.000000	89.255913	152.9428
75.000000	89.119392	152.9236
77.500000	88.939911	153.1125
80.000000	88.769547	153.2760
82.500000	88.609879	153.4519
85.000000	88.456398	153.6479
87.500000	88.307739	153.8718
90.000000	88.202225	154.8704
92.500000	88.029984	154.3694
95.000000	87.905487	154.6016
97.500000	87.840118	154.3905
100.000000	87.664696	155.1584
103.000000	87.534134	155.5206
106.000000	87.407616	155.8699
109.000000	87.289619	156.2866
112.000000	87.188896	156.8250
115.000000	87.074875	156.9913
118.000000	86.974701	157.3644
122.000000	86.851784	157.8651
125.000000	86.757095	158.3137
128.000000	86.673935	158.6784
132.000000	86.566269	159.1866
136.000000	86.464417	159.7012
140.000000	86.367134	160.2204
145.000000	86.250099	160.8579
150.000000	86.148087	161.5168
155.000000	86.048370	162.1198
160.000000	85.953781	162.7559
165.000000	85.864532	163.3835
170.000000	85.782448	164.0747
175.000000	85.703598	164.6136
180.000000	85.639481	165.2375
185.000000	85.563339	165.8308
190.000000	85.500404	166.4147
195.000000	85.440079	166.9831
200.000000	85.380249	167.5423
206.000000	85.314789	168.2270
212.000000	85.256638	168.9170
218.000000	85.205338	169.5825
224.000000	85.157867	170.2480
230.000000	85.097237	170.8563
236.000000	85.053818	171.4433
243.000000	85.000854	172.2025
250.000000	84.951996	172.8945
258.000000	84.901566	173.6762
265.000000	84.864822	174.3548
272.000000	84.828094	175.0413
280.000000	84.792770	175.7968
290.000000	84.746407	176.7193
300.000000	84.697548	177.6073
307.000000	84.680229	178.2471
315.000000	84.654930	178.9511
325.000000	84.624542	179.8067
335.000000	84.599304	-179.3495
345.000000	84.578125	-178.5293
355.000000	84.559311	-177.7209
365.000000	84.540001	-176.9074
375.000000	84.524460	-176.1285
387.000000	84.510986	-175.1977
400.000000	84.497040	-174.1931
412.000000	84.488937	-173.2924
425.000000	84.480278	-172.3313
437.000000	84.478699	-171.4655
450.000000	84.477676	-170.5175
462.000000	84.480110	-169.6638
475.000000	84.485176	-168.7536
487.000000	84.489113	-167.9215
500.000000	84.497650	-167.0218
515.000000	84.509697	-165.9921
530.000000	84.524796	-164.9791
545.000000	84.543617	-163.9787
560.000000	84.564377	-162.9677
580.000000	84.596230	-161.6548
600.000000	84.633301	-160.3523
615.000000	84.665520	-159.3613
630.000000	84.699127	-158.3821
650.000000	84.748001	-157.0792
670.000000	84.805252	-155.7898
690.000000	84.866081	-154.4980
710.000000	84.933121	-153.2149
730.000000	85.008812	-151.9323
750.000000	85.088997	-150.6552
775.000000	85.200516	-149.0631
800.000000	85.326019	-147.4961
825.000000	85.460434	-145.9358
850.000000	85.613106	-144.4064
875.000000	85.776627	-142.9241
900.000000	85.954826	-141.4827
925.000000	86.145493	-140.0889
950.000000	86.350571	-138.7801
975.000000	86.567284	-137.5269
1000.000000	86.795090	-136.3586
1030.000000	87.081161	-135.0451
1060.000000	87.385025	-133.8192
1090.000000	87.715836	-132.6987
1120.000000	88.086487	-131.8013
1150.000000	88.477173	-131.3428
1180.000000	88.842735	-131.3418
1220.000000	89.262497	-131.6026
1250.000000	89.549355	-131.8083
1280.000000	89.830353	-132.0118
1320.000000	90.210983	-132.3558
1360.000000	90.614456	-132.9227
1400.000000	91.043938	-134.0000
1450.000000	91.506271	-136.8033
1500.000000	91.555138	-139.4200
1550.000000	91.868683	-139.8104
1600.000000	92.384010	-144.3058
1650.000000	91.701950	-152.1343
1700.000000	90.351700	-146.4971
1750.000000	90.854118	-139.2446
1800.000000	91.641487	-137.5307
1850.000000	92.290421	-138.0016
1900.000000	92.824326	-139.4013
1950.000000	93.274429	-141.3463
2000.000000	93.644890	-143.7232
2060.000000	93.976845	-146.6367
2120.000000	94.303444	-149.6542
2180.000000	94.594254	-153.0928
2240.000000	94.886467	-156.8948
2300.000000	95.255920	-161.7688
2360.000000	95.683945	-170.0644
2430.000000	94.787689	171.2117
2500.000000	91.029434	174.1454
2580.000000	90.820351	-173.1858
2650.000000	91.363625	-171.8268
2720.000000	91.135147	-178.4571
2800.000000	89.536507	-173.3423
2900.000000	89.793808	-167.0476
3000.000000	89.961678	-165.4722
3070.000000	89.975304	-164.8818
3150.000000	89.968353	-164.0567
3250.000000	89.999725	-162.9376
3350.000000	90.161530	-162.0945
3450.000000	90.353065	-163.0881
3550.000000	90.112473	-164.2634
3650.000000	90.251831	-162.8828
3750.000000	90.629532	-165.7918
3870.000000	89.819016	-174.8376
4000.000000	87.876015	-166.6233
4120.000000	88.179001	-157.9454
4250.000000	88.902901	-154.5128
4370.000000	89.692139	-153.8457
4500.000000	90.594604	-157.8077
4620.000000	90.893677	-167.4857
4750.000000	89.138359	-176.4265
4870.000000	88.207581	-170.5982
5000.000000	87.711548	-174.6944
5150.000000	85.763420	-171.3453
5300.000000	84.880234	-159.8688
5450.000000	85.031631	-151.2263
5600.000000	85.464035	-145.6898
5800.000000	85.925545	-142.4862
6000.000000	86.098785	-139.3745
6150.000000	86.378166	-137.9299
6300.000000	86.429039	-137.4293
6500.000000	86.293617	-135.6284
6700.000000	86.212639	-131.7910
6900.000000	86.269577	-128.0109
7100.000000	86.636368	-121.4259
7300.000000	87.719971	-118.9012
7500.000000	88.317833	-119.4293
7750.000000	89.079964	-117.1113
8000.000000	90.905235	-117.4165
8250.000000	92.102280	-126.1877
8500.000000	93.156097	-134.6722
8750.000000	93.880936	-148.4424
9000.000000	93.626633	-164.6907
9250.000000	92.268738	-178.2188
9500.000000	90.452713	175.1709
9750.000000	88.851059	174.4249
10000.000000	87.851761	177.4496
10300.000000	87.674934	-177.8534
10600.000000	88.349358	-177.2908
10900.000000	89.058281	178.7012
11200.000000	89.598434	173.0676
11500.000000	90.466599	166.7555
11800.000000	91.563210	154.3940
12200.000000	92.006210	129.2445
12500.000000	91.151855	107.7937
12800.000000	89.276031	89.3358
13200.000000	86.250763	72.7145
13600.000000	83.514481	61.7415
14000.000000	81.342285	52.1878
14500.000000	79.221138	39.2344
15000.000000	77.902786	23.3326
15500.000000	77.460762	2.1843
16000.000000	77.866180	-28.7268
16500.000000	77.846794	-70.6833
17000.000000	76.534096	-116.0003
17500.000000	74.566742	-157.5681
18000.000000	72.710876	161.8820
18500.000000	71.082367	116.5916
19000.000000	68.671875	64.7212
19500.000000	66.629829	7.3956
