* Measurement data measured by REW V5.20
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Jul 25, 2022 12:55:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: x Crinacle Zero R
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	81.749191	-98.4654
21.200001	81.931030	-100.2838
21.799999	82.066055	-102.3298
22.400000	82.244804	-104.4436
23.000000	82.393005	-106.0412
23.600000	82.474106	-107.6779
24.299999	82.622253	-109.9417
25.000000	82.786636	-112.0309
25.799999	82.828934	-114.3157
26.500000	82.856911	-116.6039
27.200001	83.007332	-118.5872
28.000000	83.120834	-120.3531
29.000000	83.197189	-122.9951
30.000000	83.277817	-125.2440
30.700001	83.335007	-126.9399
31.500000	83.397408	-128.6337
32.500000	83.452934	-130.9470
33.500000	83.484909	-133.0235
34.500000	83.530006	-135.2197
35.500000	83.581490	-137.2438
36.500000	83.614594	-139.2219
37.500000	83.651772	-140.8348
38.700001	83.666283	-143.0379
40.000000	83.698868	-145.6124
41.200001	83.676193	-147.5777
42.500000	83.690735	-149.5134
43.700001	83.608223	-151.5428
45.000000	83.700256	-153.4146
46.200001	83.641907	-154.9220
47.500000	83.640579	-157.0886
48.700001	83.607529	-158.3055
50.000000	83.610573	-160.4654
51.500000	83.528503	-162.0564
53.000000	83.528496	-164.6567
54.500000	83.436996	-165.8727
56.000000	83.412170	-167.9595
58.000000	83.356949	-169.9176
60.000000	83.276840	-172.5641
61.500000	83.138878	-173.7143
63.000000	83.084282	-175.7185
65.000000	82.995438	-176.7889
67.000000	82.878395	-178.8146
69.000000	82.752739	179.5130
71.000000	82.665352	177.8373
73.000000	82.580887	176.1343
75.000000	82.431595	174.6685
77.500000	82.211189	172.7553
80.000000	82.119141	171.0630
82.500000	81.894302	169.3602
85.000000	81.716187	167.8858
87.500000	81.512161	166.3146
90.000000	81.310860	165.6989
92.500000	81.126045	163.7429
95.000000	80.927505	162.7528
97.500000	80.704941	161.5670
100.000000	80.522141	160.3770
103.000000	80.225090	159.1556
106.000000	79.999458	158.1675
109.000000	79.728798	157.2061
